"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72440771901202113624.ret"
""
"Cadastrado título novo: 9000005835 66 - LPP III - EMPREENDIMEN 29/01/2021 RG 647,07 0"
"Cadastrado título novo: 9000005836 2657 - INDUSTRIAS NARDINI S 29/01/2021 RG 1877,16 0"
"Cadastrado título novo: 9000005837 2748 - QUALITY BENEFICIADOR 29/01/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005838 2748 - QUALITY BENEFICIADOR 26/02/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005839 2748 - QUALITY BENEFICIADOR 31/03/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005840 2748 - QUALITY BENEFICIADOR 30/04/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005841 2748 - QUALITY BENEFICIADOR 31/05/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005842 2748 - QUALITY BENEFICIADOR 30/06/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005843 2748 - QUALITY BENEFICIADOR 30/07/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005844 2748 - QUALITY BENEFICIADOR 31/08/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005845 2748 - QUALITY BENEFICIADOR 30/09/2021 RG 2679,6 0"
"Cadastrado título novo: 9000005846 2748 - QUALITY BENEFICIADOR 29/10/2021 RG 2679,6 0"
