"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244101402202113250.ret"
""
"Cadastrado título novo: 9000005860 4826 - ATACADAO S.A. 26/02/2021 RG 319,37 0"
"Cadastrado título novo: 9000005861 3984 - BELEM TRANSPORTES E 26/02/2021 RG 359,9 0"
"Cadastrado título novo: 9000005862 3984 - BELEM TRANSPORTES E 31/03/2021 RG 359,9 0"
"Cadastrado título novo: 9000005863 3984 - BELEM TRANSPORTES E 30/04/2021 RG 359,9 0"
"Cadastrado título novo: 9000005864 3984 - BELEM TRANSPORTES E 31/05/2021 RG 359,9 0"
"Cadastrado título novo: 9000005865 3984 - BELEM TRANSPORTES E 30/06/2021 RG 359,9 0"
"Cadastrado título novo: 9000005866 3984 - BELEM TRANSPORTES E 30/07/2021 RG 359,9 0"
"Cadastrado título novo: 9000005867 3984 - BELEM TRANSPORTES E 31/08/2021 RG 359,9 0"
"Cadastrado título novo: 9000005868 3984 - BELEM TRANSPORTES E 30/09/2021 RG 359,9 0"
"Cadastrado título novo: 9000005869 5263 - ANHANGUERA EDUCACION 26/02/2021 RG 650,85 0"
"Pago título: 9000005675 3211 - DENILSON BISPO 29/01/2021 LQ 265,05 270,88"
