"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72441891604202113745.ret"
""
"Pago título: 2111000013 49 - CONTINENTAL AUTOMOTIV 30/06/2021 LQ 9790,29 9790,29"
"Pago título: 2111000534 3083 - CR CONCRETO USINADO 30/06/2021 LQ 360,95 360,95"
"Cancelado título: 2118001041 867 - ECTX S/A 30/04/2021 BX 14496,2 0"
"Cancelado título: 2118001042 867 - ECTX S/A 31/05/2021 BX 14496,21 0"
"Cancelado título: 2118001043 867 - ECTX S/A 30/06/2021 BX 14496,21 0"
"Cancelado título: 2118001044 867 - ECTX S/A 30/07/2021 BX 14496,21 0"
"Cancelado título: 2118001045 867 - ECTX S/A 31/08/2021 BX 14496,21 0"
"Cancelado título: 2118001046 867 - ECTX S/A 30/09/2021 BX 14496,21 0"
"Cancelado título: 2118001047 867 - ECTX S/A 29/10/2021 BX 14496,21 0"
"Cancelado título: 2118001048 867 - ECTX S/A 30/11/2021 BX 14496,21 0"
"Cancelado título: 2118003577 3512 - ASSOC DOS AGRICULTO 30/04/2021 BX 12796,1 0"
"Cancelado título: 2118003578 3512 - ASSOC DOS AGRICULTO 31/05/2021 BX 12796,08 0"
"Cancelado título: 2118003579 3512 - ASSOC DOS AGRICULTO 30/06/2021 BX 12796,08 0"
"Cancelado título: 2118003580 3512 - ASSOC DOS AGRICULTO 30/07/2021 BX 12796,08 0"
"Cancelado título: 2118003581 3512 - ASSOC DOS AGRICULTO 31/08/2021 BX 12796,08 0"
"Cancelado título: 2118003582 3512 - ASSOC DOS AGRICULTO 30/09/2021 BX 12796,08 0"
"Cancelado título: 2118003583 3512 - ASSOC DOS AGRICULTO 29/10/2021 BX 12796,08 0"
"Cancelado título: 2118003584 3512 - ASSOC DOS AGRICULTO 30/11/2021 BX 12796,08 0"
