"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442032804202111650.ret"
""
"Cadastrado título novo: 9000005974 4779 - FUNDACAO CENTRO DE A 31/05/2021 RG 5742,47 0"
"Cadastrado título novo: 9000005975 4779 - FUNDACAO CENTRO DE A 31/05/2021 RG 3396,27 0"
"Cadastrado título novo: 9000005977 392 - CONDOMINIO SHOPPING C 31/05/2021 RG 1162,71 0"
"Cadastrado título novo: 9000005978 392 - CONDOMINIO SHOPPING C 30/06/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005979 392 - CONDOMINIO SHOPPING C 30/07/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005980 392 - CONDOMINIO SHOPPING C 31/08/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005981 392 - CONDOMINIO SHOPPING C 30/09/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005982 392 - CONDOMINIO SHOPPING C 29/10/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005983 392 - CONDOMINIO SHOPPING C 30/11/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005984 392 - CONDOMINIO SHOPPING C 29/12/2021 RG 1162,72 0"
"Pago título: 2111000118 804 - AUGUSTO NEUMEISTER F 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000606 3450 - ADIVALDO DIAS FURTA 30/06/2021 LQ 140,21 140,21"
"Pago título: 2111000624 3543 - CONDOM NIO CENTRO P 30/06/2021 LQ 186,08 186,08"
"Pago título: 2111000731 3975 - ASSOCIA  O BOAS NOV 30/06/2021 LQ 388,77 388,77"
"Pago título: 2111000768 4242 - NEW COLOR PLASTIC I 30/06/2021 LQ 77,11 77,11"
"Pago título: 2112000029 340 - SIND TRAB IND DE VID 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000030 340 - SIND TRAB IND DE VID 31/05/2021 LQ 219,57 219,57"
"Pago título: 2112000069 1040 - CONJUNTO RESIDENCIA 30/04/2021 LQ 287,25 287,25"
"Pago título: 2112000085 1192 - SECRETARIA DA ADMIN 30/04/2021 LQ 229,71 229,71"
"Pago título: 2112000109 1571 - RODOPOSTO TOPAZIO L 30/04/2021 LQ 292,15 292,15"
"Pago título: 2112000309 3628 - J. E. GIMENES EXTRA 30/04/2021 LQ 276,2 276,2"
"Pago título: 2112000379 4279 - BOARELIS BRASIL S.A 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000445 5403 - CLAUDIO ROBERTO DRA 30/04/2021 LQ 256,17 256,17"
"Pago título: 2113000247 2963 - FIBRILA TEXTILE LTD 30/04/2021 LQ 246,78 246,78"
"Pago título: 2113000319 3561 - CONDOM NIO RESIDENC 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000442 5009 - ASSOCIA  O DOS MORA 30/04/2021 LQ 204,93 204,93"
"Pago título: 2113000445 5011 - ASSOCIA  O DOS MORA 30/04/2021 LQ 220,78 220,78"
"Pago título: 2113000460 5353 - CONDOM NIO RESIDENC 30/04/2021 LQ 255,08 255,08"
"Pago título: 2114000057 949 - DANA IND STRIAS LTDA 30/04/2021 LQ 203,45 203,45"
"Pago título: 2114000133 1850 - DP & LF TRANSPORTES 30/04/2021 LQ 204,93 204,93"
"Pago título: 2114000397 5616 - TRADECORP DO BRASIL 30/04/2021 LQ 248,67 248,67"
"Pago título: 2116000277 3022 - BROGWARNER BRASIL L 30/04/2021 LQ 200,18 200,18"
"Pago título: 2117000064 1077 - DP & LF TRANSPORTES 30/04/2021 LQ 214,53 214,53"
"Pago título: 2117000099 1426 - WEIDMANN TECNOLOGIA 30/04/2021 LQ 208,41 208,41"
"Pago título: 2118000121 62 - GKN SINTER METALS LTD 30/04/2021 LQ 339,14 339,14"
"Pago título: 2118000353 206 - ROUSSELOT GELATINAS 30/04/2021 LQ 1948,07 1948,07"
"Pago título: 2118000729 477 - TERRA DO PARAISO LTD 30/04/2021 LQ 526,98 526,98"
"Pago título: 2118000857 558 - CONDOMINIO CENTRO EM 30/04/2021 LQ 814,24 814,24"
"Pago título: 2118001017 857 - CPIC BRASIL FIBRAS D 30/04/2021 LQ 2603,14 2603,14"
"Pago título: 2118001209 930 - SERVICO AUTONOMO DE 30/04/2021 LQ 36611,55 36611,55"
"Pago título: 2118001249 940 - SERVICO AUTONOMO DE 30/04/2021 LQ 57821,41 57821,41"
