"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442073004202112930.ret"
""
"Cadastrado título novo: 9000005985 2249 - ASSOCIACAO CONDOMINI 31/05/2021 RG 590,05 0"
"Cadastrado título novo: 9000005986 5426 - SUPERMERCADOS CAVICC 30/06/2021 RG 205,87 0"
"Pago título: 2111000018 106 - COVABRA SUPERMERCADO 30/06/2021 LQ 676,17 676,17"
"Pago título: 2111000474 2809 - EXTRA  O DE AREIA C 30/06/2021 LQ 222,84 222,84"
"Pago título: 2111000603 3437 - ASSOCIA  O DOS MORA 30/06/2021 LQ 278,13 278,13"
"Pago título: 2111000638 3617 - HOSPITAL SAMARITANO 30/06/2021 LQ 262,6 262,6"
"Pago título: 2111000679 3767 - CHEMETALL DO BRASIL 30/06/2021 LQ 272,65 272,65"
"Pago título: 2111000706 3876 - WEIDMANN TECNOLOGIA 30/06/2021 LQ 333,14 333,14"
"Pago título: 2112000001 79 - HOTEL E SPA JARDIM DA 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000007 118 - ASSOCIACAO MORAD CON 30/04/2021 LQ 213 213"
"Pago título: 2112000013 172 - GELCO GELATINAS DO B 30/04/2021 LQ 213,23 213,23"
"Pago título: 2112000019 266 - ESCOLA AMERICANA DE 30/04/2021 LQ 211,75 211,75"
"Pago título: 2112000025 315 - ORGANIZACAO HOTELEIR 30/04/2021 LQ 297,01 297,01"
"Pago título: 2112000037 462 - AD'ORO S/A 30/04/2021 LQ 248,79 248,79"
"Pago título: 2112000039 525 - ASSOCIACAO PROPR DA 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000041 563 - PLAZA INDUSTRIA E CO 30/04/2021 LQ 269,18 269,18"
"Pago título: 2112000043 569 - ALCAR ABRASIVOS LTDA 30/04/2021 LQ 295,57 295,57"
"Pago título: 2112000045 574 - SINTER FUTURA LTDA 30/04/2021 LQ 276,23 276,23"
"Pago título: 2112000049 734 - GUSTAVO ADOLFO BAETA 30/04/2021 LQ 202,18 202,18"
"Pago título: 2112000051 746 - RENATO RIOTARO TAKIG 30/04/2021 LQ 211,77 211,77"
"Pago título: 2112000052 746 - RENATO RIOTARO TAKIG 31/05/2021 LQ 211,77 211,77"
"Pago título: 2112000057 840 - UNIFRAX BRASIL LTDA 30/04/2021 LQ 269,4 269,4"
"Pago título: 2112000059 887 - CHEMSON LTDA 30/04/2021 LQ 222,75 222,75"
"Pago título: 2112000067 1008 - CONDOMINIO RESIDENC 30/04/2021 LQ 212,4 212,4"
"Pago título: 2112000073 1056 - BELENUS DO BRASIL L 30/04/2021 LQ 256,17 256,17"
"Pago título: 2112000075 1076 - LOJAS CEM S/A 30/04/2021 LQ 218,72 218,72"
"Pago título: 2112000077 1135 - BRASMIX ENGENHARIA 30/04/2021 LQ 240,87 240,87"
"Pago título: 2112000079 1152 - JESUS TITO DA SILVA 30/04/2021 LQ 207,11 207,11"
"Pago título: 2112000081 1166 - SIND TRAB IND METAL 30/04/2021 LQ 259,54 259,54"
"Pago título: 2112000087 1198 - ZUCOLLORS INDUSTRIA 30/04/2021 LQ 202,82 202,82"
"Pago título: 2112000089 1205 - LAR DOS VELHINHOS D 30/04/2021 LQ 233,34 233,34"
"Pago título: 2112000095 1229 - ALBANO EMBALAGENS E 30/04/2021 LQ 254,12 254,12"
"Pago título: 2112000097 1233 - GVS DO BRASIL LTDA 30/04/2021 LQ 220,18 220,18"
"Pago título: 2112000101 1336 - NAHSA COMERCIO DE M 30/04/2021 LQ 241,5 241,5"
"Pago título: 2112000103 1445 - SOCIEDADE DOS AMIGO 30/04/2021 LQ 271,71 271,71"
"Pago título: 2112000105 1476 - INNARA INDUSTRIA NA 30/04/2021 LQ 297,82 297,82"
"Pago título: 2112000111 1585 - HORTEL HOTELARIA LT 30/04/2021 LQ 226,6 226,6"
"Pago título: 2112000115 1604 - ASSOC ATLETICA PONT 30/04/2021 LQ 202,8 202,8"
"Pago título: 2112000127 1706 - SUPERMERCADOS CAVIC 30/04/2021 LQ 234,2 234,2"
"Pago título: 2112000129 1744 - IND STRIAS MARRUCCI 30/04/2021 LQ 271,78 271,78"
"Pago título: 2112000135 1863 - TEXTIL ELIANA LTDA 30/04/2021 LQ 285,95 285,95"
"Pago título: 2112000137 1878 - SUPERMERCADOS CAVIC 30/04/2021 LQ 261,89 261,89"
"Pago título: 2112000141 1991 - CONCREVIP - CONCRET 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000143 1998 - AUTO POSTO MORRO AZ 30/04/2021 LQ 248,85 248,85"
"Pago título: 2112000147 2026 - SERRA DO SOL EMPREE 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000149 2042 - CATION INDUSTRIA E 30/04/2021 LQ 200,66 200,66"
"Pago título: 2112000153 2089 - POSTO TROPICOS LTDA 30/04/2021 LQ 264,95 264,95"
"Pago título: 2112000161 2162 - ARAUJO & ZARATINE L 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000163 2186 - FRIGORIFICO BOM SAB 30/04/2021 LQ 227,39 227,39"
"Pago título: 2112000165 2204 - TAKEO OMORI 30/04/2021 LQ 250,31 250,31"
"Pago título: 2112000169 2246 - CONCREBASE COMERCIO 30/04/2021 LQ 226,7 226,7"
"Pago título: 2112000173 2257 - BALLAGRO AGRO TECNO 30/04/2021 LQ 292,44 292,44"
"Pago título: 2112000175 2260 - ALCIDES BENEDITO TR 30/04/2021 LQ 292,48 292,48"
"Pago título: 2112000179 2307 - AGROLINK IMPORTA  O 30/04/2021 LQ 293,35 293,35"
"Pago título: 2112000183 2380 - ANTONIO BARBUTTI ME 30/04/2021 LQ 213,75 213,75"
"Pago título: 2112000185 2408 - ANTONIO CAIO DA SIL 30/04/2021 LQ 247,91 247,91"
"Pago título: 2112000186 2408 - ANTONIO CAIO DA SIL 31/05/2021 LQ 247,91 247,91"
"Pago título: 2112000187 2449 - CONDOMINIO OSATO 30/04/2021 LQ 250,82 250,82"
"Pago título: 2112000195 2584 - EXTRAMIX CONCRETO L 30/04/2021 LQ 211,75 211,75"
"Pago título: 2112000199 2637 - CHURRASCARIA PAMPEI 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000213 2801 - BRIGATTO INDUSTRIA 30/04/2021 LQ 213,64 213,64"
"Pago título: 2112000215 2811 - ASSOCIA  O DOS PROP 30/04/2021 LQ 228,28 228,28"
"Pago título: 2112000217 2816 - CENTRO SOCIAL HOLAN 30/04/2021 LQ 219,57 219,57"
"Pago título: 2112000229 2948 - ASSOCIACAO RESIDENC 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000245 3072 - BAKELS BRASIL INGRE 30/04/2021 LQ 271,13 271,13"
"Pago título: 2112000259 3185 - NELSON KOITI TIDA 30/04/2021 LQ 226,89 226,89"
"Pago título: 2112000261 3210 - PAVAN ZANETTI IND S 30/04/2021 LQ 200,8 200,8"
"Pago título: 2112000269 3242 - SAVEGNAGO SUPERMERC 30/04/2021 LQ 290,58 290,58"
"Pago título: 2112000277 3301 - COMERCIAL ANDRETA D 30/04/2021 LQ 258,69 258,69"
"Pago título: 2112000281 3347 - MARTIN SPROCKET & G 30/04/2021 LQ 283,63 283,63"
"Pago título: 2112000285 3356 - PQA QU MICA LTDA 30/04/2021 LQ 233,11 233,11"
"Pago título: 2112000291 3477 - OLINTO RODRIGUES DE 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000295 3492 - AUTO POSTO NC LTDA 30/04/2021 LQ 228,01 228,01"
"Pago título: 2112000297 3494 - MANCHESTER QU MICA 30/04/2021 LQ 265,91 265,91"
"Pago título: 2112000299 3498 - RELAX MOTEL LTDA 30/04/2021 LQ 274,62 274,62"
"Pago título: 2112000301 3530 - VIDRADOS BS INDUSTR 30/04/2021 LQ 237,68 237,68"
"Pago título: 2112000303 3532 - CONTERPA CONSERVA 30/04/2021 LQ 265,89 265,89"
"Pago título: 2112000315 3640 - MAISON DE VILLE MOT 30/04/2021 LQ 241,53 241,53"
"Pago título: 2112000317 3651 - CT AGROIND STRIA E 30/04/2021 LQ 256,85 256,85"
"Pago título: 2112000339 3776 - IND STRIA T XTIL NO 30/04/2021 LQ 278,74 278,74"
"Pago título: 2112000341 3787 - PEDRA DA MATA EMPRE 30/04/2021 LQ 206,46 206,46"
"Pago título: 2112000343 3802 - TRANSPORTADORA DE 30/04/2021 LQ 241,53 241,53"
"Pago título: 2112000347 3841 - CONSOLINE VE CULOS 30/04/2021 LQ 263,49 263,49"
"Pago título: 2112000355 3924 - CITRATUS FRAGRANCIA 30/04/2021 LQ 226,89 226,89"
"Pago título: 2112000357 3937 - CONDOM NIO PORTAL D 30/04/2021 LQ 245,92 245,92"
"Pago título: 2112000381 4291 - LAR DOS VELHOS FLAM 30/04/2021 LQ 255,55 255,55"
"Pago título: 2112000395 4491 - NELSON ZUFFO 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000401 4594 - MYOUNG SHIN FABRICA 30/04/2021 LQ 280,03 280,03"
"Pago título: 2112000405 4642 - VIN COLA SALTON S/A 30/04/2021 LQ 228,97 228,97"
"Pago título: 2112000411 4690 - RODONAVES TRANSPORT 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000413 4696 - NEWSUL S/A EMBALAGE 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000417 4791 - ASSOC DOS MORADORES 30/04/2021 LQ 256,46 256,46"
"Pago título: 2112000421 4796 - CASA DOS MENORES DE 30/04/2021 LQ 215,18 215,18"
"Pago título: 2112000425 4822 - AGROPECUARIA MONTSU 30/04/2021 LQ 262,76 262,76"
"Pago título: 2112000429 4873 - CONDOM NIO RESIDENC 30/04/2021 LQ 248,85 248,85"
"Pago título: 2112000431 4961 - IND STRIA BRAIDO LT 30/04/2021 LQ 219,56 219,56"
"Pago título: 2112000437 5019 - ASSOC DOS PROPRIET 30/04/2021 LQ 264,95 264,95"
"Pago título: 2112000439 5263 - ANHANGUERA EDUCACIO 30/04/2021 LQ 299,07 299,07"
"Pago título: 2112000441 5283 - ARTHI COMERCIAL LTD 30/04/2021 LQ 288,16 288,16"
"Pago título: 2112000449 5435 - ASSOCIA  O DOS PROP 30/04/2021 LQ 292,76 292,76"
"Pago título: 2112000455 5498 - CONDOMINIO A MONTAN 30/04/2021 LQ 237,87 237,87"
"Pago título: 2112000457 5529 - CAMPINAS EDUCA  O A 30/04/2021 LQ 275,4 275,4"
"Pago título: 2112000459 5540 - SUPERMERCADOS CAVIC 30/04/2021 LQ 224,16 224,16"
"Pago título: 2112000465 5582 - RESTAURANTE E CHURR 30/04/2021 LQ 204,93 204,93"
"Pago título: 2112000467 5605 - ASSOCIA  O MORADORE 30/04/2021 LQ 278,13 278,13"
"Pago título: 2112000471 5627 - SANCETUR - SANTA CE 30/04/2021 LQ 243,29 243,29"
"Pago título: 2112000477 5704 - CONDOMINIO EDIFICIO 30/04/2021 LQ 245,35 245,35"
"Pago título: 2112000487 7012 - CONCREBEM CONCRETO 30/04/2021 LQ 294,74 294,74"
"Pago título: 2112000499 7303 - BCAG BRASIL CHINA A 30/04/2021 LQ 211,5 211,5"
"Pago título: 2112000505 7381 - CONCREBASE SERVICOS 30/04/2021 LQ 285,2 285,2"
"Pago título: 2112000511 7634 - CINTIA MARIA DE SOU 30/04/2021 LQ 207,35 207,35"
"Pago título: 2113000001 10 - CONDOMINIO RESIDENCIA 30/04/2021 LQ 225,11 225,11"
"Pago título: 2113000004 156 - EMBRASATEC INDUSTRIA 30/04/2021 LQ 201,81 201,81"
"Pago título: 2113000013 275 - TEXTIL CARVALHO E FI 30/04/2021 LQ 211,67 211,67"
"Pago título: 2113000019 377 - XERIUM TECHNOLOGIES 30/04/2021 LQ 251,04 251,04"
"Pago título: 2113000022 384 - PRO-METAL BENEFICIAM 30/04/2021 LQ 200,17 200,17"
"Pago título: 2113000025 394 - CONDOMINIO EDIFICIO 30/04/2021 LQ 234,29 234,29"
"Pago título: 2113000028 424 - MANN HUMMEL BRASIL L 30/04/2021 LQ 227,4 227,4"
"Pago título: 2113000031 524 - CONDOMINIO EDIFICIO 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000034 556 - CONDOMINIO VILLAGE V 30/04/2021 LQ 231,96 231,96"
"Pago título: 2113000043 611 - ALEKSANDAR TOMIC 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000046 613 - PAULO AGNELO MALZONI 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000049 701 - ADERITO MARIO DA COS 30/04/2021 LQ 258,05 258,05"
"Pago título: 2113000058 790 - VLADIMIR JOSE TIZZIA 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000064 972 - OJI PAPEIS ESPECIAIS 30/04/2021 LQ 243,43 243,43"
"Pago título: 2113000067 990 - ASTRA S/A INDUSTRIA 30/04/2021 LQ 256,94 256,94"
"Pago título: 2113000070 1014 - CASCALHO - EXTRA  O 30/04/2021 LQ 220,04 220,04"
"Pago título: 2113000082 1125 - KARCHER IND STRIA E 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000083 1125 - KARCHER IND STRIA E 31/05/2021 LQ 219,58 219,58"
"Pago título: 2113000084 1125 - KARCHER IND STRIA E 30/06/2021 LQ 219,58 219,58"
"Pago título: 2113000085 1187 - FLORIDIANA TENIS CL 30/04/2021 LQ 212,16 212,16"
"Pago título: 2113000088 1206 - NACIONAL GAS BUTANO 30/04/2021 LQ 235,23 235,23"
"Pago título: 2113000094 1317 - SUPERMERCADO TAQUAR 30/04/2021 LQ 210,17 210,17"
"Pago título: 2113000100 1554 - TRANSPORTADORA CONT 30/04/2021 LQ 219,92 219,92"
"Pago título: 2113000103 1565 - MANCHESTER QUIMICA 30/04/2021 LQ 248,85 248,85"
"Pago título: 2113000109 1671 - VITTIA FERTILIZANTE 30/04/2021 LQ 226,47 226,47"
"Pago título: 2113000112 1690 - CONCREBASE SERVICOS 30/04/2021 LQ 200,21 200,21"
"Pago título: 2113000115 1699 - JRPH RESORT HOTEL P 30/04/2021 LQ 209,82 209,82"
"Pago título: 2113000118 1718 - HOTELARIA BRASIL LT 30/04/2021 LQ 243,15 243,15"
"Pago título: 2113000121 1763 - ASSOC DOS PROP DO L 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000133 1868 - FORMIGAO COMERCIO D 30/04/2021 LQ 204,77 204,77"
"Pago título: 2113000136 1871 - PREFEITURA MUNICIPA 30/04/2021 LQ 234,22 234,22"
"Pago título: 2113000139 1922 - TING INDUSTRIA E CO 30/04/2021 LQ 203,11 203,11"
"Pago título: 2113000145 2030 - GLOBALPACK INDUSTRI 30/04/2021 LQ 255,3 255,3"
"Pago título: 2113000160 2076 - PH FIT - FITAS E IN 30/04/2021 LQ 260,43 260,43"
"Pago título: 2113000163 2169 - ASSOCIA  O DE PROPR 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000169 2209 - AUTO POSTO 1500 DO 30/04/2021 LQ 204,93 204,93"
"Pago título: 2113000172 2219 - IRMAOS PARAZZI LTDA 30/04/2021 LQ 218,46 218,46"
"Pago título: 2113000178 2280 - TINTURARIA SANTA AD 30/04/2021 LQ 223,77 223,77"
"Pago título: 2113000181 2305 - FRESKIMASSAS INDUST 30/04/2021 LQ 214,69 214,69"
"Pago título: 2113000184 2360 - ORION COM RCIO DE M 30/04/2021 LQ 234,54 234,54"
"Pago título: 2113000187 2372 - BELENUS DO BRASIL L 30/04/2021 LQ 241,66 241,66"
"Pago título: 2113000193 2435 - ASSOCIA  O DO SENHO 30/04/2021 LQ 214,53 214,53"
