"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244209305202125352.ret"
""
"Cadastrado título novo: 9000005987 7344 - ASSOCIACAO DISTRIBUT 31/05/2021 RG 221,91 0"
"Cadastrado título novo: 9000005988 3137 - CNP INDUSTRIA E COME 31/05/2021 RG 223,1 0"
"Pago título: 2111000366 2342 - PREFEITURA DA ESTAN 30/06/2021 LQ 449,74 449,74"
"Pago título: 2111000665 3721 - ASSOCIA  O DE PROPR 30/06/2021 LQ 263,49 263,49"
"Pago título: 2112000033 380 - CLUBE ATLETICO PIRAC 30/04/2021 LQ 219,56 224,16"
"Pago título: 2112000211 2774 - TEXTIL RIO VERDE LT 30/04/2021 LQ 219,23 223,82"
"Pago título: 2112000251 3123 - FRANCISCO ISSAO SAI 30/04/2021 LQ 292,76 298,9"
"Pago título: 2112000397 4536 - CONDOM NIO RESIDENC 30/04/2021 LQ 259,89 265,33"
"Pago título: 2112000463 5556 - TUBERFIL INDUSTRIA 30/04/2021 LQ 219,56 224,16"
"Pago título: 2113000055 737 - ROSILAINE DIONIZIO D 30/04/2021 LQ 226,32 231,06"
"Pago título: 2113000166 2184 - CABLENA DO BRASIL L 30/04/2021 LQ 261,81 267,3"
"Pago título: 2114000277 3726 - SATOSHI ITO E OUTRO 30/04/2021 LQ 219,56 224,16"
"Pago título: 2114000437 6912 - CPE PL STICOS LTDA 30/04/2021 LQ 243,32 248,42"
"Pago título: 2116000314 3385 - S.ZANARDI EMPREENDI 31/05/2021 LQ 207,46 207,46"
"Pago título: 2116000315 3385 - S.ZANARDI EMPREENDI 30/06/2021 LQ 207,46 207,46"
"Pago título: 2116000469 5622 - CLEUSA TERESINHA PI 30/04/2021 LQ 200,34 204,54"
"Pago título: 2117000127 1993 - CABLENA DO BRASIL L 30/04/2021 LQ 220,03 224,65"
"Pago título: 2118000082 41 - UNILEVER BRASIL GELAD 31/05/2021 LQ 1353,02 1353,02"
"Pago título: 2118000753 487 - USINA ACUCAREIRA EST 30/04/2021 LQ 22937,54 23419,22"
"Pago título: 2118001314 952 - UNILEVER BRASIL INDU 31/05/2021 LQ 1831,53 1831,53"
"Pago título: 2118003713 3696 -  GUAS DE CAMPINAS T 30/04/2021 LQ 312,92 319,48"
"Pago título: 2118003865 3971 - VIEIRA E RODRIGUES 30/04/2021 LQ 219,54 224,14"
"Pago título: 2118005033 7159 - FLAVOUR MIX INDUSTR 30/04/2021 LQ 540,84 552,19"
