"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244213505202123311.ret"
""
"Cadastrado título novo: 9000005998 3054 - RENOVIAS CONCESSIONA 31/05/2021 RG 226,05 0"
"Pago título: 2111000191 1189 - ERICSON BAGATIN 30/06/2021 LQ 300,38 300,38"
"Pago título: 2112000247 3101 - DS2 ENGENHARIA E CO 30/04/2021 LQ 204,74 209,17"
"Pago título: 2113000061 914 - IC TRANSPORTES LTDA 30/04/2021 LQ 231,62 236,63"
"Pago título: 2113000190 2376 - MARILIA FERNANDES D 30/04/2021 LQ 263,49 269,18"
"Pago título: 2113000268 3211 - DENILSON BISPO 30/04/2021 LQ 234,22 239,29"
"Pago título: 2113000310 3527 - CARFAM EMPREENDIMEN 30/04/2021 LQ 238,55 243,71"
"Pago título: 2113000331 3659 - CARLOS CORDIOLI DIS 30/04/2021 LQ 204,93 209,36"
"Pago título: 2113000361 3931 - MARCOS ANT NIO POLE 30/04/2021 LQ 260,59 266,23"
"Pago título: 2113000412 4582 - CAMPE O 80 POSTOS D 30/04/2021 LQ 243,96 249,23"
"Pago título: 2114000273 3663 - ASSOCIA  O DOS ADQ 30/04/2021 LQ 219,56 224,31"
"Pago título: 2114000305 3946 - CAMPE O 68 POSTO DE 30/04/2021 LQ 210,34 214,89"
"Pago título: 2116000127 1276 - INDUSTRIA E COMERCI 30/04/2021 LQ 213,46 218,07"
"Pago título: 2116000175 1733 - ESPER EMBALAGENS LT 30/04/2021 LQ 201,6 205,96"
"Pago título: 2117000008 381 - INSTITUTO EDUCACIONA 30/04/2021 LQ 227,1 232,01"
"Pago título: 2117000246 3259 - BAG CLEANER COM RCI 30/04/2021 LQ 208,88 213,39"
"Pago título: 2118000001 3 - CONDOMINIO RESIDENCIAL 30/04/2021 LQ 246,2 251,53"
"Pago título: 2118000137 66 - LPP III - EMPREENDIME 30/04/2021 LQ 215,59 220,25"
"Pago título: 2118001201 924 - CONDOMINIO CHACARAS 30/04/2021 LQ 454,93 464,77"
"Pago título: 2118001410 989 - A P LOSA & CIA LTDA 31/05/2021 LQ 497,5 497,5"
"Pago título: 2118002337 1817 - TECITEX TINTURARIA 30/04/2021 LQ 357,16 364,89"
"Pago título: 2118003057 2897 - REQUIPH METAL RGICA 30/04/2021 LQ 252,67 258,14"
"Pago título: 2118004257 4916 - CLUBE ATL TICO VALI 30/04/2021 LQ 215,99 220,65"
"Pago título: 2118004297 5035 - CLOSURE SYSTEMS INT 30/04/2021 LQ 329,38 336,5"
"Pago título: 2118004705 5694 - R. BOQUINO TRANSPOR 30/04/2021 LQ 567,27 579,55"
"Pago título: 9000005880 2979 - J ARANTES CONSTRUCOE 30/04/2021 LQ 237,32 242,45"
"Pago título: 9000005936 59 - FUND CPQD - CENTRO PES 05/05/2021 LQ 599,5 599,5"
"Pago título: 9000005989 2324 - BASF S/A 31/05/2021 LQ 333,78 333,78"
