"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244217705202113528.ret"
""
"Cadastrado título novo: 9000005999 3305 - HMY DO BRASIL LTDA 31/05/2021 RG 65,55 0"
"Cadastrado título novo: 9000006001 3951 - ARCELORMITTAL S.A. 31/05/2021 RG 8980,48 0"
"Cadastrado título novo: 9000006002 3951 - ARCELORMITTAL S.A. 30/06/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006003 3951 - ARCELORMITTAL S.A. 30/07/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006004 3951 - ARCELORMITTAL S.A. 31/08/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006005 3951 - ARCELORMITTAL S.A. 30/09/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006006 3951 - ARCELORMITTAL S.A. 29/10/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006007 3951 - ARCELORMITTAL S.A. 30/11/2021 RG 8980,46 0"
"Cadastrado título novo: 9000006008 2433 - INTERNATIONAL PAPER 31/05/2021 RG 566,69 0"
"Cadastrado título novo: 9000006009 828 - SERVICO AUTONOMO DE A 31/05/2021 RG 49153,58 0"
"Cadastrado título novo: 9000006010 828 - SERVICO AUTONOMO DE A 30/06/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006011 828 - SERVICO AUTONOMO DE A 30/07/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006012 828 - SERVICO AUTONOMO DE A 31/08/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006013 828 - SERVICO AUTONOMO DE A 30/09/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006014 828 - SERVICO AUTONOMO DE A 29/10/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006015 828 - SERVICO AUTONOMO DE A 30/11/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006016 828 - SERVICO AUTONOMO DE A 28/12/2021 RG 49153,61 0"
"Cadastrado título novo: 9000006017 241 - RIO CONSTRUTORA E AGR 31/05/2021 RG 373,9 0"
"Cadastrado título novo: 9000006018 3112 - SUELI TADOKORO MURAK 31/05/2021 RG 215,07 0"
"Pago título: 2113000337 3728 - VALMIR FERNANDES FO 30/04/2021 LQ 224,46 229,46"
"Pago título: 2113000466 5385 - JOS  ONERIO DA SILV 30/04/2021 LQ 253,72 259,38"
"Pago título: 2117000253 3271 - ASSOCIA  O DOS PROP 30/04/2021 LQ 200,78 205,25"
"Pago título: 2117000316 4132 - MRGM PARTICIPA  ES 30/04/2021 LQ 203,29 207,82"
"Cancelado título: 2111000723 3935 - FUNDA  O DE DESENVO 30/06/2021 BX 257,29 0"
"Cancelado título: 2111000728 3951 - ARCELORMITTAL S.A. 30/06/2021 BX 62863,24 0"
"Cancelado título: 2113000052 729 - JUDAS TADEU JOSE MAZ 30/04/2021 BX 258,61 0"
"Cancelado título: 2113000053 729 - JUDAS TADEU JOSE MAZ 31/05/2021 BX 258,6 0"
"Cancelado título: 2113000054 729 - JUDAS TADEU JOSE MAZ 30/06/2021 BX 258,6 0"
"Cancelado título: 2113000467 5385 - JOS  ONERIO DA SILV 31/05/2021 BX 253,73 0"
"Cancelado título: 2113000468 5385 - JOS  ONERIO DA SILV 30/06/2021 BX 253,73 0"
"Cancelado título: 2118002753 2433 - INTERNATIONAL PAPER 30/04/2021 BX 550,08 0"
"Cancelado título: 2118003193 3080 - JO O ROBERTO MIGLIA 30/04/2021 BX 1848,08 0"
"Cancelado título: 2118003194 3080 - JO O ROBERTO MIGLIA 31/05/2021 BX 1848,12 0"
"Cancelado título: 2118003195 3080 - JO O ROBERTO MIGLIA 30/06/2021 BX 1848,12 0"
"Cancelado título: 2118003196 3080 - JO O ROBERTO MIGLIA 30/07/2021 BX 1848,12 0"
"Cancelado título: 2118003197 3080 - JO O ROBERTO MIGLIA 31/08/2021 BX 1848,12 0"
"Cancelado título: 2118003198 3080 - JO O ROBERTO MIGLIA 30/09/2021 BX 1848,12 0"
"Cancelado título: 2118003199 3080 - JO O ROBERTO MIGLIA 29/10/2021 BX 1848,12 0"
"Cancelado título: 2118003200 3080 - JO O ROBERTO MIGLIA 30/11/2021 BX 1848,12 0"
"Cancelado título: 2118003241 3112 - SUELI TADOKORO MURA 30/04/2021 BX 208,76 0"
