"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442271405202113906.ret"
""
"Cadastrado título novo: 9000006044 1046 - BRK AMBIENTAL - LIME 31/05/2021 RG 150130,78 0"
"Pago título: 2111000538 3105 - IND STRIA E COM RCI 30/06/2021 LQ 439,13 439,13"
"Pago título: 2112000191 2577 - ESPORTE CLUBE BARBA 30/04/2021 LQ 237,75 243,6"
"Pago título: 2113000185 2360 - ORION COM RCIO DE M 31/05/2021 LQ 234,55 234,55"
"Pago título: 2114000266 3596 - COEXPAN BRASIL EMBA 31/05/2021 LQ 211,05 211,05"
"Pago título: 2118000497 312 - FIACAO ALPINA LTDA 30/04/2021 LQ 796,41 816,04"
"Pago título: 2118003265 3139 - RAIZEN ENERGIA S/A 30/04/2021 LQ 237,84 243,69"
"Pago título: 2118003897 4014 - ASSOC DOS PROPRIET 30/04/2021 LQ 658,69 674,93"
"Pago título: 2118004377 5260 - MRGM PARTICIPA  ES 30/04/2021 LQ 783,15 802,46"
"Pago título: 2118004769 5865 - CONDOMINIO VILLA UN 30/04/2021 LQ 468,57 480,12"
"Pago título: 9000006008 2433 - INTERNATIONAL PAPER 31/05/2021 LQ 566,69 566,69"
