"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442291705202124127.ret"
""
"Cadastrado título novo: 9000006045 1207 - VIACAO CAPRIOLI LTDA 31/05/2021 RG 609,72 0"
"Pago título: 2111000090 484 - ITRON SOLUCOES PARA 30/06/2021 LQ 463,23 463,23"
"Pago título: 2111000137 927 - UNILEVER BRASIL INDU 30/06/2021 LQ 19715,06 19715,06"
"Pago título: 2111000171 1085 - YAKULT S/A INDUSTRI 30/06/2021 LQ 367,66 367,66"
"Pago título: 2111000246 1595 - NOVACKI PAPEL E EMB 30/06/2021 LQ 174,91 174,91"
"Pago título: 2112000387 4430 - INDUSTRIA E COMERCI 30/04/2021 LQ 219,56 225,19"
"Pago título: 2112000450 5435 - ASSOCIA  O DOS PROP 31/05/2021 LQ 292,77 292,77"
"Pago título: 2112000503 7355 - ASSOCIA  O DOS FUNC 30/04/2021 LQ 265,8 272,61"
"Pago título: 2113000494 5551 - ASSOCIA  O DOS MORA 31/05/2021 LQ 243,97 243,97"
"Pago título: 2113000533 6937 - CONDOM NIO RESIDENC 31/05/2021 LQ 257,04 257,04"
"Pago título: 2114000378 5429 - YAKULT S A INDUSTRI 31/05/2021 LQ 247,02 247,02"
"Pago título: 2114000379 5429 - YAKULT S A INDUSTRI 30/06/2021 LQ 247,02 247,02"
"Pago título: 2114000380 5429 - YAKULT S A INDUSTRI 30/07/2021 LQ 247,02 247,02"
"Pago título: 2116000397 4135 - ALCEBIADES FERREIRA 30/04/2021 LQ 232,64 238,6"
"Pago título: 2116000398 4135 - ALCEBIADES FERREIRA 31/05/2021 LQ 232,66 232,66"
"Pago título: 2117000421 5633 - IBIS AGR RIA LTDA 30/04/2021 LQ 203,31 208,52"
"Pago título: 2118001202 924 - CONDOMINIO CHACARAS 31/05/2021 LQ 454,93 454,93"
"Pago título: 2118003297 3170 - MAUR CIO ROBERTO FO 30/04/2021 LQ 451,19 462,76"
"Pago título: 2118003673 3662 - ASSOCIA  O RESIDENC 30/04/2021 LQ 616,64 632,46"
"Pago título: 2118003721 3701 - ASSOCIA  O DE S CIO 30/04/2021 LQ 1207,65 1238,64"
"Pago título: 2118003977 4306 - CONSTANTE DE OLIVEI 30/04/2021 LQ 883,78 906,45"
"Pago título: 2118005025 7132 - REDE DOM PEDRO DE P 30/04/2021 LQ 573,92 588,64"
"Pago título: 2118005233 7659 - LUIZ BAS LIO REANI 30/04/2021 LQ 321,27 329,5"
