"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442311805202113848.ret"
""
"Cadastrado título novo: 9000006046 5623 - CONDOMINIO DO SHOPPI 31/05/2021 RG 272,76 0"
"Cadastrado título novo: 9000006047 163 - SABARA QUIMICOS E ING 31/05/2021 RG 582,73 0"
"Pago título: 2111000878 5445 - AUTO POSTO SALESCO 30/06/2021 LQ 263,47 263,47"
"Pago título: 2112000255 3157 - ASSOCIA  O EVANGELI 30/04/2021 LQ 222,22 227,99"
"Pago título: 2112000509 7633 - JAQUELINE DE JESUS 30/04/2021 LQ 258,31 265,01"
"Pago título: 2113000293 3456 - IGREJA DO EVANGELHO 31/05/2021 LQ 263,48 263,48"
"Pago título: 2113000541 7017 - PRIMEIRA IGREJA PRE 30/04/2021 LQ 211,39 216,87"
"Pago título: 2117000058 912 - CONFECCOES RACHELTEX 31/05/2021 LQ 203,73 203,73"
"Pago título: 2118001474 1035 - RAIZEN ENERGIA S/A 31/05/2021 LQ 22799,43 22799,43"
"Pago título: 2118002505 2094 - ASSOCIA  O DE PROPR 30/04/2021 LQ 376,41 386,18"
"Pago título: 2118003162 3026 - RAIZEN ENERGIA S/A 31/05/2021 LQ 397,98 397,98"
"Pago título: 2118003242 3112 - SUELI TADOKORO MURA 31/05/2021 LQ 208,74 208,74"
"Pago título: 2118003649 3637 - PICOLI & CARRARA CO 30/04/2021 LQ 439,15 450,56"
"Pago título: 2118003833 3926 - HWT PROMO  ES ESPOR 30/04/2021 LQ 337,56 346,33"
"Pago título: 2118004089 4580 - ASSOCIA  O DOS PROP 30/04/2021 LQ 725,66 744,52"
"Pago título: 2118004513 5464 - INSTITUTO ADVENTIST 30/04/2021 LQ 342,79 351,69"
"Pago título: 2118004761 5861 - ASSOCIA  O DESPORTI 30/04/2021 LQ 336,68 345,42"
"Pago título: 2118005089 7306 - TRANSPORTADORA FREZ 30/04/2021 LQ 454,74 466,55"
"Pago título: 2118005234 7659 - LUIZ BAS LIO REANI 31/05/2021 LQ 321,25 321,25"
"Pago título: 9000006018 3112 - SUELI TADOKORO MURAK 31/05/2021 LQ 215,07 215,07"
"Cancelado título: 2111000088 479 - SYNGENTA PROTECAO DE 30/06/2021 BX 8783 0"
