"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442331905202123508.ret"
""
"Cadastrado título novo: 9000006048 3345 - SAO PAULO SECRETARIA 31/05/2021 RG 444,58 0"
"Pago título: 2112000028 327 - DI FIORI CONSTRU  ES 31/05/2021 LQ 250,71 250,71"
"Pago título: 2112000491 7135 - ASSOCIA  O DOS PROP 30/04/2021 LQ 279,61 286,97"
"Pago título: 2113000101 1554 - TRANSPORTADORA CONT 31/05/2021 LQ 219,91 219,91"
"Pago título: 2113000164 2169 - ASSOCIA  O DE PROPR 31/05/2021 LQ 219,58 219,58"
"Pago título: 2113000344 3765 - CONDOM NIO RESIDENC 31/05/2021 LQ 245,92 245,92"
"Pago título: 2114000090 1147 - TERROIR DE BRAGAN A 31/05/2021 LQ 205,54 205,54"
"Pago título: 2114000377 5429 - YAKULT S A INDUSTRI 30/04/2021 LQ 247,03 253,53"
"Pago título: 2118000673 434 - KSPG AUTOMOTIVE BRAZ 30/04/2021 LQ 812,15 833,52"
"Pago título: 2118002098 1479 - MEAT SNACK PARTNERS 31/05/2021 LQ 472,7 472,7"
"Pago título: 2118002201 1636 - AGV LOGISTICA S.A. 30/04/2021 LQ 352,4 361,67"
"Pago título: 2118002458 1985 - CONJUNTO RESIDENCIA 31/05/2021 LQ 338,32 338,32"
"Pago título: 2118003393 3352 - CP KELCO BRASIL S/A 30/04/2021 LQ 315,54 323,84"
"Pago título: 2118003881 3984 - BELEM TRANSPORTES E 30/04/2021 LQ 372,66 382,47"
"Pago título: 2118004225 4870 - ASSOCIA  O MELHORES 30/04/2021 LQ 312,86 321,09"
"Pago título: 2118004313 5040 - CONDOM NIO GARNET 30/04/2021 LQ 397,43 407,88"
"Pago título: 2118004689 5654 - FUNDI  O REGALI BRA 30/04/2021 LQ 447,58 459,36"
"Pago título: 2118005097 7308 - MARIA CRISTINA RODR 30/04/2021 LQ 1012,43 1039,08"
"Pago título: 2118005146 7340 - SUZANO S.A. 31/05/2021 LQ 665,29 665,29"
"Pago título: 9000006035 2205 - MPW LAVANDERIA CONFE 31/05/2021 LQ 271,64 271,64"
