"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442352005202113852.ret"
""
"Cadastrado título novo: 9000006049 5493 - COMPANHIA SANEAMENTO 31/05/2021 RG 272,76 0"
"Cadastrado título novo: 9000006050 7321 - COMPANHIA SANEAMENTO 31/05/2021 RG 624,09 0"
"Pago título: 2111000078 414 - RANER INDUSTRIA TEXT 30/06/2021 LQ 222,13 222,13"
"Pago título: 2112000008 118 - ASSOCIACAO MORAD CON 31/05/2021 LQ 213 213"
"Pago título: 2112000070 1040 - CONJUNTO RESIDENCIA 31/05/2021 LQ 287,26 287,26"
"Pago título: 2112000345 3830 - CONDOM NIO RESIDENC 30/04/2021 LQ 292,76 300,56"
"Pago título: 2112000444 5304 - EDIF CIO NOVAM RICA 31/05/2021 LQ 276,19 276,19"
"Pago título: 2113000097 1482 - OLIVEIRA & OLIVEIRA 30/04/2021 LQ 259,81 266,73"
"Pago título: 2113000275 3315 - ASSOCIACAO DOS PROP 31/05/2021 LQ 219,58 219,58"
"Pago título: 2113000443 5009 - ASSOCIA  O DOS MORA 31/05/2021 LQ 204,93 204,93"
"Pago título: 2113000461 5353 - CONDOM NIO RESIDENC 31/05/2021 LQ 255,07 255,07"
"Pago título: 2114000469 7370 - GRECO & GUERREIRO L 30/04/2021 LQ 208,64 214,2"
"Pago título: 2115000016 302 - TEXTIL IRINEU MENEGH 30/04/2021 LQ 234,31 240,55"
"Pago título: 2115000017 302 - TEXTIL IRINEU MENEGH 31/05/2021 LQ 234,3 234,3"
"Pago título: 2116000176 1733 - ESPER EMBALAGENS LT 31/05/2021 LQ 201,63 201,63"
"Pago título: 2118000002 3 - CONDOMINIO RESIDENCIAL 31/05/2021 LQ 246,18 246,18"
"Pago título: 2118000297 166 - BRF - BRASIL FOODS S 30/04/2021 LQ 259,59 266,51"
"Pago título: 2118001970 1289 - ASGA S/A 31/05/2021 LQ 292,77 292,77"
"Pago título: 2118002257 1701 - TINTURARIA E ESTAMP 30/04/2021 LQ 257,71 264,57"
"Pago título: 2118002818 2549 - KNAUF ISOPOR LTDA. 31/05/2021 LQ 312,82 312,82"
"Pago título: 2118002881 2684 - ANTONIO SERGIO LEIT 30/04/2021 LQ 365,95 375,69"
"Pago título: 2118004913 6911 - MAURO DA SILVA ARTU 30/04/2021 LQ 348,54 357,83"
"Pago título: 2118005177 7358 - FIVE12 2016 EMPREEN 30/04/2021 LQ 330,87 339,68"
"Pago título: 9000005977 392 - CONDOMINIO SHOPPING C 31/05/2021 LQ 1162,71 1162,71"
