"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442711606202113626.ret"
""
"Cadastrado título novo: 9000006165 3720 - J.L. PAULO e CIA LTD 30/06/2021 RG 217,82 0"
"Cadastrado título novo: 9000006166 4804 - FATIMA APARECIDA LAN 30/06/2021 RG 505,18 0"
"Cadastrado título novo: 9000006167 5577 - HM 33 EMPREENDIMENTO 30/06/2021 RG 1028,69 0"
"Cadastrado título novo: 9000006168 993 - RIGESA CELULOSE PAPEL 30/06/2021 RG 430,25 0"
"Cadastrado título novo: 9000006169 3981 - O.S. DISTRIBUIDORA D 30/06/2021 RG 498,28 0"
"Pago título: 2111000006 21 - PLASTIPAK PACKAGING D 30/06/2021 LQ 1563,31 1563,31"
"Pago título: 2111000226 1452 - CERAMICA TABOAL LTD 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000276 1792 - ASSOC DE AMIGOS DO 30/06/2021 LQ 2400,69 2400,69"
"Pago título: 2111000409 2537 - DIA BRASIL SOCIEDAD 30/06/2021 LQ 419,3 419,3"
"Pago título: 2111000762 4149 - ESCOLA DE EDUCACAO 30/06/2021 LQ 148,57 148,57"
"Pago título: 2111000800 4518 - S O PAULO MINAS COM 30/06/2021 LQ 100,26 100,26"
"Pago título: 2111000901 5555 - ASSUN  O EMPREENDIM 30/06/2021 LQ 319,85 319,85"
"Pago título: 2114000099 1213 - PRAIA DOS NAMORADOS 30/06/2021 LQ 219,58 219,58"
"Pago título: 2115000018 302 - TEXTIL IRINEU MENEGH 30/06/2021 LQ 234,3 234,3"
"Pago título: 2118003555 3471 - ALTO DA COLINA VERD 30/06/2021 LQ 252,88 252,88"
"Pago título: 2118003746 3720 - J.L. PAULO & CIA LT 31/05/2021 LQ 209,34 214,63"
"Pago título: 2118003955 4280 - YARA BRASIL FERTILI 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118004314 5040 - CONDOM NIO GARNET 31/05/2021 LQ 397,43 407,48"
