"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442731706202113314.ret"
""
"Cadastrado título novo: 9000006170 3678 - ASSOC DOS PROPR DO L 30/06/2021 RG 486,07 0"
"Cadastrado título novo: 9000006171 2255 - CRIVELLARO E FILHOS 30/06/2021 RG 463,81 0"
"Cadastrado título novo: 9000006172 3774 - ASSOCIACAO DOS PROP 30/06/2021 RG 468,92 0"
"Cadastrado título novo: 9000006173 4694 - WALDIR PARISE E OUTR 30/06/2021 RG 477,81 0"
"Cadastrado título novo: 9000006174 5183 - PARQUE TURISTICO SER 30/06/2021 RG 505,18 0"
"Cadastrado título novo: 9000006175 7358 - FIVE12 2016 EMPREEND 30/06/2021 RG 2326,01 0"
"Cadastrado título novo: 9000006176 2675 - CORR PLASTIK LTDA 30/06/2021 RG 447,09 0"
"Cadastrado título novo: 9000006177 3545 - TEXTIL CARUARU LTDA. 30/06/2021 RG 470,84 0"
"Cadastrado título novo: 9000006178 3994 - ASSOCIACAO RESERVA D 30/06/2021 RG 467,66 0"
"Pago título: 2111000154 1009 - CONDOMINIO EDIFICIO 30/06/2021 LQ 196,94 196,94"
"Pago título: 2111000643 3638 - POLIMIX CONCRETO LT 30/06/2021 LQ 250,26 250,26"
"Pago título: 2112000296 3492 - AUTO POSTO NC LTDA 31/05/2021 LQ 228,02 233,87"
"Pago título: 2113000081 1051 - ITABRAS MINERA  O 30/06/2021 LQ 212,64 212,64"
"Pago título: 2113000429 4804 - FATIMA APARECIDA LA 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000462 5353 - CONDOM NIO RESIDENC 30/06/2021 LQ 255,07 255,07"
"Pago título: 2115000297 5651 - TERROIR DE BRAGAN A 31/05/2021 LQ 203,89 209,11"
"Pago título: 2115000298 5651 - TERROIR DE BRAGAN A 30/06/2021 LQ 203,89 203,89"
"Pago título: 2118000003 3 - CONDOMINIO RESIDENCIAL 30/06/2021 LQ 246,18 246,18"
"Pago título: 2118000387 225 - AMPARO ATLETICO CLUB 30/06/2021 LQ 643,12 643,12"
"Pago título: 2118003802 3857 - CRS MINERA  O IND S 31/05/2021 LQ 997,11 1022,69"
"Pago título: 9000006169 3981 - O.S. DISTRIBUIDORA D 30/06/2021 LQ 498,28 498,28"
