"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442792206202113842.ret"
""
"Cadastrado título novo: 9000006182 449 - ASSOCIACAO PRO AGUA T 30/06/2021 RG 1660,49 0"
"Cadastrado título novo: 9000006183 624 - ARMINDO DIAS 30/06/2021 RG 303,1 0"
"Cadastrado título novo: 9000006184 3703 - ASSOCIACAO DOS PROP. 30/06/2021 RG 424,37 0"
"Pago título: 2111000359 2297 - VITORIA QUIMICA TIN 30/06/2021 LQ 416,67 416,67"
"Pago título: 2111000518 2995 - T XTIL R.C. LTDA 30/06/2021 LQ 195,12 195,12"
"Pago título: 2111000625 3553 - P ROLA CONFEC  ES E 30/06/2021 LQ 332,88 332,88"
"Pago título: 2111000627 3559 - LABOR GROUP EMPREEN 30/06/2021 LQ 157,73 157,73"
"Pago título: 2111000755 4092 - CONDOMINIO RESIDENC 30/06/2021 LQ 271,57 271,57"
"Pago título: 2111000815 4741 - RODOSNACK MIRANTE L 30/06/2021 LQ 731,9 731,9"
"Pago título: 2111000832 4866 - TECICLEAN TECELAGEM 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000887 5477 - SAN MARCOS REVESTIM 30/06/2021 LQ 878,3 878,3"
"Pago título: 2113000258 3159 - RESIDENCIAL CLUBE C 30/06/2021 LQ 205,96 205,96"
"Pago título: 2113000267 3193 - NOSSO CLUBE 30/06/2021 LQ 214,6 214,6"
"Pago título: 2114000111 1375 - IGREJA DO EVANGELHO 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118000698 452 - WHIRLPOOL S/A 31/05/2021 LQ 1030,46 1058,61"
"Pago título: 2118001939 1246 - CLUBE JUNDIAIENSE 30/06/2021 LQ 364,31 364,31"
"Pago título: 9000006112 6768 - CONDOMINIO RESIDENCI 30/06/2021 LQ 672,67 672,67"
"Pago título: 9000006179 5434 - APARECIDA FLORENCIO 30/06/2021 LQ 493,32 493,32"
