"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442852506202113837.ret"
""
"Cadastrado título novo: 9000006199 3723 - EQUIPAR TECNOLOGIA I 30/07/2021 RG 505,14 0"
"Cadastrado título novo: 9000006200 4782 - D FORNARI e CIA LTDA 30/06/2021 RG 431,93 0"
"Cadastrado título novo: 9000006201 3463 - PREFEITURA MUNICIPAL 30/06/2021 RG 433,01 0"
"Cadastrado título novo: 9000006202 4783 - CORREIAS MERCURIO S/ 30/06/2021 RG 221,59 0"
"Cadastrado título novo: 9000006203 5367 - GOODMAN VIRACOPOS EM 30/06/2021 RG 438,92 0"
"Cadastrado título novo: 9000006204 4895 - VYLLA EMPREENDIMENTO 30/06/2021 RG 208,15 0"
"Cadastrado título novo: 9000006205 2301 - DRYLLER INDUSTRIA E 30/06/2021 RG 438,47 0"
"Cadastrado título novo: 9000006206 2185 - CFI CONSULTORIA, PRO 30/06/2021 RG 736,86 0"
"Cadastrado título novo: 9000006207 1042 - MANETONI CENTRAL DE 30/06/2021 RG 480,54 0"
"Pago título: 2111000067 369 - CONDOMINIO EDIFICIO 30/06/2021 LQ 182,41 182,41"
"Pago título: 2111000074 395 - EDIFICIO RESIDENCIAL 30/06/2021 LQ 200,62 200,62"
"Pago título: 2111000080 423 - VALEO SISTEMAS AUTOM 30/06/2021 LQ 1209,76 1209,76"
"Pago título: 2111000081 439 - SABIC INNOVATIVE PLA 30/06/2021 LQ 1717,77 1717,77"
"Pago título: 2111000092 496 - VETTA QUIMICA IMPORT 30/06/2021 LQ 533,08 533,08"
"Pago título: 2111000119 809 - TELMA AMARAL DUARTE 30/06/2021 LQ 316,98 316,98"
"Pago título: 2111000155 1010 - CONDOMINIO INDUSTRI 30/06/2021 LQ 235,61 235,61"
"Pago título: 2111000156 1011 - CONDOMINIO EDIFICIO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000319 2070 - CTEEP CIA DE TRANSM 30/06/2021 LQ 585,53 585,53"
"Pago título: 2111000320 2073 - CTEEP CIA DE TRANSM 30/06/2021 LQ 395,23 395,23"
"Pago título: 2111000436 2670 - RONALDO ALU SIO KIE 30/06/2021 LQ 380,58 380,58"
"Pago título: 2111000448 2715 - CONDOMINIO EDIFICIO 30/06/2021 LQ 118,35 118,35"
"Pago título: 2111000556 3215 - ASSOC DOS PROPRIET 30/06/2021 LQ 336,68 336,68"
"Pago título: 2111000764 4175 - INBRASC - INDUSTRIA 30/06/2021 LQ 208,21 208,21"
"Pago título: 2111000808 4661 - CONDOM NIO EDIF CIO 30/06/2021 LQ 317,47 317,47"
"Pago título: 2111000865 5378 - JD AGRICULTURA E PA 30/06/2021 LQ 223,64 223,64"
"Pago título: 2111000874 5424 - SOLDI INCORPORADORA 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000876 5438 - ASSOCIA  O BENEFICI 30/06/2021 LQ 223,82 223,82"
"Pago título: 2111000894 5509 - IRON MOUNTAIN DO BR 30/06/2021 LQ 292,67 292,67"
"Pago título: 2111000930 6763 - CONDOM NIO RESIDENC 30/06/2021 LQ 262,62 262,62"
"Pago título: 2113000186 2360 - ORION COM RCIO DE M 30/06/2021 LQ 234,55 234,55"
"Pago título: 2113000330 3642 - CONDOM NIO RESIDENC 30/06/2021 LQ 265,01 265,01"
"Pago título: 2113000333 3659 - CARLOS CORDIOLI DIS 30/06/2021 LQ 204,93 204,93"
