"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442872806202124552.ret"
""
"Cadastrado título novo: 9000006208 4862 - PSS DE CAMARGO SERVI 30/06/2021 RG 434,48 0"
"Cadastrado título novo: 9000006209 4862 - PSS DE CAMARGO SERVI 30/07/2021 RG 434,48 0"
"Cadastrado título novo: 9000006210 4862 - PSS DE CAMARGO SERVI 31/08/2021 RG 434,48 0"
"Cadastrado título novo: 9000006211 4862 - PSS DE CAMARGO SERVI 30/09/2021 RG 434,48 0"
"Cadastrado título novo: 9000006212 4862 - PSS DE CAMARGO SERVI 29/10/2021 RG 434,48 0"
"Cadastrado título novo: 9000006213 4862 - PSS DE CAMARGO SERVI 30/11/2021 RG 434,48 0"
"Cadastrado título novo: 9000006214 932 - GREMIO RECR EMPREGADO 30/06/2021 RG 1173,28 0"
"Cadastrado título novo: 9000006215 3929 - MINERACAO SAMAMBAIA 30/06/2021 RG 418,68 0"
"Cadastrado título novo: 9000006216 917 - BMB BELGO MINEIRA BEK 30/06/2021 RG 1898,05 0"
"Cadastrado título novo: 9000006217 2783 - PIRELLI PNEUS LTDA 30/06/2021 RG 1160,82 0"
"Cadastrado título novo: 9000006218 1454 - FOXCONN BRASIL INDUS 30/07/2021 RG 1106,74 0"
"Pago título: 2111000003 13 - CONDOMINIO EDIFICIO B 30/06/2021 LQ 252,23 252,23"
"Pago título: 2111000008 35 - VALE DAS AGUAS COUNTR 30/06/2021 LQ 169,4 169,4"
"Pago título: 2111000047 249 - CLUBE CAMPINEIRO DE 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000064 363 - H N HOT IS E TURISMO 30/06/2021 LQ 389,93 389,93"
"Pago título: 2111000079 420 - CONDOMINIO EDIFICIO 30/06/2021 LQ 239,31 239,31"
"Pago título: 2111000098 544 - GALLE INDUSTRIA E CO 30/06/2021 LQ 65,49 65,49"
"Pago título: 2111000099 546 - CONDOMINIO EDIFICIO 30/06/2021 LQ 213,23 213,23"
"Pago título: 2111000150 984 - DOM PEDRO EMPREENDIM 30/06/2021 LQ 363,03 363,03"
"Pago título: 2111000160 1016 - CONDOMINIO EDIFICIO 30/06/2021 LQ 206,8 206,8"
"Pago título: 2111000200 1269 - AUTO POSTO MAGGA LT 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000204 1316 - CACOCI CONSULTORIA 30/06/2021 LQ 274,47 274,47"
"Pago título: 2111000212 1385 - FENIX INDUSTRIA DE 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000230 1468 - VINHEDO HOTELARIA M 30/06/2021 LQ 349,58 349,58"
"Pago título: 2111000252 1633 - ASSOCIACAO DOS MORA 30/06/2021 LQ 2049,38 2049,38"
"Pago título: 2111000260 1702 - TECNOLITE PRODUTOS 30/06/2021 LQ 390,4 390,4"
"Pago título: 2111000263 1735 - GRUTA DOS AN ES TUR 30/06/2021 LQ 105,4 105,4"
"Pago título: 2111000314 2033 - CENTRO HOSPITALAR V 30/06/2021 LQ 262,78 262,78"
"Pago título: 2111000328 2130 - SINEIO LUCIO SERAFI 30/06/2021 LQ 111,52 111,52"
"Pago título: 2111000352 2259 - SANPHAR SAUDE ANIMA 30/06/2021 LQ 134,97 134,97"
"Pago título: 2111000356 2288 - HONDA LOCK SAO PAUL 30/06/2021 LQ 322,05 322,05"
"Pago título: 2111000397 2494 - TAUA EMPREENDIMENTO 30/06/2021 LQ 430,37 430,37"
"Pago título: 2111000476 2813 - TRBR IND STRIA E CO 30/06/2021 LQ 7675,23 7675,23"
"Pago título: 2111000482 2830 - FRANCISCO CORNELIUS 30/06/2021 LQ 304,77 304,77"
"Pago título: 2111000521 3005 - CONDOM NIO RESIDENC 30/06/2021 LQ 328,25 328,25"
"Pago título: 2111000555 3206 - ASSOCIA  O DE AMIGO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000564 3249 - RIO CLARO SUPER POI 30/06/2021 LQ 173,44 173,44"
"Pago título: 2111000571 3281 - CL NICA M DICA IP 30/06/2021 LQ 292,77 292,77"
