"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442892906202114353.ret"
""
"Cadastrado título novo: 9000006219 3342 - XERIUM TECHNOLOGIES 30/07/2021 RG 435,56 0"
"Cadastrado título novo: 9000006220 5212 - SUPERMERCADO DELTA M 30/07/2021 RG 121,62 0"
"Cadastrado título novo: 9000006221 194 - CRUZEIRO DO SUL INDUS 30/07/2021 RG 1838,18 0"
"Cadastrado título novo: 9000006222 4356 - CONDOMINIO RESIDENCI 30/06/2021 RG 454,64 0"
"Cadastrado título novo: 9000006223 5947 - SERVICO SOCIAL DO CO 30/07/2021 RG 421,7 0"
"Cadastrado título novo: 9000006224 1705 - SAINT-GOBAIN DO BRAS 30/06/2021 RG 257,58 0"
"Pago título: 2111000001 7 - AEROPORTO BRASIL-VIRAC 30/06/2021 LQ 6031,45 6031,45"
"Pago título: 2111000004 16 - INDAIA HOTELARIA LTDA 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000017 104 - SCHOLLE LTDA 30/06/2021 LQ 1873,71 1873,71"
"Pago título: 2111000029 140 - RODOPOSTO BANDEIRANT 30/06/2021 LQ 288,4 288,4"
"Pago título: 2111000058 337 - EMPRESA S O JO O DE 30/06/2021 LQ 283,71 283,71"
"Pago título: 2111000063 353 - CONJUNTO RESIDENCIAL 30/06/2021 LQ 295,87 295,87"
"Pago título: 2111000065 364 - RAINHA INDUSTRIA E C 30/06/2021 LQ 118,48 118,48"
"Pago título: 2111000135 922 - ASSOC DE FUNCION RIO 30/06/2021 LQ 316,72 316,72"
"Pago título: 2111000142 935 - PREFEITURA MUNICIPAL 30/06/2021 LQ 23557,34 23557,34"
"Pago título: 2111000161 1019 - CONDOMINIO EDIFICIO 30/06/2021 LQ 321,03 321,03"
"Pago título: 2111000163 1023 - CONDOMINIO EDIFICIO 30/06/2021 LQ 274,23 274,23"
"Pago título: 2111000165 1026 - CONDOMINIO EDIFICIO 30/06/2021 LQ 220,57 220,57"
"Pago título: 2111000186 1160 - OPERSAN RES DUOS IN 30/06/2021 LQ 750,03 750,03"
"Pago título: 2111000211 1384 - BRITISH INDUSTRIA E 30/06/2021 LQ 167,1 167,1"
"Pago título: 2111000221 1416 - FLORA 7 ERVAS PRODU 30/06/2021 LQ 38,5 38,5"
"Pago título: 2111000222 1424 - THORNTON ELETRONICA 30/06/2021 LQ 319,2 319,2"
