"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2111000005 20 - TYROLIT DO BRASIL LTD 30/06/2021 LQ 350,36 350,36"
"Pago título: 2111000010 40 - CONDOMINIO RESIDENCIA 30/06/2021 LQ 250,32 250,32"
"Pago título: 2111000012 48 - HUF DO BRASIL LTDA 30/06/2021 LQ 720,21 720,21"
"Pago título: 2111000014 70 - DS SIQUEIRA & LIMA HO 30/06/2021 LQ 180,64 180,64"
"Pago título: 2111000016 89 - IMERYS FUSED MINERALS 30/06/2021 LQ 2172,18 2172,18"
"Pago título: 2111000019 110 - SUNTECH SUPPLIES IND 30/06/2021 LQ 134,97 134,97"
"Pago título: 2111000020 113 - POLIMIX CONCRETO LTD 30/06/2021 LQ 466,01 466,01"
"Pago título: 2111000022 117 - MOTO HONDA DA AMAZ N 30/06/2021 LQ 770,42 770,42"
"Pago título: 2111000025 124 - SMART ADMINISTRACAO 30/06/2021 LQ 230,16 230,16"
"Pago título: 2111000026 132 - DESTRO BRASIL DISTRI 30/06/2021 LQ 100,25 100,25"
"Pago título: 2111000030 143 - CONDOMINIO EDIFICIO 30/06/2021 LQ 267,95 267,95"
"Pago título: 2111000031 146 - CONDOM NIO RESIDENCI 30/06/2021 LQ 368,89 368,89"
"Pago título: 2111000032 151 - MOMENTIVE PERFORMANC 30/06/2021 LQ 2179,86 2179,86"
"Pago título: 2111000034 169 - CORPUS SANEAMENTO E 30/06/2021 LQ 749,1 749,1"
"Pago título: 2111000035 171 - MONDELEZ BRASIL LTDA 30/06/2021 LQ 731,9 731,9"
"Pago título: 2111000036 174 - TMD FRICTION DO BRAS 30/06/2021 LQ 363,98 363,98"
"Pago título: 2111000038 181 - EMULZINT ADITIVOS AL 30/06/2021 LQ 191,78 191,78"
"Pago título: 2111000039 193 - ENGOMAGEM T XTIL WHI 30/06/2021 LQ 176,18 176,18"
"Pago título: 2111000042 211 - FERNANDEZ S.A. INDUS 30/06/2021 LQ 4974,32 4974,32"
"Pago título: 2111000044 214 - AKZO NOBEL PULP AND 30/06/2021 LQ 13337,04 13337,04"
"Pago título: 2111000049 263 - CLUBE SEMANAL DA CUL 30/06/2021 LQ 365,47 365,47"
"Pago título: 2111000050 292 - CIA BRASILEIRA DE DI 30/06/2021 LQ 729,43 729,43"
"Pago título: 2111000053 311 - COMERCIO TERRAPLENAG 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000054 314 - SUPERMERCADOS CAETAN 30/06/2021 LQ 211,98 211,98"
"Pago título: 2111000057 331 - MEDLEY FARMAC UTICA 30/06/2021 LQ 1241,73 1241,73"
"Pago título: 2111000059 338 - ESCOLAS PADRE ANCHIE 30/06/2021 LQ 200,29 200,29"
"Pago título: 2111000060 339 - LITOGRAFIA BANDEIRAN 30/06/2021 LQ 148,84 148,84"
"Pago título: 2111000062 343 - CENTRO EDUCACIONAL D 30/06/2021 LQ 124,25 124,25"
"Pago título: 2111000066 368 - COMERCIAL RIGHI LTDA 30/06/2021 LQ 199,13 199,13"
"Pago título: 2111000069 386 - TRANSPORTADORA TRANS 30/06/2021 LQ 264,54 264,54"
"Pago título: 2111000070 388 - FLOREN A PALACE HOTE 30/06/2021 LQ 297,68 297,68"
"Pago título: 2111000071 389 - STOLLER DO BRASIL LT 30/06/2021 LQ 5305,12 5305,12"
"Pago título: 2111000076 405 - PIRAENTUR PIRACICABA 30/06/2021 LQ 224,04 224,04"
"Pago título: 2111000077 410 - CONCESSION RIA  DO S 30/06/2021 LQ 295,69 295,69"
"Pago título: 2111000082 460 - POSTO MODELO DE LIME 30/06/2021 LQ 141,05 141,05"
"Pago título: 2111000083 463 - TAKEDA PHARMA LTDA 30/06/2021 LQ 911,36 911,36"
"Pago título: 2111000086 467 - PAGUE MENOS COMERCIO 30/06/2021 LQ 253,81 253,81"
"Pago título: 2111000087 468 - PAGUE MENOS COMERCIO 30/06/2021 LQ 223,82 223,82"
"Pago título: 2111000093 506 - KLABIN S/A 30/06/2021 LQ 217,72 217,72"
"Pago título: 2111000094 516 - TETRA PAK LTDA 30/06/2021 LQ 4889,35 4889,35"
"Pago título: 2111000095 532 - CENTRO ESTADUAL DE E 30/06/2021 LQ 832,55 832,55"
"Pago título: 2111000096 541 - LIMER-CART INDUSTRIA 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000097 542 - GLASSEC VIDROS DE SE 30/06/2021 LQ 1229,62 1229,62"
"Pago título: 2111000100 548 - ROSFRIOS ALIMENTOS L 30/06/2021 LQ 254,11 254,11"
"Pago título: 2111000101 555 - UNIMED COOPERATIVA C 30/06/2021 LQ 380,58 380,58"
"Pago título: 2111000102 562 - M. N. TERUYA COMERCI 30/06/2021 LQ 31,82 31,82"
"Pago título: 2111000104 571 - ADELBRAS INDUSTRIA E 30/06/2021 LQ 540,95 540,95"
"Pago título: 2111000105 573 - NEXANS BRASIL S/A 30/06/2021 LQ 2165,29 2165,29"
"Pago título: 2111000106 583 - HOTEL BOURBON DE FOZ 30/06/2021 LQ 1590,56 1590,56"
"Pago título: 2111000107 586 - SCHNEIDER ELECTRIC B 30/06/2021 LQ 234,75 234,75"
"Pago título: 2111000108 591 - UMICORE BRASIL LTDA 30/06/2021 LQ 1078,91 1078,91"
"Pago título: 2111000111 657 - ALCINO ACACIO MARTIN 30/06/2021 LQ 244,94 244,94"
"Pago título: 2111000113 731 - AUGUSTA MARTINS FIOR 30/06/2021 LQ 216,27 216,27"
"Pago título: 2111000114 750 - JOSE BENEDITO GONCAL 30/06/2021 LQ 172,51 172,51"
"Pago título: 2111000115 764 - CARLOS ALBERTO LOURE 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000116 771 - JONATAS DE OLIVEIRA 30/06/2021 LQ 323,66 323,66"
"Pago título: 2111000120 827 - UNIVERSIDADE ESTADUA 30/06/2021 LQ 5318,1 5318,1"
"Pago título: 2111000121 830 - UNIVERSIDADE ESTADUA 30/06/2021 LQ 2801,02 2801,02"
"Pago título: 2111000123 853 - TAKASAGO FRANGANCIAS 30/06/2021 LQ 309,17 309,17"
"Pago título: 2111000124 859 - AKZO NOBEL PULP AND 30/06/2021 LQ 2564,9 2564,9"
"Pago título: 2111000126 862 - THE LYCRA COMPANY IN 30/06/2021 LQ 6697,88 6697,88"
"Pago título: 2111000130 872 - ROBERT BOSCH LTDA 30/06/2021 LQ 3345,42 3345,42"
"Pago título: 2111000132 897 - TEXPAL QUIMICA LTDA 30/06/2021 LQ 329,81 329,81"
"Pago título: 2111000133 915 - COBRASCAL INDUSTRIA 30/06/2021 LQ 5552,58 5552,58"
"Pago título: 2111000136 926 - FERTILIZANTES HERING 30/06/2021 LQ 409,17 409,17"
"Pago título: 2111000139 929 - NSA SRA DE FATIMA IN 30/06/2021 LQ 237,14 237,14"
"Pago título: 2111000144 956 - CER MICA VILLAGRES L 30/06/2021 LQ 8645,58 8645,58"
"Pago título: 2111000145 958 - MEFSA - MEC NICA E F 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000148 979 - CRIVELLARO & FILHOS 30/06/2021 LQ 215,15 215,15"
"Pago título: 2111000151 995 - CADSERVICE PRODUTOS 30/06/2021 LQ 348,09 348,09"
"Pago título: 2111000152 1003 - ANTIBI TICOS DO BRA 30/06/2021 LQ 2750,16 2750,16"
"Pago título: 2111000158 1013 - MEXICHEM BRASIL IND 30/06/2021 LQ 2831,96 2831,96"
"Pago título: 2111000159 1015 - ASSOCIA  O BRAS IGR 30/06/2021 LQ 2132,29 2132,29"
"Pago título: 2111000164 1025 - CONDOMINIO SOLAR DO 30/06/2021 LQ 135,79 135,79"
"Pago título: 2111000166 1027 - GRAFICA EDITORA GUT 30/06/2021 LQ 97,16 97,16"
"Pago título: 2111000167 1037 - EXXONMOBIL QUIMICA 30/06/2021 LQ 200,92 200,92"
"Pago título: 2111000168 1043 - MAGNA DO BRASIL PRO 30/06/2021 LQ 1573 1573"
"Pago título: 2111000169 1053 - CONDOMINIO EDIFICIO 30/06/2021 LQ 164,24 164,24"
"Pago título: 2111000170 1080 - METALURGICA RIGITEC 30/06/2021 LQ 383,08 383,08"
"Pago título: 2111000173 1091 - DEPARTAMENTO DE AGU 30/06/2021 LQ 130,86 130,86"
"Pago título: 2111000175 1098 - INDUSTRIAS TEXTEIS 30/06/2021 LQ 80,97 80,97"
"Pago título: 2111000176 1099 - EQUIPESCA EQUIPAMEN 30/06/2021 LQ 251,28 251,28"
"Pago título: 2111000178 1108 - GREINER BIO-ONE BRA 30/06/2021 LQ 693,46 693,46"
"Pago título: 2111000179 1114 - COMUNIDADE RELIGIOS 30/06/2021 LQ 471,78 471,78"
"Pago título: 2111000182 1127 - VALBORMIDA BRASIL M 30/06/2021 LQ 281,7 281,7"
"Pago título: 2111000183 1133 - AIR LIQUIDE BRASIL 30/06/2021 LQ 375,99 375,99"
"Pago título: 2111000184 1142 - KLABIN S/A 30/06/2021 LQ 2312,61 2312,61"
"Pago título: 2111000185 1156 - CBP - INDUSTRIA BRA 30/06/2021 LQ 702,64 702,64"
"Pago título: 2111000188 1170 - ASSOCIACAO BENEDITI 30/06/2021 LQ 309,21 309,21"
"Pago título: 2111000190 1172 - ANCHIETA COM RCIO E 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000192 1200 - CLARO S.A. 30/06/2021 LQ 239,06 239,06"
"Pago título: 2111000193 1201 - ASSOCIA  O DOS MORA 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000194 1203 - DIPALMA COM, DISTRI 30/06/2021 LQ 345,16 345,16"
"Pago título: 2111000195 1215 - R PIDO LUXO CAMPINA 30/06/2021 LQ 143,29 143,29"
"Pago título: 2111000201 1278 - LIQUIGAS DISTRIBUID 30/06/2021 LQ 260,56 260,56"
"Pago título: 2111000202 1285 - TST ISOLANTES TERMI 30/06/2021 LQ 289,84 289,84"
"Pago título: 2111000206 1360 - UNIMED DE CAPIVARI 30/06/2021 LQ 337,55 337,55"
"Pago título: 2111000207 1369 - MARIA CHRISTINA CLE 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000208 1370 - TELLEMAX CONSULTORI 30/06/2021 LQ 102,02 102,02"
"Pago título: 2111000210 1376 - ITM LATIN AM RICA I 30/06/2021 LQ 2781,29 2781,29"
"Pago título: 2111000214 1391 - TREBOL BRASIL LTDA 30/06/2021 LQ 153,84 153,84"
"Pago título: 2111000215 1399 - CONSIGAZ DISTRIBUID 30/06/2021 LQ 993,8 993,8"
"Pago título: 2111000216 1406 - COMUNIDADE RELIGIOS 30/06/2021 LQ 1596,75 1596,75"
"Pago título: 2111000217 1408 - ARCOR DO BRASIL LTD 30/06/2021 LQ 3166,21 3166,21"
"Pago título: 2111000218 1409 - ASTRA S/A IND STRIA 30/06/2021 LQ 204,18 204,18"
"Pago título: 2111000219 1410 - CASP S/A INDUSTRIA 30/06/2021 LQ 351,32 351,32"
"Pago título: 2111000220 1413 - CERAMICA SAO JOSE L 30/06/2021 LQ 365,96 365,96"
"Pago título: 2111000223 1427 - CONCESSION RIA  DO 30/06/2021 LQ 432,68 432,68"
"Pago título: 2111000224 1439 - HOSPITAL NOVO ATIBA 30/06/2021 LQ 301,39 301,39"
"Pago título: 2111000229 1464 - REIPEL - RECICLAGEM 30/06/2021 LQ 1367,14 1367,14"
"Pago título: 2111000231 1480 - ASSOCIACAO DOS AMIG 30/06/2021 LQ 711,42 711,42"
"Pago título: 2111000232 1492 - STRATURA ASFALTOS S 30/06/2021 LQ 285,86 285,86"
"Pago título: 2111000233 1549 - VOTORANTIM CIMENTOS 30/06/2021 LQ 389,38 389,38"
"Pago título: 2111000235 1551 - HOSPITAL SANTA IGNE 30/06/2021 LQ 352,09 352,09"
"Pago título: 2111000237 1557 - SOCIEDADE DE INSTRU 30/06/2021 LQ 175,06 175,06"
"Pago título: 2111000239 1568 - MARCELO RODOLFO HAH 30/06/2021 LQ 242,41 242,41"
"Pago título: 2111000243 1578 - FW DISTRIBUIDORA LT 30/06/2021 LQ 306,46 306,46"
"Pago título: 2111000244 1580 - ENGRATECH TECNOLOGI 30/06/2021 LQ 364,08 364,08"
"Pago título: 2111000245 1581 - FUPRESA S A 30/06/2021 LQ 296 296"
"Pago título: 2111000247 1599 - LUIZ GUILHERME SART 30/06/2021 LQ 392,75 392,75"
"Pago título: 2111000249 1606 - ANTONIO CELSO GRECC 30/06/2021 LQ 225,72 225,72"
"Pago título: 2111000250 1614 - CONDOMINIO RESIDENC 30/06/2021 LQ 318,82 318,82"
"Pago título: 2111000251 1620 - FAM CONSTRUCOES MET 30/06/2021 LQ 307,41 307,41"
"Pago título: 2111000261 1711 - MULTIVETRO IND STRI 30/06/2021 LQ 389,41 389,41"
"Pago título: 2111000264 1745 - FURNAS CENTRAIS ELE 30/06/2021 LQ 1256,37 1256,37"
"Pago título: 2111000265 1755 - COOPERATIVA DOS PRO 30/06/2021 LQ 187,58 187,58"
"Pago título: 2111000268 1765 - INDUSTRIA DE MAQUIN 30/06/2021 LQ 289,84 289,84"
"Pago título: 2111000269 1770 - RIO DAS PEDRAS COM 30/06/2021 LQ 262,6 262,6"
"Pago título: 2111000270 1771 - SUPERMERCADOS CAVIC 30/06/2021 LQ 187,62 187,62"
"Pago título: 2111000271 1773 - CONCREBASE - SERVIC 30/06/2021 LQ 243,83 243,83"
"Pago título: 2111000273 1780 - SERVICO SOCIAL DA I 30/06/2021 LQ 938,59 938,59"
"Pago título: 2111000279 1823 - B. A. BARBOSA SUPER 30/06/2021 LQ 129,71 129,71"
"Pago título: 2111000280 1833 - AGRANA FRUIT BRASIL 30/06/2021 LQ 1212,75 1212,75"
"Pago título: 2111000281 1837 - AUTO POSTO ALVORADA 30/06/2021 LQ 118,35 118,35"
"Pago título: 2111000283 1847 - VICUNHA SERVI OS LT 30/06/2021 LQ 263,88 263,88"
"Pago título: 2111000284 1851 - RIVIJUN HOT IS E TU 30/06/2021 LQ 193,03 193,03"
"Pago título: 2111000285 1858 - ROBSON APARECIDO LE 30/06/2021 LQ 827,76 827,76"
"Pago título: 2111000286 1867 - MARKBEM CITRUS LTDA 30/06/2021 LQ 332,76 332,76"
"Pago título: 2111000287 1877 - METACAULIM DO BRASI 30/06/2021 LQ 200,58 200,58"
"Pago título: 2111000288 1881 - EMPREENDIMENTOS ROD 30/06/2021 LQ 227,81 227,81"
"Pago título: 2111000289 1882 - CONDOMINIO MAXI SHO 30/06/2021 LQ 1299,43 1299,43"
"Pago título: 2111000291 1889 - IMBRAMIL INDUSTRIA 30/06/2021 LQ 213,24 213,24"
"Pago título: 2111000293 1904 - ELEKTRO ELETRICIDAD 30/06/2021 LQ 439,14 439,14"
"Pago título: 2111000295 1916 - HOTEL NOVO LIMEIRA 30/06/2021 LQ 357,05 357,05"
"Pago título: 2111000296 1919 - WORTEX M QUINAS E E 30/06/2021 LQ 217,14 217,14"
"Pago título: 2111000297 1929 - AGRITECH LAVRALE S 30/06/2021 LQ 140,21 140,21"
"Pago título: 2111000299 1938 - CORPUS SANEAMENTO E 30/06/2021 LQ 91,14 91,14"
"Pago título: 2111000300 1941 - ESSENCEFLORA INDUST 30/06/2021 LQ 1105,39 1105,39"
"Pago título: 2111000303 1949 - ASTEN & CIA LTDA 30/06/2021 LQ 263,49 263,49"
"Pago título: 2111000305 1969 - COLORMINAS COLORIFI 30/06/2021 LQ 2223,38 2223,38"
"Pago título: 2111000306 1975 - TORETI & TORETI COM 30/06/2021 LQ 247,45 247,45"
"Pago título: 2111000307 1980 - SERVICO SOCIAL DA I 30/06/2021 LQ 191,91 191,91"
"Pago título: 2111000308 1981 - BOSAL DO BRASIL LTD 30/06/2021 LQ 1600,98 1600,98"
"Pago título: 2111000309 1997 - INDAFARMA IND STRIA 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000310 2008 - VIP INDUSTRIA E COM 30/06/2021 LQ 2264,33 2264,33"
"Pago título: 2111000311 2015 - LINBRAS LINHAS BRAS 30/06/2021 LQ 179,02 179,02"
"Pago título: 2111000312 2018 - INDUSTRIA DE MOTORE 30/06/2021 LQ 264,69 264,69"
"Pago título: 2111000313 2032 - SEW - EURODRIVE BRA 30/06/2021 LQ 442,3 442,3"
"Pago título: 2111000315 2048 - CONDOMINIO RESIDENC 30/06/2021 LQ 325,98 325,98"
"Pago título: 2111000316 2052 - MACCAFERRI DO BRASI 30/06/2021 LQ 281,05 281,05"
"Pago título: 2111000317 2063 - ORGANIZA  O COMERCI 30/06/2021 LQ 286,57 286,57"
"Pago título: 2111000321 2080 - AMMO VAREJO LTDA 30/06/2021 LQ 500,51 500,51"
"Pago título: 2111000322 2084 - FUNDACAO DE SAUDE D 30/06/2021 LQ 152,83 152,83"
"Pago título: 2111000326 2118 - LOG PARK ARMAZ NS G 30/06/2021 LQ 2060,93 2060,93"
"Pago título: 2111000329 2141 - SEARA ALIMENTOS S/A 30/06/2021 LQ 2173,79 2173,79"
"Pago título: 2111000331 2152 - PRO NATURA AGRICOLA 30/06/2021 LQ 98,78 98,78"
"Pago título: 2111000336 2161 - ANNA MARIA DE SOUZA 30/06/2021 LQ 263,49 263,49"
"Pago título: 2111000337 2163 - CONDOMINIO EDIF CIO 30/06/2021 LQ 138,75 138,75"
"Pago título: 2111000338 2171 - LEONARDI CONSTRU  O 30/06/2021 LQ 1610,2 1610,2"
"Pago título: 2111000339 2180 - PEDREIRA E PAVIMENT 30/06/2021 LQ 646,63 646,63"
"Pago título: 2111000340 2188 - BAY PAR INCORPORADO 30/06/2021 LQ 307,41 307,41"
"Pago título: 2111000342 2199 - MOGIANA ALIMENTOS L 30/06/2021 LQ 550,56 550,56"
"Pago título: 2111000343 2200 - ASVOTEC TERMOINDUST 30/06/2021 LQ 538,12 538,12"
"Pago título: 2111000345 2218 - ASSOCIA  O DE PROPR 30/06/2021 LQ 317,67 317,67"
"Pago título: 2111000346 2230 - ASSOCIA  O DO LOTEA 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000348 2234 - CONDOMINIO EDIFICIO 30/06/2021 LQ 174,71 174,71"
"Pago título: 2111000351 2244 - SEARA ALIMENTOS S/A 30/06/2021 LQ 191,29 191,29"
"Pago título: 2111000354 2277 - MYRALIS IND STRIA F 30/06/2021 LQ 602,1 602,1"
"Pago título: 2111000355 2282 - INDAIATUBA CLUBE 30/06/2021 LQ 160,77 160,77"
"Pago título: 2111000357 2292 - FLUID SYSTEM DO BRA 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000358 2295 - 3 IRMAOS MUTTON & C 30/06/2021 LQ 245,93 245,93"
"Pago título: 2111000365 2341 - TRANSPORTE FREIRE & 30/06/2021 LQ 1577,63 1577,63"
"Pago título: 2111000367 2347 - LAVANDERIA LUGATI L 30/06/2021 LQ 255,3 255,3"
"Pago título: 2111000368 2358 - VESPER TRANSPORTES 30/06/2021 LQ 157,2 157,2"
"Pago título: 2111000370 2383 - SUPERMIX CONCRETO S 30/06/2021 LQ 192,5 192,5"
"Pago título: 2111000372 2394 - AMGARTEN COM RCIO D 30/06/2021 LQ 245,93 245,93"
"Pago título: 2111000373 2402 - ZUCCA ALIMENTOS LTD 30/06/2021 LQ 248,85 248,85"
"Pago título: 2111000374 2409 - TITO ENRIQUE DA SIL 30/06/2021 LQ 878,3 878,3"
"Pago título: 2111000375 2410 - COND CENTRO DE LOGI 30/06/2021 LQ 765,72 765,72"
"Pago título: 2111000378 2416 - COMERCIAL ZARAGOZA 30/06/2021 LQ 790,45 790,45"
"Pago título: 2111000379 2420 - DENSO DO BRASIL LTD 30/06/2021 LQ 2031,74 2031,74"
"Pago título: 2111000380 2426 - EMPREENDIMENTOS ROD 30/06/2021 LQ 245,09 245,09"
"Pago título: 2111000383 2460 - JOSE LAVELLI DE LIM 30/06/2021 LQ 281,05 281,05"
"Pago título: 2111000385 2465 - IBERFIOS INDUSTRIA 30/06/2021 LQ 162,24 162,24"
"Pago título: 2111000386 2466 - CONDOMINIO RANCHO M 30/06/2021 LQ 292,88 292,88"
"Pago título: 2111000391 2480 - ONDAPEL S/A IND STR 30/06/2021 LQ 243,33 243,33"
"Pago título: 2111000392 2481 - FERRO ENAMEL DO BRA 30/06/2021 LQ 1364 1364"
"Pago título: 2111000393 2482 - AUTO POSTO CACARECO 30/06/2021 LQ 143,11 143,11"
"Pago título: 2111000394 2486 - NEWTON E. MAZUTTI E 30/06/2021 LQ 366,28 366,28"
"Pago título: 2111000395 2487 - INDUSTRIA METALOQUI 30/06/2021 LQ 275,28 275,28"
"Pago título: 2111000398 2498 - BEMARCO ESTRUTURAS 30/06/2021 LQ 169,4 169,4"
"Pago título: 2111000399 2499 - SCHREDER DO BRASIL 30/06/2021 LQ 169,4 169,4"
"Pago título: 2111000400 2501 - AUTO POSTO E RESTAU 30/06/2021 LQ 290,03 290,03"
"Pago título: 2111000402 2503 - PASSARIN INDUSTRIA 30/06/2021 LQ 254,22 254,22"
"Pago título: 2111000403 2508 - CARLOS KROSS ME 30/06/2021 LQ 311,5 311,5"
"Pago título: 2111000405 2516 - PERALTA COM RCIO E 30/06/2021 LQ 182,36 182,36"
"Pago título: 2111000406 2520 - PAGUE MENOS COM RCI 30/06/2021 LQ 437,66 437,66"
"Pago título: 2111000407 2522 - SAFETLINE EQUIPAMEN 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000408 2534 - PERALTA COM RCIO E 30/06/2021 LQ 131,29 131,29"
"Pago título: 2111000411 2542 - COOPERATIVA DE PROD 30/06/2021 LQ 115,67 115,67"
"Pago título: 2111000412 2543 - OPETRA INDUSTRIA E 30/06/2021 LQ 232,5 232,5"
"Pago título: 2111000415 2561 - SNELLOG ARMAZENS GE 30/06/2021 LQ 1171,07 1171,07"
"Pago título: 2111000416 2562 - VILA FLORA EMPREEND 30/06/2021 LQ 514,58 514,58"
"Pago título: 2111000417 2564 - MEGA SP INDUSTRIA E 30/06/2021 LQ 220,16 220,16"
"Pago título: 2111000418 2580 - COLORTECH - COM RCI 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000419 2585 - SISTEMA EDUCACIONAL 30/06/2021 LQ 549,29 549,29"
"Pago título: 2111000421 2599 - GAPLAN CAMINHOES LT 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000422 2611 - MISSAO EMPREENDIMEN 30/06/2021 LQ 290,59 290,59"
"Pago título: 2111000423 2615 - EE GISSELDA APARECI 30/06/2021 LQ 500,51 500,51"
"Pago título: 2111000424 2617 - HOSPITAL DE ITATIBA 30/06/2021 LQ 160,58 160,58"
"Pago título: 2111000427 2624 - PLIMAX INDUSTRIA DE 30/06/2021 LQ 281,05 281,05"
"Pago título: 2111000429 2628 - LINK STEL EQUIPAMEN 30/06/2021 LQ 322,05 322,05"
"Pago título: 2111000430 2636 - EXTRAMIX CONCRETO L 30/06/2021 LQ 250,26 250,26"
"Pago título: 2111000431 2642 - GALZERANO INDUSTRIA 30/06/2021 LQ 233,22 233,22"
"Pago título: 2111000433 2648 - PLASTICOS MB LTDA 30/06/2021 LQ 172,88 172,88"
"Pago título: 2111000434 2658 - KNORR-BREMSE BRASIL 30/06/2021 LQ 950,88 950,88"
"Pago título: 2111000435 2662 - TEXTIL FAVERO LTDA 30/06/2021 LQ 196,29 196,29"
"Pago título: 2111000437 2676 - SAFEPRINT INDUSTRIA 30/06/2021 LQ 372,04 372,04"
"Pago título: 2111000438 2677 - ARACAJU PARTICIPA 30/06/2021 LQ 265,9 265,9"
"Pago título: 2111000441 2682 - CONDOM NIO RESIDENC 30/06/2021 LQ 154,6 154,6"
