"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244303807202112534.ret"
""
"Cadastrado título novo: 9000006269 5443 - ASSOC DOS PROP E MOR 30/07/2021 RG 452,62 0"
"Cadastrado título novo: 9000006270 5443 - ASSOC DOS PROP E MOR 31/08/2021 RG 452,62 0"
"Cadastrado título novo: 9000006271 3847 - IRMAO RUSSI LTDA. 30/07/2021 RG 542,37 0"
"Cadastrado título novo: 9000006272 3896 - MAGGI COMERCIO DE CA 30/07/2021 RG 476,93 0"
"Pago título: 2111000174 1094 - BUCKMAN LABORATORIO 30/06/2021 LQ 3287,73 3362,24"
"Pago título: 2111000238 1562 - RODOPOSTO TURMALINA 30/06/2021 LQ 1558,28 1593,59"
"Pago título: 2111000292 1898 - KERRY DO BRASIL LTD 30/06/2021 LQ 1127,16 1152,7"
"Pago título: 2111000915 5615 - RANAH ADMINISTRA  O 30/06/2021 LQ 292,77 299,4"
"Pago título: 2111000920 5630 - HM 27 EMPREENDIMENT 30/06/2021 LQ 117,53 120,19"
"Pago título: 2114000332 4409 - RODOPOSTO BANDEIRAN 30/07/2021 LQ 238,22 238,22"
"Pago título: 2118001731 1120 - MOTOROLA MOBILITY C 30/06/2021 LQ 845,37 864,52"
"Pago título: 2118002267 1705 - SAINT-GOBAIN DO BRA 30/06/2021 LQ 250,03 255,69"
"Pago título: 2118003756 3755 - IND STRIAS XHARA LT 30/07/2021 LQ 2045,59 2045,59"
"Pago título: 2118003780 3788 - TERRAS DE MONTE ALE 30/07/2021 LQ 253,21 253,21"
"Pago título: 9000006224 1705 - SAINT-GOBAIN DO BRAS 30/06/2021 LQ 257,58 263,41"
