"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443071207202124347.ret"
""
"Cadastrado título novo: 9000006273 1854 - TRANSPORTADORA ORQUI 30/07/2021 RG 465,34 0"
"Cadastrado título novo: 9000006274 2539 - JOHNSON e JOHNSON DO 30/07/2021 RG 306,52 0"
"Pago título: 2111000024 122 - D  I  EMPREENDIMENTO 30/06/2021 LQ 263,49 269,8"
"Pago título: 2111000732 3979 - NASH - SERVI OS E C 30/06/2021 LQ 263,49 269,8"
"Pago título: 2114000139 1854 - TRANSPORTADORA ORQU 30/06/2021 LQ 222,5 227,84"
"Pago título: 2114000140 1854 - TRANSPORTADORA ORQU 30/07/2021 LQ 222,5 222,5"
"Pago título: 2118002331 1815 - TRIAGUA TRANSPORTE 30/06/2021 LQ 1290,38 1321,34"
"Pago título: 2118002332 1815 - TRIAGUA TRANSPORTE 30/07/2021 LQ 1290,38 1290,38"
"Pago título: 2118003716 3696 -  GUAS DE CAMPINAS T 30/07/2021 LQ 312,89 312,89"
"Pago título: 2118004523 5467 - C LULA EMPREENDIMEN 30/06/2021 LQ 466,82 478,01"
"Pago título: 2118004524 5467 - C LULA EMPREENDIMEN 30/07/2021 LQ 466,82 466,82"
"Pago título: 9000005939 59 - FUND CPQD - CENTRO PES 30/07/2021 LQ 599,55 599,55"
