"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443192007202113226.ret"
""
"Cadastrado título novo: 9000006295 6849 - ASSOCIACAO DOS MORAD 30/07/2021 RG 2795,52 0"
"Cadastrado título novo: 9000006296 7355 - ASSOCIACAO DOS FUNCI 31/08/2021 RG 279,34 0"
"Cadastrado título novo: 9000006297 1697 - AVERY DENNISON DO BR 30/07/2021 RG 496,58 0"
"Pago título: 2111000043 213 - BASF S/A 30/06/2021 LQ 351,32 360,67"
"Pago título: 2111000138 928 - SCHOTT BRASIL LTDA 30/06/2021 LQ 245,09 251,62"
"Pago título: 2111000274 1783 - CESAR RODRIGO ZUMST 30/06/2021 LQ 365,88 375,62"
"Pago título: 2111000301 1944 - HJR COM DE MADEIRA 30/06/2021 LQ 250,26 256,92"
"Pago título: 2111000349 2235 - COPRA INDUSTRIA COM 30/06/2021 LQ 539,01 553,38"
"Pago título: 2111000420 2596 - HOLCIM BRASIL S/A 30/06/2021 LQ 346,51 355,74"
"Pago título: 2111000454 2753 - B & FIDALGO EMPREEN 30/06/2021 LQ 234,21 240,45"
"Pago título: 2115000094 2545 - ASSOCIA  O DOS PROP 30/07/2021 LQ 222,5 222,5"
"Pago título: 2115000234 4396 - VIVENDA ASSOCIACAO 30/07/2021 LQ 213,72 213,72"
"Pago título: 2117000032 658 - LUIZ DE MORAES BARRO 30/07/2021 LQ 209,12 209,12"
"Pago título: 2118000388 225 - AMPARO ATLETICO CLUB 30/07/2021 LQ 643,12 643,12"
"Pago título: 2118002116 1490 - AGUA SANTO ANTONIO 30/07/2021 LQ 560,74 560,74"
"Pago título: 2118002756 2433 - INTERNATIONAL PAPER 30/07/2021 LQ 550,1 550,1"
"Pago título: 2118002820 2549 - KNAUF ISOPOR LTDA. 30/07/2021 LQ 312,82 312,82"
"Pago título: 2118003164 3026 - RAIZEN ENERGIA S/A 30/07/2021 LQ 397,98 397,98"
"Pago título: 2118004300 5035 - CLOSURE SYSTEMS INT 30/07/2021 LQ 329,36 329,36"
"Pago título: 9000006252 3524 - CMS PUPO INDUSTRIA E 30/07/2021 LQ 515,29 515,29"
