"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443212107202113907.ret"
""
"Cadastrado título novo: 9000006298 5420 - SUZANO PAPEL E CELUL 31/08/2021 RG 2549,87 0"
"Cadastrado título novo: 9000006299 4899 - SUZANO PAPEL E CELUL 31/08/2021 RG 892,46 0"
"Cadastrado título novo: 9000006300 4477 - LAZARO FERNANDES PER 30/07/2021 RG 2104,93 0"
"Cadastrado título novo: 9000006301 1163 - CORREIO POPULAR S/A 30/07/2021 RG 384,54 0"
"Pago título: 2114000168 2438 - ASSOCIA  O S O MIGU 30/07/2021 LQ 222,65 222,65"
"Pago título: 2114000284 3733 - ASSOC PROPRIET RIOS 30/07/2021 LQ 219,58 219,58"
"Pago título: 2115000119 3285 - ASSSOCIA  O VILLAGE 30/07/2021 LQ 230,26 230,26"
"Pago título: 2115000319 6886 - CONDOM NIO RESIDENC 30/07/2021 LQ 227,64 227,64"
"Pago título: 2117000087 1137 - SICAD DO BRASIL FIT 30/06/2021 LQ 227,84 233,98"
"Pago título: 2118002268 1705 - SAINT-GOBAIN DO BRA 30/07/2021 LQ 250,03 250,03"
"Pago título: 2118004396 5295 - CUSCOVILLE EMPREEND 30/07/2021 LQ 579,59 579,59"
"Pago título: 2118004908 6890 - SP TINTAS E COMERCI 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118005148 7340 - SUZANO S.A. 30/07/2021 LQ 665,29 665,29"
"Pago título: 9000005893 5295 - CUSCOVILLE EMPREENDI 30/07/2021 LQ 646,25 646,25"
"Pago título: 9000006191 5071 - MINISTERIO DA AGRICU 30/07/2021 LQ 1690,52 1690,52"
