"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443292707202115526.ret"
""
"Cadastrado título novo: 9000006314 5939 - CRYOVAC BRASIL LTDA 30/07/2021 RG 710,31 0"
"Cadastrado título novo: 9000006315 2375 - PRODUTOS ALIMENTICIO 30/07/2021 RG 248,18 0"
"Cadastrado título novo: 9000006316 1680 - CONDOMINIO CIVIL DO 30/07/2021 RG 3538,53 0"
"Pago título: 2111000117 802 - APARECIDO INACIO DE 30/06/2021 LQ 320,73 330,02"
"Pago título: 2111000452 2734 - R&E PIRACICABA COME 30/06/2021 LQ 144,15 148,32"
"Pago título: 2111000662 3713 - RENATO THEODORO ELT 30/06/2021 LQ 282,81 291"
"Pago título: 2114000028 444 - VIRONDA CONFECCOES L 30/07/2021 LQ 225,21 225,21"
"Pago título: 2114000116 1478 - ARGIPAR ARGILA PART 30/07/2021 LQ 230,55 230,55"
"Pago título: 2115000239 4579 - ASSOCIA  O DE MORAD 30/07/2021 LQ 218,83 218,83"
"Pago título: 2115000309 6017 - ZANARDI EMPREENDIME 30/07/2021 LQ 234,21 234,21"
"Pago título: 2116000082 474 - VINGI INDUSTRIA TEXT 30/07/2021 LQ 207,74 207,74"
"Pago título: 2117000095 1308 - INDUSTRIA DE BEBIDA 30/07/2021 LQ 203,28 203,28"
"Pago título: 2118001060 878 - PREFEITURA MUNICIPAL 30/07/2021 LQ 4469,28 4469,28"
"Pago título: 2118001171 917 - BMB BELGO MINEIRA BE 30/06/2021 LQ 916,62 943,19"
"Pago título: 2118001476 1035 - RAIZEN ENERGIA S/A 30/07/2021 LQ 22799,43 22799,43"
"Pago título: 2118002156 1575 - SO AGUA COMERCIO E 30/07/2021 LQ 2194,98 2194,98"
"Pago título: 2118002660 2304 - LAZARO MELLO BRANDA 30/07/2021 LQ 214,45 214,45"
"Pago título: 2118002668 2310 - AQUACHER COMERCIAL 30/07/2021 LQ 365,04 365,04"
"Pago título: 2118003076 2906 - TRANSPORTADORA H2O 30/07/2021 LQ 362,29 362,29"
"Pago título: 2118003180 3053 - JR GOMES IMOBILIARI 30/07/2021 LQ 237,88 237,88"
"Pago título: 2118003188 3060 - ASSOCIA  O DOS PROP 30/07/2021 LQ 1096,24 1096,24"
"Pago título: 2118003620 3608 - BIONOVIS S.A. - CIA 30/07/2021 LQ 215,81 215,81"
"Pago título: 2118003644 3629 - ASSOCIA  O DOS MORA 30/07/2021 LQ 1151,31 1151,31"
"Pago título: 2118003668 3660 - SO AGUA COMERCIAL E 30/07/2021 LQ 351,32 351,32"
"Pago título: 2118003732 3703 - ASSOCIA  O DOS PROP 30/07/2021 LQ 204,93 204,93"
"Pago título: 2118004068 4485 - PARQUE DOS EUCALIPT 30/07/2021 LQ 215,73 215,73"
"Pago título: 2118004124 4653 - SERVI O DE  GUA E E 30/07/2021 LQ 424,47 424,47"
"Pago título: 2118004188 4786 - SEARA ALIMENTOS LTD 30/07/2021 LQ 567,23 567,23"
"Pago título: 2118004340 5076 - CLUBE DE CAMPO FAZE 30/07/2021 LQ 1617,53 1617,53"
"Pago título: 2118004348 5079 - CONDOMINIO EDIFICIO 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118004740 5802 -  GUAS DO BARREIRO R 30/07/2021 LQ 551,61 551,61"
"Pago título: 9000005949 942 - RAIZEN ENERGIA S/A 30/07/2021 LQ 45159,46 45159,46"
"Pago título: 9000006218 1454 - FOXCONN BRASIL INDUS 30/07/2021 LQ 1106,74 1106,74"
"Pago título: 9000006311 7336 - RESIDENCIAL CAMINHO 30/07/2021 LQ 771,81 771,81"
