"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443332907202114841.ret"
""
"Cadastrado título novo: 9000006330 131 - CONDOMINIO EDIFICIO G 31/08/2021 RG 463,78 0"
"Cadastrado título novo: 9000006331 1830 - SUOMINEN BRASIL INDU 31/08/2021 RG 847,92 0"
"Cadastrado título novo: 9000006332 2124 - PREFEITURA MUNICIPAL 31/08/2021 RG 3787,97 0"
"Cadastrado título novo: 9000006333 2583 - FRESENIUS MEDICAL CA 31/08/2021 RG 4924,77 0"
"Cadastrado título novo: 9000006334 5446 - ESMERALDA INDUSTRIA 30/07/2021 RG 441,06 0"
"Cadastrado título novo: 9000006335 1354 - ALBEA DO BRASIL EMBA 30/07/2021 RG 488,86 0"
"Cadastrado título novo: 9000006336 4108 - PROLOGIS SERRA DO JA 31/08/2021 RG 960,03 0"
"Pago título: 2111000052 309 - ASSOCIACAO DESPORTIV 30/06/2021 LQ 292,77 301,44"
"Pago título: 2114000052 835 - ARKEMA QUIMICA LTDA 30/07/2021 LQ 200,59 200,59"
"Pago título: 2114000088 1039 - BRAGA COMERCIO E IN 30/07/2021 LQ 210,21 210,21"
"Pago título: 2114000104 1228 - FERNANDES TEXTIL LT 30/07/2021 LQ 212,35 212,35"
"Pago título: 2114000204 2871 - CER MICA PALMA DE O 30/07/2021 LQ 210,79 210,79"
"Pago título: 2114000256 3400 - S.ZANARDI EMPREENDI 30/07/2021 LQ 216,65 216,65"
"Pago título: 2114000448 7257 - LEONEL FRANZOI 30/07/2021 LQ 231,11 231,11"
"Pago título: 2115000084 2137 - PREFEITURA MUNICIPA 30/07/2021 LQ 209,96 209,96"
"Pago título: 2115000164 3680 - T & K LOCA  ES DE Q 30/07/2021 LQ 204,94 204,94"
"Pago título: 2115000329 7361 - GENCONS EMPREENDIME 30/07/2021 LQ 222,91 222,91"
"Pago título: 2116000208 2301 - DRYLLER INDUSTRIA E 30/07/2021 LQ 211,76 211,76"
"Pago título: 2117000256 3271 - ASSOCIA  O DOS PROP 30/07/2021 LQ 200,75 200,75"
"Pago título: 2118000276 157 - CONDOMINIO TECH TOWN 30/07/2021 LQ 873,81 873,81"
"Pago título: 2118000492 297 - CERAMICA CRISTOFOLET 30/07/2021 LQ 439,15 439,15"
"Pago título: 2118000580 371 - CONDOMINIO ITAEMBU 30/07/2021 LQ 606,58 606,58"
"Pago título: 2118000652 421 - MARTINREA HONSEL BRA 30/07/2021 LQ 1140,03 1140,03"
"Pago título: 2118000732 477 - TERRA DO PARAISO LTD 30/07/2021 LQ 526,98 526,98"
"Pago título: 2118000956 841 - MAGNETI MARELLI SIST 30/07/2021 LQ 387,29 387,29"
"Pago título: 2118001012 856 - PREFEITURA MUNICIPAL 30/07/2021 LQ 4819,51 4819,51"
"Pago título: 2118001083 886 - PROVIDER INDUSTRIA E 30/06/2021 LQ 579 596,17"
"Pago título: 2118001212 930 - SERVICO AUTONOMO DE 30/07/2021 LQ 36611,59 36611,59"
"Pago título: 2118001324 955 - PREFEITURA DO MUNIC 30/07/2021 LQ 1152,66 1152,66"
"Pago título: 2118001500 1048 - AHLSTROM LOUVEIRA L 30/07/2021 LQ 2810,99 2810,99"
"Pago título: 2118001628 1082 - LENA & CIA LTDA 30/07/2021 LQ 319,08 319,08"
"Pago título: 2118001636 1084 - COMPANHIA DE SANEAM 30/07/2021 LQ 14269,47 14269,47"
"Pago título: 2118001756 1128 - CIA SANEAMENTO BASI 30/07/2021 LQ 2101,29 2101,29"
"Pago título: 2118001764 1129 - CIA SANEAMENTO BASI 30/07/2021 LQ 8069,66 8069,66"
"Pago título: 2118001772 1132 - CIA SANEAMENTO BASI 30/07/2021 LQ 11665,37 11665,37"
"Pago título: 2118001892 1216 - CERBA DESTILARIA DE 30/07/2021 LQ 640,43 640,43"
"Pago título: 2118001948 1249 - ESTANCIA PARQUE ATI 30/07/2021 LQ 552,79 552,79"
"Pago título: 2118002204 1636 - AGV LOGISTICA S.A. 30/07/2021 LQ 352,42 352,42"
"Pago título: 2118002292 1749 - USINA PAULISTA DE B 30/07/2021 LQ 282,62 282,62"
"Pago título: 2118002412 1902 - KENJI EXTRACAO E CO 30/07/2021 LQ 294,45 294,45"
"Pago título: 2118002508 2094 - ASSOCIA  O DE PROPR 30/07/2021 LQ 376,45 376,45"
"Pago título: 2118002596 2185 - CFI CONSULTORIA, PR 30/07/2021 LQ 355,86 355,86"
"Pago título: 2118002644 2289 - ADVANCE IND STRIA T 30/07/2021 LQ 2623,91 2623,91"
"Pago título: 2118002692 2331 - STONE BUILDING INDU 30/07/2021 LQ 559,32 559,32"
"Pago título: 2118002900 2712 - PE ANHA & HELENA TR 30/07/2021 LQ 654,82 654,82"
"Pago título: 2118003364 3328 - EXPRESSO CAMPIBUS L 30/07/2021 LQ 452,43 452,43"
"Pago título: 2118003388 3345 - SAO PAULO SECRETARI 30/07/2021 LQ 431,54 431,54"
"Pago título: 2118003412 3366 - TECHIMPORT TECNOLOG 30/07/2021 LQ 337,09 337,09"
"Pago título: 2118003836 3926 - HWT PROMO  ES ESPOR 30/07/2021 LQ 337,6 337,6"
"Pago título: 2118003900 4014 - ASSOC DOS PROPRIET 30/07/2021 LQ 658,73 658,73"
"Pago título: 2118003996 4329 - PACAEMB  EMPREENDIM 30/07/2021 LQ 272,23 272,23"
"Pago título: 2118004204 4830 - CONDOMINIO RESIDENC 30/07/2021 LQ 256,17 256,17"
"Pago título: 2118004380 5260 - MRGM PARTICIPA  ES 30/07/2021 LQ 783,15 783,15"
"Pago título: 2118004484 5418 - SAMUEL SAMPAIO TOCA 30/07/2021 LQ 365,51 365,51"
"Pago título: 2118004628 5577 - HM 33 EMPREENDIMENT 30/07/2021 LQ 496,79 496,79"
"Pago título: 2118004684 5652 - CONDOM NIO D. PEDRO 30/07/2021 LQ 527,33 527,33"
"Pago título: 2118004836 6366 - SOCIEDADE AGOSTINIA 30/07/2021 LQ 505,48 505,48"
"Pago título: 2118004884 6784 - CONDOM NIO RESIDENC 30/07/2021 LQ 330,71 330,71"
"Pago título: 2118004996 7027 - ETIQUETTA BRANCA IN 30/07/2021 LQ 370,36 370,36"
"Pago título: 2118005100 7308 - MARIA CRISTINA RODR 30/07/2021 LQ 1012,44 1012,44"
"Pago título: 2118005244 7669 - ASSOCIA  O DA INSTI 30/07/2021 LQ 208,6 208,6"
"Pago título: 9000005843 2748 - QUALITY BENEFICIADOR 30/07/2021 LQ 2679,6 2679,6"
"Pago título: 9000005910 930 - SERVICO AUTONOMO DE A 30/07/2021 LQ 3457,35 3457,35"
"Pago título: 9000006067 3170 - MAURICIO ROBERTO FOR 30/07/2021 LQ 110,29 110,29"
"Pago título: 9000006103 3119 - FDC - EMPREENDIMENTO 30/07/2021 LQ 408,36 408,36"
"Pago título: 9000006247 4458 - JAGUARIUNA FUTEBOL C 30/07/2021 LQ 437,13 437,13"
"Pago título: 9000006250 4329 - PACAEMBU EMPREENDIME 30/07/2021 LQ 849,82 849,82"
"Pago título: 9000006280 1260 - TEXTIL BRASIL LTDA E 30/07/2021 LQ 628,71 628,71"
"Pago título: 9000006285 7009 - COLEP PROVIDER AEROS 30/07/2021 LQ 757,77 757,77"
"Pago título: 9000006289 7320 - ASSOCIACAO SHOPPING 30/07/2021 LQ 716,51 716,51"
"Pago título: 9000006321 3400 - S.ZANARDI EMPREENDIM 30/07/2021 LQ 450,85 450,85"
"Pago título: 9000006323 5626 - ALTERNATIVA LAVANDER 30/07/2021 LQ 703,99 703,99"
"Cancelado título: 2111000327 2124 - PREFEITURA MUNICIPA 30/06/2021 BX 12311,08 0"
