"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443353007202114046.ret"
""
"Cadastrado título novo: 9000006337 6876 - CONDOMINIO EDIFICIO 31/08/2021 RG 442,04 0"
"Cadastrado título novo: 9000006338 5490 - CARMONA CERVEJARIA A 31/08/2021 RG 430,66 0"
"Cadastrado título novo: 9000006339 7069 - SANTO GEROLAMO BERTO 31/08/2021 RG 355,77 0"
"Cadastrado título novo: 9000006340 4845 - BARDUCHI BARDUCHI LT 31/08/2021 RG 222,5 0"
"Cadastrado título novo: 9000006341 329 - SILCON AMBIENTAL LTDA 31/08/2021 RG 225,34 0"
"Cadastrado título novo: 9000006342 2467 - DANIEL PICCOLOMINI O 31/08/2021 RG 578,58 0"
"Pago título: 2114000008 222 - NOTRE DAME INTERMEDI 30/07/2021 LQ 208,09 208,09"
"Pago título: 2114000016 260 - SERVI O DE SA DE DR. 30/07/2021 LQ 223,97 223,97"
"Pago título: 2114000032 450 - CONDOMINIO CHACARAS 30/07/2021 LQ 229,09 229,09"
"Pago título: 2114000036 522 - CONDOMINIO RESIDENCI 30/07/2021 LQ 241,13 241,13"
"Pago título: 2114000044 579 - CPQ BRASIL S/A 30/07/2021 LQ 215,1 215,1"
"Pago título: 2114000056 837 - CLICK AUTOMOTIVA IND 30/07/2021 LQ 213,45 213,45"
"Pago título: 2114000064 969 - PRALANA INDUSTRIA E 30/07/2021 LQ 227,07 227,07"
"Pago título: 2114000072 975 - BANN QUIMICA LTDA 30/07/2021 LQ 206,76 206,76"
"Pago título: 2114000076 996 - AGROCERES MULTIMIX N 30/07/2021 LQ 229,75 229,75"
"Pago título: 2114000080 997 - CEDASA INDUSTRIA E C 30/07/2021 LQ 230,56 230,56"
"Pago título: 2114000096 1204 - PLASCAR INDUSTRIA D 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000108 1258 - STEFAN ANTONIO SLEU 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000112 1375 - IGREJA DO EVANGELHO 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000144 1905 - ITUPEVA HOTEIS, CON 30/07/2021 LQ 202,35 202,35"
"Pago título: 2114000148 1945 - G-KT DO BRASIL LTDA 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000152 1967 - PLASTICOS SANTANA L 30/07/2021 LQ 232,38 232,38"
"Pago título: 2114000156 2051 - BISCOITONE IND STRI 30/07/2021 LQ 244,19 244,19"
"Pago título: 2114000176 2594 - A A DE MELO & CIA L 30/07/2021 LQ 226,23 226,23"
"Pago título: 2114000184 2714 - LAMBERTI BRASIL PRO 30/07/2021 LQ 204,34 204,34"
"Pago título: 2114000188 2798 - MINERADORA  GUA BRA 30/07/2021 LQ 234,21 234,21"
"Pago título: 2114000196 2833 - CONDAT LUBRIFICANTE 30/07/2021 LQ 214,4 214,4"
"Pago título: 2114000208 2926 - R M DE BARROS T XTI 30/07/2021 LQ 226,69 226,69"
"Pago título: 2114000220 3030 - T XTIL GL LTDA 30/07/2021 LQ 204,6 204,6"
"Pago título: 2114000224 3065 - ELETROMEI IND STRIA 30/07/2021 LQ 224,75 224,75"
"Pago título: 2114000228 3162 - CONGE FRUTAS LTDA E 30/07/2021 LQ 234,65 234,65"
"Pago título: 2114000232 3244 - PLANMAR IND STRIA E 30/07/2021 LQ 202,14 202,14"
"Pago título: 2114000236 3298 - ASSOC DO CONJUNTO R 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000248 3340 - FRIGOGIL INDUSTRIAL 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000252 3391 - PREFEITURA MUNICIPA 30/07/2021 LQ 225,6 225,6"
"Pago título: 2114000264 3541 - ASSOCIA  O DE AMIGO 30/07/2021 LQ 202,57 202,57"
"Pago título: 2114000276 3663 - ASSOCIA  O DOS ADQ 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000280 3726 - SATOSHI ITO E OUTRO 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000288 3771 - IND STRIA E COM RCI 30/07/2021 LQ 233,04 233,04"
"Pago título: 2114000292 3819 - ASSOCIA  O ADMINIST 30/07/2021 LQ 215,39 215,39"
"Pago título: 2114000296 3856 - BRASPARK ADMINISTRA 30/07/2021 LQ 201,02 201,02"
"Pago título: 2114000300 3862 - ROSANA CASERTA CARN 30/07/2021 LQ 213,59 213,59"
"Pago título: 2114000304 3927 - FLAMBOI  ALIMENTOS 30/07/2021 LQ 230,55 230,55"
"Pago título: 2114000308 3946 - CAMPE O 68 POSTO DE 30/07/2021 LQ 210,33 210,33"
"Pago título: 2114000312 4093 - UNIVERSAL IND STRIA 30/07/2021 LQ 232,92 232,92"
"Pago título: 2114000320 4148 - CHRISTEYNS BRASIL P 30/07/2021 LQ 236,04 236,04"
"Pago título: 2114000324 4164 - SERELLO RECICLAGEM 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000336 4509 - EXTRACAO E COMERCIO 30/07/2021 LQ 210,79 210,79"
"Pago título: 2114000344 4596 - POLIMIX CONCRETO LT 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000348 4650 - ABATEDOURO DE AVES 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000352 4668 - IDEIA NOVA EMPREEND 30/07/2021 LQ 205,16 205,16"
"Pago título: 2114000364 4793 - AZS INDUSTRIA E COM 30/07/2021 LQ 225,23 225,23"
"Pago título: 2114000368 4820 - TRANSPEDROSA S/A 30/07/2021 LQ 234,21 234,21"
"Pago título: 2114000372 4835 - TRANSPORTES GABARDO 30/07/2021 LQ 210,79 210,79"
"Pago título: 2114000376 4976 - ASTRA S/A IND STRIA 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000384 5468 - LUCIANO TORELLI E C 30/07/2021 LQ 211,76 211,76"
"Pago título: 2114000392 5510 - LEONARDO SEGEREN 30/07/2021 LQ 219,57 219,57"
"Pago título: 2114000404 5621 - CENTERANEL 1 PARTIC 30/07/2021 LQ 219,58 219,58"
"Pago título: 2114000408 5635 - RECAP CONSTRUTORA E 30/07/2021 LQ 216,57 216,57"
"Pago título: 2114000432 6793 - SUPERMERCADOS DALBE 30/07/2021 LQ 215,69 215,69"
"Pago título: 2114000436 6875 - FUNDA  O CENTRO DE 30/07/2021 LQ 210,73 210,73"
"Pago título: 2114000440 6912 - CPE PL STICOS LTDA 30/07/2021 LQ 243,31 243,31"
"Pago título: 2114000444 6994 - ESPORTE CLUBE PRIMA 30/07/2021 LQ 234,47 234,47"
"Pago título: 2114000452 7309 - PROJESAN SANEMENTO 30/07/2021 LQ 241,13 241,13"
"Pago título: 2114000460 7327 - SUPERMERCADOS DALBE 30/07/2021 LQ 205,02 205,02"
"Pago título: 2114000464 7344 - ASSOCIA  O DISTRIBU 30/07/2021 LQ 215,43 215,43"
"Pago título: 2114000472 7370 - GRECO & GUERREIRO L 30/07/2021 LQ 208,63 208,63"
"Pago título: 2115000004 86 - PROMOCAO DO ENSINO DE 30/07/2021 LQ 234,21 234,21"
"Pago título: 2115000009 153 - CONDOMINIO BOSQUE DO 30/07/2021 LQ 201,07 201,07"
"Pago título: 2115000014 301 - CRIA SIM PRODUTOS DE 30/07/2021 LQ 238,58 238,58"
"Pago título: 2115000024 617 - JOAO BOZZA JUNIOR 30/07/2021 LQ 204,94 204,94"
