"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244345608202113329.ret"
""
"Cadastrado título novo: 9000006365 5643 - MARCELO ALVES PEREIR 31/08/2021 RG 447,76 0"
"Cadastrado título novo: 9000006366 5534 - RESIDENCIAL SOLEIL D 31/08/2021 RG 696,87 0"
"Cadastrado título novo: 9000006367 5534 - RESIDENCIAL SOLEIL D 30/09/2021 RG 696,87 0"
"Cadastrado título novo: 9000006368 5534 - RESIDENCIAL SOLEIL D 29/10/2021 RG 696,87 0"
"Cadastrado título novo: 9000006369 5534 - RESIDENCIAL SOLEIL D 30/11/2021 RG 696,87 0"
"Cadastrado título novo: 9000006370 5534 - RESIDENCIAL SOLEIL D 31/12/2021 RG 696,87 0"
"Cadastrado título novo: 9000006371 5534 - RESIDENCIAL SOLEIL D 31/01/2022 RG 696,87 0"
"Cadastrado título novo: 9000006372 6520 - FERREIRA DE FARIAS P 31/08/2021 RG 918,46 0"
"Cadastrado título novo: 9000006373 5432 - AGROMAIS COMERCIO E 31/08/2021 RG 609 0"
"Cadastrado título novo: 9000006376 1165 - ASSOCIACAO EDUCADORA 31/08/2021 RG 535,59 0"
"Pago título: 2116000118 993 - RIGESA CELULOSE PAPE 30/07/2021 LQ 207,78 212,41"
"Pago título: 2117000341 4615 - RAIZEN ENERGIA S.A. 31/08/2021 LQ 211,82 211,82"
"Pago título: 2118000068 33 - CONDOMINIO SHOPPING C 30/07/2021 LQ 247,14 252,65"
"Pago título: 2118001828 1148 - ARCELOR MITTAL GONV 30/07/2021 LQ 394,15 402,94"
"Pago título: 2118002676 2324 - BASF S/A 30/07/2021 LQ 333,75 341,19"
"Pago título: 2118003781 3788 - TERRAS DE MONTE ALE 31/08/2021 LQ 253,21 253,21"
"Pago título: 2118004525 5467 - C LULA EMPREENDIMEN 31/08/2021 LQ 466,82 466,82"
"Pago título: 2118004780 5870 - VILA HIPICA EMPREEN 30/07/2021 LQ 342,54 350,18"
"Pago título: 2118004940 6935 - ALTO DO SION EMPREE 30/07/2021 LQ 485,47 496,3"
"Pago título: 9000006238 4563 - RESIDENCIAL AUREA 30/07/2021 LQ 1358,58 1388,92"
"Pago título: 9000006317 3496 - LAVIND SANITIZACOES 30/07/2021 LQ 311,64 318,59"
"Pago título: 9000006363 5295 - CUSCOVILLE EMPREENDI 31/08/2021 LQ 603,06 603,06"
