"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443692408202112614.ret"
""
"Cadastrado título novo: 9000006467 3701 - ASSOCIACAO DE SOCIOS 31/08/2021 RG 1244,15 0"
"Cadastrado título novo: 9000006468 1598 - ARTEC PISOS E REVEST 31/08/2021 RG 1000,13 0"
"Cadastrado título novo: 9000006469 3960 - FROOTY COMERCIO E IN 31/08/2021 RG 738,44 0"
"Pago título: 2115000095 2545 - ASSOCIA  O DOS PROP 31/08/2021 LQ 222,5 222,5"
"Pago título: 2115000310 6017 - ZANARDI EMPREENDIME 31/08/2021 LQ 234,21 234,21"
"Pago título: 2117000215 3048 - TOSCANA DESENVOLVIM 31/08/2021 LQ 206,64 206,64"
"Pago título: 2118000085 41 - UNILEVER BRASIL GELAD 31/08/2021 LQ 1353,02 1353,02"
"Pago título: 2118001317 952 - UNILEVER BRASIL INDU 31/08/2021 LQ 1831,53 1831,53"
"Pago título: 2118003277 3145 - RCL CAMPING E TURIS 31/08/2021 LQ 309,24 309,24"
"Pago título: 2118004125 4653 - SERVI O DE  GUA E E 31/08/2021 LQ 424,47 424,47"
"Pago título: 2118004156 4771 - VID' GUA DISTRIBUI 30/07/2021 LQ 292,77 301,05"
"Pago título: 2118004678 5646 - MRV ENGENHARIA E PA 30/09/2021 LQ 393,61 393,61"
"Pago título: 2118004741 5802 -  GUAS DO BARREIRO R 31/08/2021 LQ 551,61 551,61"
"Pago título: 9000006421 2092 - EMPRESA DE TRANSPORT 31/08/2021 LQ 227,67 227,67"
"Pago título: 9000006456 3048 - TOSCANA DESENVOLVIME 31/08/2021 LQ 864,38 864,38"
"Pago título: 9000006463 2914 - COSMOS INDUSTRIA E C 31/08/2021 LQ 568,15 568,15"
