"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443712508202113728.ret"
""
"Cadastrado título novo: 9000006470 3993 - PLATANO CONSTRUCAO E 31/08/2021 RG 799,97 0"
"Cadastrado título novo: 9000006471 3677 - AFLON PLASTICOS INDU 31/08/2021 RG 483,95 0"
"Cadastrado título novo: 9000006472 898 - SERVICO MUNICIPAL DE 30/11/2021 RG 158486,31 0"
"Cadastrado título novo: 9000006473 1727 - AQUADROP INDUSTRIA E 31/08/2021 RG 377,61 0"
"Pago título: 2115000300 5651 - TERROIR DE BRAGAN A 31/08/2021 LQ 203,89 203,89"
"Pago título: 2117000103 1426 - WEIDMANN TECNOLOGIA 31/08/2021 LQ 208,41 208,41"
"Pago título: 2117000243 3214 - S.ZANARDI EMPREENDI 31/08/2021 LQ 222,92 222,92"
"Pago título: 2118000141 66 - LPP III - EMPREENDIME 31/08/2021 LQ 215,56 215,56"
"Pago título: 2118000437 246 - 3M DO BRASIL LTDA 31/08/2021 LQ 1763,23 1763,23"
"Pago título: 2118000445 254 - SOCIEDADE HIPICA DE 31/08/2021 LQ 661,99 661,99"
"Pago título: 2118000509 319 - AGROPECUARIA SANTA R 31/08/2021 LQ 202,19 202,19"
"Pago título: 2118000677 434 - KSPG AUTOMOTIVE BRAZ 31/08/2021 LQ 812,13 812,13"
"Pago título: 2118000861 558 - CONDOMINIO CENTRO EM 31/08/2021 LQ 814,27 814,27"
"Pago título: 2118001021 857 - CPIC BRASIL FIBRAS D 31/08/2021 LQ 2603,14 2603,14"
"Pago título: 2118001141 901 - GALVANI INDUSTRIA CO 31/08/2021 LQ 8991,71 8991,71"
"Pago título: 2118001197 923 - EMS S/A 31/08/2021 LQ 1139,86 1139,86"
"Pago título: 2118001485 1046 - BRK AMBIENTAL - LIM 31/08/2021 LQ 145729,76 145729,76"
"Pago título: 2118001917 1224 - SECRETARIA DA ADM P 31/08/2021 LQ 310,01 310,01"
"Pago título: 2118001973 1289 - ASGA S/A 31/08/2021 LQ 292,77 292,77"
"Pago título: 2118002253 1695 - GOODYEAR DO BRASIL 31/08/2021 LQ 9317,64 9317,64"
"Pago título: 2118002421 1934 - SSB ENERGIA RENOV V 31/08/2021 LQ 980,52 980,52"
"Pago título: 2118002517 2113 - ASSOCIACAO DOS PROP 31/08/2021 LQ 365,54 365,54"
"Pago título: 2118002605 2205 - MPW LAVANDERIA CONF 31/08/2021 LQ 271,61 271,61"
"Pago título: 2118002629 2258 - ATMOSFERA GEST O E 31/08/2021 LQ 877,42 877,42"
"Pago título: 2118002669 2310 - AQUACHER COMERCIAL 31/08/2021 LQ 365,04 365,04"
"Pago título: 2118002869 2665 - ASSOC DOS PROPRIET 31/08/2021 LQ 311,27 311,27"
"Pago título: 2118002973 2752 - PREFEITURA DO MUNIC 31/08/2021 LQ 713,14 713,14"
"Pago título: 2118003421 3374 - ATMOSFERA GEST O E 31/08/2021 LQ 1424,32 1424,32"
"Pago título: 2118003445 3379 - SSB ENERGIA RENOV V 31/08/2021 LQ 3561,3 3561,3"
"Pago título: 2118003453 3382 - CENTRO EMPRESARIAL 31/08/2021 LQ 322,59 322,59"
"Pago título: 2118003461 3383 - CENTRO EMPRESARIAL 31/08/2021 LQ 500,37 500,37"
"Pago título: 2118003509 3439 - CSHG REAL ESTATE FU 31/08/2021 LQ 329,36 329,36"
"Pago título: 2118003517 3443 - BRK AMBIENTAL - SUM 31/08/2021 LQ 63682,99 63682,99"
"Pago título: 2118003549 3462 - CONDOM NIO EMPRESAR 31/08/2021 LQ 1348,95 1348,95"
"Pago título: 2118003773 3779 - SOCIEDADE JARDIM VI 31/08/2021 LQ 264,22 264,22"
"Pago título: 2118004493 5420 - SUZANO PAPEL E CELU 31/08/2021 LQ 808,77 808,77"
"Pago título: 2118004717 5754 - ASSOCIA  O DOS PROP 31/08/2021 LQ 204,94 204,94"
"Pago título: 2118004821 6034 - ESPA O GAIA EMPREEN 31/08/2021 LQ 425,82 425,82"
"Pago título: 2118004829 6035 - ESPA O GAIA EMPREEN 31/08/2021 LQ 421,75 421,75"
"Pago título: 2118005125 7324 - THEIA EMPREENDIMENT 31/08/2021 LQ 773,17 773,17"
"Pago título: 2118005133 7329 - ESPA O GAIA EMPREEN 31/08/2021 LQ 425,82 425,82"
"Pago título: 2118005149 7340 - SUZANO S.A. 31/08/2021 LQ 665,29 665,29"
"Pago título: 2118005165 7348 - JATOB  EMPREENDIMEN 31/08/2021 LQ 270,03 270,03"
"Pago título: 9000005958 900 - DANA INDUSTRIAS LTDA 31/08/2021 LQ 627,71 627,71"
"Pago título: 9000006298 5420 - SUZANO PAPEL E CELUL 31/08/2021 LQ 2549,87 2549,87"
"Pago título: 9000006299 4899 - SUZANO PAPEL E CELUL 31/08/2021 LQ 892,46 892,46"
"Pago título: 9000006308 2812 - CONDOMINIO PRO-INDIV 31/08/2021 LQ 727,5 727,5"
"Pago título: 9000006407 5274 - AMETEK DO BRASIL LTD 31/08/2021 LQ 2135,93 2135,93"
"Pago título: 9000006437 4225 - CONDOMINIO RESIDENCI 31/08/2021 LQ 440,88 440,88"
"Pago título: 9000006446 2646 - CONDOMINIO RESIDENCI 31/08/2021 LQ 400,99 400,99"
"Pago título: 9000006450 1303 - GALVANI MINERACAO E 30/09/2021 LQ 578,58 578,58"
