"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443773008202131432.ret"
""
"Cadastrado título novo: 9000006478 1481 - BELLACOR TINTURARIA 30/09/2021 RG 2411,65 0"
"Cadastrado título novo: 9000006479 7373 - LEVISSIMA DISTRIBUIC 31/08/2021 RG 553,26 0"
"Cadastrado título novo: 9000006480 7373 - LEVISSIMA DISTRIBUIC 30/09/2021 RG 553,26 0"
"Cadastrado título novo: 9000006481 7373 - LEVISSIMA DISTRIBUIC 29/10/2021 RG 553,26 0"
"Cadastrado título novo: 9000006482 7373 - LEVISSIMA DISTRIBUIC 30/11/2021 RG 553,26 0"
"Cadastrado título novo: 9000006483 7373 - LEVISSIMA DISTRIBUIC 31/12/2021 RG 553,26 0"
"Cadastrado título novo: 9000006484 7373 - LEVISSIMA DISTRIBUIC 31/01/2022 RG 553,26 0"
"Cadastrado título novo: 9000006485 7373 - LEVISSIMA DISTRIBUIC 28/02/2022 RG 553,26 0"
"Cadastrado título novo: 9000006486 7373 - LEVISSIMA DISTRIBUIC 31/03/2022 RG 553,26 0"
"Cadastrado título novo: 9000006487 7373 - LEVISSIMA DISTRIBUIC 29/04/2022 RG 553,26 0"
"Cadastrado título novo: 9000006488 7373 - LEVISSIMA DISTRIBUIC 31/05/2022 RG 553,26 0"
"Pago título: 2115000010 153 - CONDOMINIO BOSQUE DO 31/08/2021 LQ 201,07 201,07"
"Pago título: 2115000030 769 - LUIZ CARLOS SCARPONI 31/08/2021 LQ 210,79 210,79"
"Pago título: 2115000080 1774 - MINERACAO SAARA EXT 31/08/2021 LQ 237,45 237,45"
"Pago título: 2115000165 3680 - T & K LOCA  ES DE Q 31/08/2021 LQ 204,94 204,94"
"Pago título: 2115000315 6791 - ASSOCIA  O DOS PROP 31/08/2021 LQ 232,17 232,17"
"Pago título: 2116000059 391 - CONDOMINIO EDIFICIO 31/08/2021 LQ 232,33 232,33"
"Pago título: 2116000071 470 - CBC INDUSTRIAS PESAD 31/08/2021 LQ 229,66 229,66"
"Pago título: 2116000155 1481 - BELLACOR TINTURARIA 31/08/2021 LQ 206,93 206,93"
"Pago título: 2116000209 2301 - DRYLLER INDUSTRIA E 31/08/2021 LQ 211,76 211,76"
"Pago título: 2116000239 2553 - UNIGRES CERAMICA LT 31/08/2021 LQ 219,78 219,78"
"Pago título: 2116000281 3022 - BROGWARNER BRASIL L 31/08/2021 LQ 200,21 200,21"
"Pago título: 2116000335 3516 - JOS  JORGE BERARDIN 31/08/2021 LQ 214,7 214,7"
"Pago título: 2116000431 4829 - CLUBE RECREATIVO SU 31/08/2021 LQ 222,02 222,02"
"Pago título: 2116000467 5608 - ASSOCIA  O DE MORAD 31/08/2021 LQ 202,01 202,01"
"Pago título: 2117000026 604 - ASSOCIA  O RESIDENCI 31/08/2021 LQ 210,16 210,16"
"Pago título: 2117000096 1308 - INDUSTRIA DE BEBIDA 31/08/2021 LQ 203,28 203,28"
"Pago título: 2117000124 1936 - IVO ZARZUR ADMINIST 31/08/2021 LQ 202,8 202,8"
"Pago título: 2117000166 2126 - TIETZ EXTRA  O E CO 31/08/2021 LQ 224,23 224,23"
"Pago título: 2117000180 2196 - ASSOCIA AO CIVIL PA 31/08/2021 LQ 223,22 223,22"
"Pago título: 2117000187 2229 - AUDAX QUIMICA IND E 31/08/2021 LQ 225,03 225,03"
