"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444052009202124506.ret"
""
"Cadastrado título novo: 9000006541 7372 - MUNICIPIO DE RIO DAS 30/09/2021 RG 4644,59 0"
"Cadastrado título novo: 9000006542 2930 - JOSE TADEU COLETI E 30/09/2021 RG 90,07 0"
"Cadastrado título novo: 9000006543 2854 - AREA DO NUCLEO DO PO 30/09/2021 RG 274,62 0"
"Pago título: 2118000102 46 - ASSOCIA  O DE MORADOR 30/09/2021 LQ 567,23 567,23"
"Pago título: 2118000182 74 - UNILEVER BRASIL INDUS 30/09/2021 LQ 3979,89 3979,89"
"Pago título: 2118001974 1289 - ASGA S/A 30/09/2021 LQ 292,77 292,77"
"Pago título: 2118002438 1972 - SINDICATO DOS TRAB 30/09/2021 LQ 320,43 320,43"
"Pago título: 2118002462 1985 - CONJUNTO RESIDENCIA 30/09/2021 LQ 338,32 338,32"
"Pago título: 2118002822 2549 - KNAUF ISOPOR LTDA. 30/09/2021 LQ 312,82 312,82"
"Pago título: 2118005198 7372 - MUNICIPIO DE RIO DA 30/09/2021 LQ 883,83 883,83"
"Pago título: 2118005199 7372 - MUNICIPIO DE RIO DA 29/10/2021 LQ 883,83 883,83"
"Pago título: 2118005200 7372 - MUNICIPIO DE RIO DA 30/11/2021 LQ 883,83 883,83"
"Pago título: 9000006490 385 - COLEGIO NET WORK S/C 30/09/2021 LQ 351,32 351,32"
