"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444132409202114459.ret"
""
"Cadastrado título novo: 9000006563 7132 - REDE DOM PEDRO DE PO 30/09/2021 RG 597,21 0"
"Cadastrado título novo: 9000006564 2757 - CARAVITA EMPRESA DE 30/09/2021 RG 829,16 0"
"Pago título: 2117000153 2069 - TRANSPORTES  21 LTD 30/09/2021 LQ 200,75 200,75"
"Pago título: 2118000686 448 - INDUSTRIA DE PAPEL R 30/09/2021 LQ 2514,15 2514,15"
"Pago título: 2118003278 3145 - RCL CAMPING E TURIS 30/09/2021 LQ 309,24 309,24"
"Pago título: 2118003510 3439 - CSHG REAL ESTATE FU 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118003774 3779 - SOCIEDADE JARDIM VI 30/09/2021 LQ 264,22 264,22"
"Pago título: 2118003958 4280 - YARA BRASIL FERTILI 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118004918 6911 - MAURO DA SILVA ARTU 30/09/2021 LQ 348,58 348,58"
"Pago título: 9000006508 5367 - GOODMAN VIRACOPOS EM 30/09/2021 LQ 438,91 438,91"
"Pago título: 9000006521 2238 - ASSOCIACAO DOS PROP 30/09/2021 LQ 276,9 276,9"
"Pago título: 9000006547 2069 - TRANSPORTES  21 LTDA 30/09/2021 LQ 563,22 563,22"
