"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444172809202115104.ret"
""
"Cadastrado título novo: 9000006567 2375 - PRODUTOS ALIMENTICIO 30/09/2021 RG 498,86 0"
"Cadastrado título novo: 9000006568 999 - BRK AMBIENTAL - SANTA 30/09/2021 RG 9289,58 0"
"Pago título: 2116000084 474 - VINGI INDUSTRIA TEXT 30/09/2021 LQ 207,74 207,74"
"Pago título: 2116000384 3929 - MINERA  O SAMAMBAIA 30/09/2021 LQ 202,19 202,19"
"Pago título: 2117000097 1308 - INDUSTRIA DE BEBIDA 30/09/2021 LQ 203,28 203,28"
"Pago título: 2117000342 4615 - RAIZEN ENERGIA S.A. 30/09/2021 LQ 211,82 211,82"
"Pago título: 2118000918 826 - DEPARTAMENTO AUTONOM 30/09/2021 LQ 87949,24 87949,24"
"Pago título: 2118001142 901 - GALVANI INDUSTRIA CO 30/09/2021 LQ 8991,71 8991,71"
"Pago título: 2118001822 1145 - JOBEMA DISTRIBUIDOR 30/09/2021 LQ 914,09 914,09"
"Pago título: 2118002310 1789 - CENTRAIS DE ABASTEC 30/09/2021 LQ 775,52 775,52"
"Pago título: 2118002662 2304 - LAZARO MELLO BRANDA 30/09/2021 LQ 214,45 214,45"
"Pago título: 2118002670 2310 - AQUACHER COMERCIAL 30/09/2021 LQ 365,04 365,04"
"Pago título: 2118002694 2331 - STONE BUILDING INDU 30/09/2021 LQ 559,32 559,32"
"Pago título: 2118003086 2910 - CHACARAS LONG ISLAN 30/09/2021 LQ 405,12 405,12"
"Pago título: 2118003190 3060 - ASSOCIA  O DOS PROP 30/09/2021 LQ 1096,24 1096,24"
"Pago título: 2118003350 3273 - AMBITEC S/A 30/09/2021 LQ 321,99 321,99"
"Pago título: 2118003486 3411 - PREFEITURA MUNICIPA 30/09/2021 LQ 18932,76 18932,76"
"Pago título: 2118003622 3608 - BIONOVIS S.A. - CIA 30/09/2021 LQ 215,81 215,81"
"Pago título: 2118003638 3622 - CONDOM NIO CAPELA D 30/09/2021 LQ 733,35 733,35"
"Pago título: 2118003934 4129 - TERRAPLANAGEM PARAI 30/09/2021 LQ 298,07 298,07"
"Pago título: 2118004038 4378 - OSMAR DONIZETE DA S 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004094 4580 - ASSOCIA  O DOS PROP 30/09/2021 LQ 725,65 725,65"
"Pago título: 2118004382 5260 - MRGM PARTICIPA  ES 30/09/2021 LQ 783,15 783,15"
"Pago título: 2118004446 5402 - S O PAULO SECRETARI 30/09/2021 LQ 739,12 739,12"
"Pago título: 2118004630 5577 - HM 33 EMPREENDIMENT 30/09/2021 LQ 496,79 496,79"
"Pago título: 9000005895 5295 - CUSCOVILLE EMPREENDI 30/09/2021 LQ 646,25 646,25"
"Pago título: 9000006517 2445 - SBW DO BRASILAGRIFLO 30/09/2021 LQ 588,39 588,39"
"Pago título: 9000006559 74 - UNILEVER BRASIL INDUST 29/10/2021 LQ 16283,36 16283,36"
"Pago título: 9000006562 4718 - LOURENTINO RODRIGUES 30/09/2021 LQ 307,67 307,67"
