"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444192909202114528.ret"
""
"Cadastrado título novo: 9000006569 4063 - FLAMENGO FUTEBOL CLU 29/10/2021 RG 416,87 0"
"Cadastrado título novo: 9000006570 1762 - ASSOC DOS ADQUIRENTE 29/10/2021 RG 233,22 0"
"Cadastrado título novo: 9000006571 3785 - PEDRA DA MATA EMPREE 29/10/2021 RG 271,9 0"
"Cadastrado título novo: 9000006572 3786 - PEDRA DA MATA EMPREE 29/10/2021 RG 306,48 0"
"Pago título: 2116000024 135 - CONDOMINIO RESIDENCI 30/09/2021 LQ 209,32 209,32"
"Pago título: 2116000240 2553 - UNIGRES CERAMICA LT 30/09/2021 LQ 219,78 219,78"
"Pago título: 2116000282 3022 - BROGWARNER BRASIL L 30/09/2021 LQ 200,21 200,21"
"Pago título: 2117000104 1426 - WEIDMANN TECNOLOGIA 30/09/2021 LQ 208,41 208,41"
"Pago título: 2117000181 2196 - ASSOCIA AO CIVIL PA 30/09/2021 LQ 223,22 223,22"
"Pago título: 2117000188 2229 - AUDAX QUIMICA IND E 30/09/2021 LQ 225,03 225,03"
"Pago título: 2117000314 3994 - ASSOCIA  O RESERVA 30/09/2021 LQ 225,85 225,85"
"Pago título: 2117000377 5354 - CONDOM NIO RESIDENC 30/09/2021 LQ 226,73 226,73"
"Pago título: 2118000110 52 - ASSOCIACAO DOS PROPRI 30/09/2021 LQ 586,91 586,91"
"Pago título: 2118000126 62 - GKN SINTER METALS LTD 30/09/2021 LQ 339,13 339,13"
"Pago título: 2118000278 157 - CONDOMINIO TECH TOWN 30/09/2021 LQ 873,81 873,81"
"Pago título: 2118000494 297 - CERAMICA CRISTOFOLET 30/09/2021 LQ 439,15 439,15"
"Pago título: 2118000510 319 - AGROPECUARIA SANTA R 30/09/2021 LQ 202,19 202,19"
"Pago título: 2118000678 434 - KSPG AUTOMOTIVE BRAZ 30/09/2021 LQ 812,13 812,13"
"Pago título: 2118000870 559 - BENEFICIADORA DE TEC 30/09/2021 LQ 874,66 874,66"
"Pago título: 2118000958 841 - MAGNETI MARELLI SIST 30/09/2021 LQ 387,29 387,29"
"Pago título: 2118001022 857 - CPIC BRASIL FIBRAS D 30/09/2021 LQ 2603,14 2603,14"
"Pago título: 2118001030 861 - HUDTELFA TEXTILE TEC 30/09/2021 LQ 672,03 672,03"
"Pago título: 2118001174 917 - BMB BELGO MINEIRA BE 30/09/2021 LQ 916,62 916,62"
"Pago título: 2118001198 923 - EMS S/A 30/09/2021 LQ 1139,86 1139,86"
