"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444213009202115132.ret"
""
"Cadastrado título novo: 9000006573 3297 - ASSOC ADM DO LOTEAME 29/10/2021 RG 312,3 0"
"Cadastrado título novo: 9000006574 5501 - FERREIRA EMPREENDIME 29/10/2021 RG 329,49 0"
"Cadastrado título novo: 9000006575 7345 - IGREJA DO NAZARENO-D 29/10/2021 RG 130,62 0"
"Cadastrado título novo: 9000006576 2220 - FANAL PIRACICABA COM 29/10/2021 RG 924,55 0"
"Pago título: 2116000006 5 - AMCOR RIGID PLASTICS D 30/09/2021 LQ 216,43 216,43"
"Pago título: 2116000030 155 - AUTO POSTO AMIGAO DA 30/09/2021 LQ 205,17 205,17"
"Pago título: 2116000036 186 - OBER S/A INDUSTRIA E 30/09/2021 LQ 213,23 213,23"
"Pago título: 2116000048 286 - T.F.T. TECIDOS E FIO 30/09/2021 LQ 201,13 201,13"
"Pago título: 2116000054 289 - INDUSTRIA CERAMICA F 30/09/2021 LQ 209,81 209,81"
"Pago título: 2116000060 391 - CONDOMINIO EDIFICIO 30/09/2021 LQ 232,33 232,33"
"Pago título: 2116000066 413 - INDUSTRIAS ROMI S/A 30/09/2021 LQ 220,54 220,54"
"Pago título: 2116000072 470 - CBC INDUSTRIAS PESAD 30/09/2021 LQ 229,66 229,66"
"Pago título: 2116000078 473 - TECELAGEM CHUAHY LTD 30/09/2021 LQ 213,04 213,04"
"Pago título: 2116000090 495 - NEUMAYER TEKFOR AUTO 30/09/2021 LQ 226,22 226,22"
"Pago título: 2116000096 521 - SPG PRINTS BRASIL LT 30/09/2021 LQ 228,11 228,11"
"Pago título: 2116000102 561 - JULIMAR LAVANDERIA L 30/09/2021 LQ 221,78 221,78"
"Pago título: 2116000108 760 - LETICIA APARECIDA MA 30/09/2021 LQ 217,47 217,47"
"Pago título: 2116000114 890 - LABORATORIO TAYUYNA 30/09/2021 LQ 207,52 207,52"
"Pago título: 2116000120 993 - RIGESA CELULOSE PAPE 30/09/2021 LQ 207,78 207,78"
"Pago título: 2116000126 1097 - TERRAR INDUSTRIA E 30/09/2021 LQ 229,5 229,5"
"Pago título: 2116000138 1415 - DPV PRODUTOS QUIMIC 30/09/2021 LQ 218,63 218,63"
"Pago título: 2116000144 1430 - ASSOCIACAO DOS MORA 30/09/2021 LQ 209,82 209,82"
"Pago título: 2116000150 1437 - CONDOMINIO EDIFICIO 30/09/2021 LQ 203,86 203,86"
"Pago título: 2116000156 1481 - BELLACOR TINTURARIA 30/09/2021 LQ 206,93 206,93"
"Pago título: 2116000168 1558 - CONDOMINIO CHACARAS 30/09/2021 LQ 209,81 209,81"
"Pago título: 2116000174 1649 - CONDOMINIO CASA GRA 30/09/2021 LQ 210,79 210,79"
"Pago título: 2116000186 1832 - LANMAR IND STRIA ME 30/09/2021 LQ 215,19 215,19"
"Pago título: 2116000192 1892 - INBRA INDUSTRIAS QU 30/09/2021 LQ 206,2 206,2"
"Pago título: 2116000216 2389 - JOFEGE CONCRETO LTD 30/09/2021 LQ 218,65 218,65"
"Pago título: 2116000228 2469 - RICLAN S/A 30/09/2021 LQ 211,5 211,5"
"Pago título: 2116000234 2528 - MULTILOG BRASIL S.A 30/09/2021 LQ 219,58 219,58"
"Pago título: 2116000246 2610 - HELIO DE ATHAYDE VA 30/09/2021 LQ 218,68 218,68"
"Pago título: 2116000252 2653 - TANQUE MATERIAS PAR 30/09/2021 LQ 219,24 219,24"
"Pago título: 2116000258 2686 - BOM PEIXE INDUSTRIA 30/09/2021 LQ 226,77 226,77"
"Pago título: 2116000264 2687 - ROTOCROM INDUSTRIA 30/09/2021 LQ 201,58 201,58"
"Pago título: 2116000270 2935 - CER MICA ALMEIDA LT 30/09/2021 LQ 219,58 219,58"
"Pago título: 2116000276 2943 - VTR VETOR EQUIPAMEN 30/09/2021 LQ 202,93 202,93"
"Pago título: 2116000294 3221 - LIMEIRENSE FERTILIZ 30/09/2021 LQ 230,72 230,72"
"Pago título: 2116000300 3230 - CSC SERVICES LAVAND 30/09/2021 LQ 225,98 225,98"
"Pago título: 2116000324 3424 - ASSOCIA  O DOS PROP 30/09/2021 LQ 219,24 219,24"
"Pago título: 2116000330 3461 - CONFEC  ES CAPRICHO 30/09/2021 LQ 208,01 208,01"
"Pago título: 2116000342 3518 - SANTISTA WORK SOLUT 30/09/2021 LQ 214,2 214,2"
"Pago título: 2116000348 3547 - NEO RODAS S.A. 30/09/2021 LQ 224,46 224,46"
"Pago título: 2116000354 3594 - CPM CONCRETO DE PR 30/09/2021 LQ 218,04 218,04"
"Pago título: 2116000360 3616 - CONCREMIX S/A 30/09/2021 LQ 230,44 230,44"
"Pago título: 2116000366 3670 - TRANS KOTHE TRANSPO 30/09/2021 LQ 200,3 200,3"
"Pago título: 2116000372 3853 - MONTE COR PROTE  O 30/09/2021 LQ 221,25 221,25"
"Pago título: 2116000408 4477 - LAZARO FERNANDES PE 30/09/2021 LQ 215,5 215,5"
"Pago título: 2116000420 4584 - CONJUNTO RESIDENCIA 30/09/2021 LQ 220,55 220,55"
"Pago título: 2116000432 4829 - CLUBE RECREATIVO SU 30/09/2021 LQ 222,02 222,02"
"Pago título: 2116000438 4840 - CIALENE INDUSTRIA E 30/09/2021 LQ 219,58 219,58"
"Pago título: 2116000444 4895 - VYLLA EMPREENDIMENT 30/09/2021 LQ 200,06 200,06"
"Pago título: 2116000450 4938 - MOMBUCA BENEFICIADO 30/09/2021 LQ 219,58 219,58"
"Pago título: 2116000462 5575 - FONTE GELO LTDA 30/09/2021 LQ 220,54 220,54"
"Pago título: 2116000474 5622 - CLEUSA TERESINHA PI 30/09/2021 LQ 200,35 200,35"
"Pago título: 2116000480 7092 - VF 11 PALMAS DO PAI 30/09/2021 LQ 222,69 222,69"
"Pago título: 2116000492 7360 - CAMPMIX CONCRETO US 30/09/2021 LQ 200,11 200,11"
"Pago título: 2117000006 202 - NOVA PLAST IND E COM 30/09/2021 LQ 224,64 224,64"
"Pago título: 2117000013 381 - INSTITUTO EDUCACIONA 30/09/2021 LQ 227,1 227,1"
"Pago título: 2117000027 604 - ASSOCIA  O RESIDENCI 30/09/2021 LQ 210,16 210,16"
"Pago título: 2117000034 658 - LUIZ DE MORAES BARRO 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000048 680 - JOSE EDUARDO ANNICCH 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000055 875 - RICHARD KLINGER INDU 30/09/2021 LQ 200,88 200,88"
"Pago título: 2117000076 1113 - PPC SANTANA EQUIPAM 30/09/2021 LQ 205,2 205,2"
"Pago título: 2117000083 1130 - BRASALIMENT INDUSTR 30/09/2021 LQ 205,77 205,77"
"Pago título: 2117000090 1137 - SICAD DO BRASIL FIT 30/09/2021 LQ 227,84 227,84"
"Pago título: 2117000111 1652 - RICLAN S/A 30/09/2021 LQ 212,8 212,8"
"Pago título: 2117000118 1870 - MALIBER INDUSTRIA E 30/09/2021 LQ 213,3 213,3"
"Pago título: 2117000132 1993 - CABLENA DO BRASIL L 30/09/2021 LQ 220 220"
"Pago título: 2117000139 2028 - TERMOTECNICA LTDA 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000160 2082 - COLORFLEX ESTAMPARI 30/09/2021 LQ 224,86 224,86"
"Pago título: 2117000167 2126 - TIETZ EXTRA  O E CO 30/09/2021 LQ 224,23 224,23"
"Pago título: 2117000174 2140 - INDUSTRIAS ROMI S/A 30/09/2021 LQ 221,38 221,38"
"Pago título: 2117000195 2362 - ASSOCIA  O  PROPRIE 30/09/2021 LQ 221,74 221,74"
"Pago título: 2117000202 2407 - FERRASPARI S/A INDU 30/09/2021 LQ 201,64 201,64"
"Pago título: 2117000209 2881 - SERVICO DE AGUA E E 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000223 3059 - VIC 01 SBO EMPREEND 30/09/2021 LQ 208,41 208,41"
"Pago título: 2117000237 3212 - PEDREIRA NOGUEIRENS 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000251 3259 - BAG CLEANER COM RCI 30/09/2021 LQ 208,86 208,86"
"Pago título: 2117000286 3468 - VOTORANTIM CIMENTOS 30/09/2021 LQ 204,2 204,2"
"Pago título: 2117000293 3474 - ASSOCIA  O FILOS FI 30/09/2021 LQ 203,26 203,26"
"Pago título: 2117000300 3592 - CONDOMINIO LAGOS SH 30/09/2021 LQ 208,91 208,91"
"Pago título: 2117000321 4132 - MRGM PARTICIPA  ES 30/09/2021 LQ 203,26 203,26"
"Pago título: 2117000335 4512 - INSTITUTO DE ENSINO 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000363 5303 - ASSOCIA  O DOS MORA 30/09/2021 LQ 225,85 225,85"
"Pago título: 2117000370 5318 - SERRANO EMPREENDIME 30/09/2021 LQ 208,55 208,55"
"Pago título: 2117000405 5491 - BREW CENTER CERVEJA 30/09/2021 LQ 206,79 206,79"
"Pago título: 2117000412 5492 - BUONO GEL INDUSTRIA 30/09/2021 LQ 209,12 209,12"
"Pago título: 2117000426 5633 - IBIS AGR RIA LTDA 30/09/2021 LQ 203,28 203,28"
"Pago título: 2118000006 3 - CONDOMINIO RESIDENCIAL 30/09/2021 LQ 246,18 246,18"
"Pago título: 2118000014 12 - AGUAJATO TRANSPORTES 30/09/2021 LQ 1908,15 1908,15"
"Pago título: 2118000022 17 - LEDERVIN IND STRIA E 30/09/2021 LQ 307,41 307,41"
"Pago título: 2118000030 22 - HONDA AUTOMOVEIS DO B 30/09/2021 LQ 1170,59 1170,59"
