"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244427510202113758.ret"
""
"Cadastrado título novo: 9000006580 663 - MARCOS LUIS JEREMIAS 29/10/2021 RG 153,24 0"
"Cadastrado título novo: 9000006581 5305 - EDMILSON BORIM 29/10/2021 RG 260,71 0"
"Cadastrado título novo: 9000006582 5849 - CREAM COLOR INDUSTRI 29/10/2021 RG 432,65 0"
"Cadastrado título novo: 9000006583 3606 - ANTONIO CHAVES DOS S 29/10/2021 RG 244,4 0"
"Cadastrado título novo: 9000006584 3606 - ANTONIO CHAVES DOS S 30/11/2021 RG 244,4 0"
"Cadastrado título novo: 9000006585 3606 - ANTONIO CHAVES DOS S 31/12/2021 RG 244,4 0"
"Cadastrado título novo: 9000006586 3606 - ANTONIO CHAVES DOS S 31/01/2022 RG 244,4 0"
"Cadastrado título novo: 9000006587 3606 - ANTONIO CHAVES DOS S 28/02/2022 RG 244,4 0"
"Cadastrado título novo: 9000006588 3606 - ANTONIO CHAVES DOS S 31/03/2022 RG 244,4 0"
"Cadastrado título novo: 9000006589 3606 - ANTONIO CHAVES DOS S 29/04/2022 RG 244,4 0"
"Cadastrado título novo: 9000006590 3606 - ANTONIO CHAVES DOS S 31/05/2022 RG 244,4 0"
"Cadastrado título novo: 9000006591 3606 - ANTONIO CHAVES DOS S 30/06/2022 RG 244,4 0"
"Cadastrado título novo: 9000006592 3606 - ANTONIO CHAVES DOS S 29/07/2022 RG 244,4 0"
"Pago título: 9000006576 2220 - FANAL PIRACICABA COM 29/10/2021 LQ 924,55 924,55"
