"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444552610202114727.ret"
""
"Cadastrado título novo: 9000006642 3993 - PLATANO CONSTRUCAO E 30/11/2021 RG 824,18 0"
"Cadastrado título novo: 9000006643 2892 - CASA RECANTO NINA MA 30/11/2021 RG 246,85 0"
"Cadastrado título novo: 9000006644 2892 - CASA RECANTO NINA MA 31/12/2021 RG 246,85 0"
"Cadastrado título novo: 9000006645 2892 - CASA RECANTO NINA MA 31/01/2022 RG 246,85 0"
"Cadastrado título novo: 9000006646 2892 - CASA RECANTO NINA MA 28/02/2022 RG 246,85 0"
"Cadastrado título novo: 9000006647 2892 - CASA RECANTO NINA MA 31/03/2022 RG 246,85 0"
"Pago título: 2117000098 1308 - INDUSTRIA DE BEBIDA 29/10/2021 LQ 203,28 203,28"
"Pago título: 2118000375 219 - SI GROUP CRIOS RESIN 29/10/2021 LQ 1763,16 1763,16"
"Pago título: 2118000735 477 - TERRA DO PARAISO LTD 29/10/2021 LQ 526,98 526,98"
"Pago título: 2118001279 943 - RAIZEN ENERGIA S/A 29/10/2021 LQ 9258,73 9258,73"
"Pago título: 2118001319 952 - UNILEVER BRASIL INDU 29/10/2021 LQ 1831,53 1831,53"
"Pago título: 2118001415 989 - A P LOSA & CIA LTDA 29/10/2021 LQ 497,5 497,5"
"Pago título: 2118001671 1092 - PREFEITURA MUNICIPA 29/10/2021 LQ 453,54 453,54"
"Pago título: 2118002663 2304 - LAZARO MELLO BRANDA 29/10/2021 LQ 214,45 214,45"
"Pago título: 2118002695 2331 - STONE BUILDING INDU 29/10/2021 LQ 559,32 559,32"
"Pago título: 2118002951 2748 - QUALITY BENEFICIADO 29/10/2021 LQ 477,2 477,2"
"Pago título: 2118002975 2752 - PREFEITURA DO MUNIC 29/10/2021 LQ 713,14 713,14"
"Pago título: 2118003191 3060 - ASSOCIA  O DOS PROP 29/10/2021 LQ 1096,24 1096,24"
"Pago título: 2118003271 3139 - RAIZEN ENERGIA S/A 29/10/2021 LQ 237,88 237,88"
"Pago título: 2118003279 3145 - RCL CAMPING E TURIS 29/10/2021 LQ 309,24 309,24"
"Pago título: 2118003351 3273 - AMBITEC S/A 29/10/2021 LQ 321,99 321,99"
"Pago título: 2118003415 3366 - TECHIMPORT TECNOLOG 29/10/2021 LQ 337,09 337,09"
"Pago título: 2118003511 3439 - CSHG REAL ESTATE FU 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118003735 3703 - ASSOCIA  O DOS PROP 29/10/2021 LQ 204,93 204,93"
"Pago título: 2118004127 4653 - SERVI O DE  GUA E E 29/10/2021 LQ 424,47 424,47"
"Pago título: 2118004343 5076 - CLUBE DE CAMPO FAZE 29/10/2021 LQ 1617,53 1617,53"
"Pago título: 2118004743 5802 -  GUAS DO BARREIRO R 29/10/2021 LQ 551,61 551,61"
"Pago título: 9000005846 2748 - QUALITY BENEFICIADOR 29/10/2021 LQ 2679,6 2679,6"
"Pago título: 9000006032 1134 - MUNICIPIO DE SUMARE 29/10/2021 LQ 220417,23 220417,23"
