"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444572710202112601.ret"
""
"Cadastrado título novo: 9000006648 3323 - HORTOLANDIA INCORPOR 30/11/2021 RG 1945,03 0"
"Cadastrado título novo: 9000006649 4771 - VID'AGUA DISTRIBUICA 29/10/2021 RG 1246,19 0"
"Pago título: 2117000105 1426 - WEIDMANN TECNOLOGIA 29/10/2021 LQ 208,41 208,41"
"Pago título: 2117000126 1936 - IVO ZARZUR ADMINIST 29/10/2021 LQ 202,8 202,8"
"Pago título: 2117000147 2047 - ITARARE TRANSPORTE 29/10/2021 LQ 206,25 206,25"
"Pago título: 2117000315 3994 - ASSOCIA  O RESERVA 29/10/2021 LQ 225,85 225,85"
"Pago título: 2117000343 4615 - RAIZEN ENERGIA S.A. 29/10/2021 LQ 211,82 211,82"
"Pago título: 2117000371 5318 - SERRANO EMPREENDIME 29/10/2021 LQ 208,55 208,55"
"Pago título: 2117000434 5939 - CRYOVAC BRASIL LTDA 29/10/2021 LQ 227,55 227,55"
"Pago título: 2118000127 62 - GKN SINTER METALS LTD 29/10/2021 LQ 339,13 339,13"
"Pago título: 2118000359 206 - ROUSSELOT GELATINAS 29/10/2021 LQ 1948,04 1948,04"
"Pago título: 2118000679 434 - KSPG AUTOMOTIVE BRAZ 29/10/2021 LQ 812,13 812,13"
"Pago título: 2118000871 559 - BENEFICIADORA DE TEC 29/10/2021 LQ 874,66 874,66"
"Pago título: 2118001023 857 - CPIC BRASIL FIBRAS D 29/10/2021 LQ 2603,14 2603,14"
"Pago título: 2118001055 868 - PREFEITURA MUNICIPAL 29/10/2021 LQ 2470,93 2470,93"
"Pago título: 2118001143 901 - GALVANI INDUSTRIA CO 29/10/2021 LQ 8991,71 8991,71"
"Pago título: 2118001183 919 - COMPANHIA DE DESENVO 29/10/2021 LQ 32951,79 32951,79"
"Pago título: 2118001199 923 - EMS S/A 29/10/2021 LQ 1139,86 1139,86"
"Pago título: 2118001255 940 - SERVICO AUTONOMO DE 29/10/2021 LQ 57821,4 57821,4"
"Pago título: 2118001383 978 - CHEM-TREND IND E COM 29/10/2021 LQ 496,95 496,95"
"Pago título: 2118001423 999 - BRK AMBIENTAL - SANT 29/10/2021 LQ 9017,26 9017,26"
"Pago título: 2118001479 1035 - RAIZEN ENERGIA S/A 29/10/2021 LQ 22799,43 22799,43"
"Pago título: 2118001486 1046 - BRK AMBIENTAL - LIM 30/09/2021 LQ 145729,76 149955,77"
"Pago título: 2118001503 1048 - AHLSTROM LOUVEIRA L 29/10/2021 LQ 2810,99 2810,99"
"Pago título: 2118001631 1082 - LENA & CIA LTDA 29/10/2021 LQ 319,08 319,08"
"Pago título: 2118001895 1216 - CERBA DESTILARIA DE 29/10/2021 LQ 640,43 640,43"
"Pago título: 2118001919 1224 - SECRETARIA DA ADM P 29/10/2021 LQ 310,01 310,01"
"Pago título: 2118002255 1695 - GOODYEAR DO BRASIL 29/10/2021 LQ 9317,64 9317,64"
"Pago título: 2118002295 1749 - USINA PAULISTA DE B 29/10/2021 LQ 282,62 282,62"
"Pago título: 2118002383 1848 - PREFEITURA MUNICIPA 29/10/2021 LQ 2111,58 2111,58"
"Pago título: 2118002439 1972 - SINDICATO DOS TRAB 29/10/2021 LQ 320,43 320,43"
"Pago título: 2118002607 2205 - MPW LAVANDERIA CONF 29/10/2021 LQ 271,61 271,61"
"Pago título: 2118002631 2258 - ATMOSFERA GEST O E 29/10/2021 LQ 877,42 877,42"
"Pago título: 2118002903 2712 - PE ANHA & HELENA TR 29/10/2021 LQ 654,82 654,82"
"Pago título: 2118003095 2949 - INSTITUTO ADVENTIST 29/10/2021 LQ 293,32 293,32"
"Pago título: 2118003119 2962 - CONDOMINIO VITORIA 29/10/2021 LQ 237,14 237,14"
"Pago título: 2118003175 3032 - CONDOM NIO VILLAGE 29/10/2021 LQ 537,96 537,96"
"Pago título: 2118003423 3374 - ATMOSFERA GEST O E 29/10/2021 LQ 1424,32 1424,32"
"Pago título: 2118003519 3443 - BRK AMBIENTAL - SUM 29/10/2021 LQ 63682,99 63682,99"
