"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444592810202112832.ret"
""
"Cadastrado título novo: 9000006650 6872 - ERICK VIOLIM FRANCO 30/11/2021 RG 393,13 0"
"Cadastrado título novo: 9000006651 2819 - ATRISEV COMERCIAL E 30/11/2021 RG 456,27 0"
"Cadastrado título novo: 9000006652 4013 - ANTONIO VITORINO BAR 29/10/2021 RG 644,29 0"
"Cadastrado título novo: 9000006653 801 - JOSE FORTUNA 30/11/2021 RG 1448,15 0"
"Pago título: 2117000070 1077 - DP & LF TRANSPORTES 29/10/2021 LQ 214,56 214,56"
"Pago título: 2117000182 2196 - ASSOCIA AO CIVIL PA 29/10/2021 LQ 223,22 223,22"
"Pago título: 2118000263 149 - GREEN GOLF CLUB 29/10/2021 LQ 222,98 222,98"
"Pago título: 2118000279 157 - CONDOMINIO TECH TOWN 29/10/2021 LQ 873,81 873,81"
"Pago título: 2118000495 297 - CERAMICA CRISTOFOLET 29/10/2021 LQ 439,15 439,15"
"Pago título: 2118000535 335 - ANTONIO BORIN SA IND 29/10/2021 LQ 404,31 404,31"
"Pago título: 2118000543 342 - IPE AGRO AVICOLA LTD 29/10/2021 LQ 388,4 388,4"
"Pago título: 2118000559 356 - ESTANCIA ARVORE DA V 29/10/2021 LQ 529,97 529,97"
"Pago título: 2118000639 411 - IOCHPE-MAXION S/A 29/10/2021 LQ 623,79 623,79"
"Pago título: 2118000655 421 - MARTINREA HONSEL BRA 29/10/2021 LQ 1140,03 1140,03"
"Pago título: 2118000895 821 - PREFEITURA MUNICIPAL 29/10/2021 LQ 3917,49 3917,49"
"Pago título: 2118000959 841 - MAGNETI MARELLI SIST 29/10/2021 LQ 387,29 387,29"
"Pago título: 2118001015 856 - PREFEITURA MUNICIPAL 29/10/2021 LQ 4819,51 4819,51"
"Pago título: 2118001071 882 - SERVI O AUT NOMO DE 29/10/2021 LQ 117153,09 117153,09"
"Pago título: 2118001079 885 - CP KELCO BRASIL S/A 29/10/2021 LQ 6754,61 6754,61"
"Pago título: 2118001087 886 - PROVIDER INDUSTRIA E 29/10/2021 LQ 579 579"
"Pago título: 2118001175 917 - BMB BELGO MINEIRA BE 29/10/2021 LQ 916,62 916,62"
"Pago título: 2118001231 932 - GREMIO RECR EMPREGAD 29/10/2021 LQ 566,6 566,6"
"Pago título: 2118001247 939 - LEF PISOS E REVESTIM 29/10/2021 LQ 769,96 769,96"
"Pago título: 2118001327 955 - PREFEITURA DO MUNIC 29/10/2021 LQ 1152,66 1152,66"
"Pago título: 2118001519 1052 - DEPARTAMENTO DE  GU 29/10/2021 LQ 4541,51 4541,51"
"Pago título: 2118001639 1084 - COMPANHIA DE SANEAM 29/10/2021 LQ 14269,47 14269,47"
"Pago título: 2118001759 1128 - CIA SANEAMENTO BASI 29/10/2021 LQ 2101,29 2101,29"
"Pago título: 2118001767 1129 - CIA SANEAMENTO BASI 29/10/2021 LQ 8069,66 8069,66"
"Pago título: 2118001775 1132 - CIA SANEAMENTO BASI 29/10/2021 LQ 11665,37 11665,37"
"Pago título: 2118001823 1145 - JOBEMA DISTRIBUIDOR 29/10/2021 LQ 914,09 914,09"
