"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444612910202112901.ret"
""
"Cadastrado título novo: 9000006654 2613 - PAULO BERENGUEL e CI 30/11/2021 RG 810,04 0"
"Cadastrado título novo: 9000006655 1673 - JATOBA S/A 30/11/2021 RG 375,17 0"
"Pago título: 2117000007 202 - NOVA PLAST IND E COM 29/10/2021 LQ 224,64 224,64"
"Pago título: 2117000014 381 - INSTITUTO EDUCACIONA 29/10/2021 LQ 227,1 227,1"
"Pago título: 2117000028 604 - ASSOCIA  O RESIDENCI 29/10/2021 LQ 210,16 210,16"
"Pago título: 2117000035 658 - LUIZ DE MORAES BARRO 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000049 680 - JOSE EDUARDO ANNICCH 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000056 875 - RICHARD KLINGER INDU 29/10/2021 LQ 200,88 200,88"
"Pago título: 2117000077 1113 - PPC SANTANA EQUIPAM 29/10/2021 LQ 205,2 205,2"
"Pago título: 2117000084 1130 - BRASALIMENT INDUSTR 29/10/2021 LQ 205,77 205,77"
"Pago título: 2117000091 1137 - SICAD DO BRASIL FIT 29/10/2021 LQ 227,84 227,84"
"Pago título: 2117000112 1652 - RICLAN S/A 29/10/2021 LQ 212,8 212,8"
"Pago título: 2117000119 1870 - MALIBER INDUSTRIA E 29/10/2021 LQ 213,3 213,3"
"Pago título: 2117000133 1993 - CABLENA DO BRASIL L 29/10/2021 LQ 220 220"
"Pago título: 2117000140 2028 - TERMOTECNICA LTDA 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000161 2082 - COLORFLEX ESTAMPARI 29/10/2021 LQ 224,86 224,86"
"Pago título: 2117000168 2126 - TIETZ EXTRA  O E CO 29/10/2021 LQ 224,23 224,23"
"Pago título: 2117000175 2140 - INDUSTRIAS ROMI S/A 29/10/2021 LQ 221,38 221,38"
"Pago título: 2117000189 2229 - AUDAX QUIMICA IND E 29/10/2021 LQ 225,03 225,03"
"Pago título: 2117000196 2362 - ASSOCIA  O  PROPRIE 29/10/2021 LQ 221,74 221,74"
"Pago título: 2117000203 2407 - FERRASPARI S/A INDU 29/10/2021 LQ 201,64 201,64"
"Pago título: 2117000210 2881 - SERVICO DE AGUA E E 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000224 3059 - VIC 01 SBO EMPREEND 29/10/2021 LQ 208,41 208,41"
"Pago título: 2117000238 3212 - PEDREIRA NOGUEIRENS 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000252 3259 - BAG CLEANER COM RCI 29/10/2021 LQ 208,86 208,86"
"Pago título: 2117000259 3271 - ASSOCIA  O DOS PROP 29/10/2021 LQ 200,75 200,75"
"Pago título: 2117000287 3468 - VOTORANTIM CIMENTOS 29/10/2021 LQ 204,2 204,2"
"Pago título: 2117000294 3474 - ASSOCIA  O FILOS FI 29/10/2021 LQ 203,26 203,26"
"Pago título: 2117000301 3592 - CONDOMINIO LAGOS SH 29/10/2021 LQ 208,91 208,91"
"Pago título: 2117000322 4132 - MRGM PARTICIPA  ES 29/10/2021 LQ 203,26 203,26"
"Pago título: 2117000336 4512 - INSTITUTO DE ENSINO 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000350 4674 - L'OCCITANE OPERA IN 29/10/2021 LQ 200,75 200,75"
"Pago título: 2117000364 5303 - ASSOCIA  O DOS MORA 29/10/2021 LQ 225,85 225,85"
"Pago título: 2117000378 5354 - CONDOM NIO RESIDENC 29/10/2021 LQ 226,73 226,73"
"Pago título: 2117000399 5449 - CONDOM NIO HOTEL IN 29/10/2021 LQ 200,75 200,75"
"Pago título: 2117000406 5491 - BREW CENTER CERVEJA 29/10/2021 LQ 206,79 206,79"
"Pago título: 2117000413 5492 - BUONO GEL INDUSTRIA 29/10/2021 LQ 209,12 209,12"
"Pago título: 2117000427 5633 - IBIS AGR RIA LTDA 29/10/2021 LQ 203,28 203,28"
"Pago título: 2118000007 3 - CONDOMINIO RESIDENCIAL 29/10/2021 LQ 246,18 246,18"
"Pago título: 2118000015 12 - AGUAJATO TRANSPORTES 29/10/2021 LQ 1908,15 1908,15"
"Pago título: 2118000023 17 - LEDERVIN IND STRIA E 29/10/2021 LQ 307,41 307,41"
"Pago título: 2118000031 22 - HONDA AUTOMOVEIS DO B 29/10/2021 LQ 1170,59 1170,59"
"Pago título: 2118000039 24 - ASSOCIACAO DOS PROPRI 29/10/2021 LQ 384,32 384,32"
"Pago título: 2118000047 25 - EXTRACAO E COMERCIO D 29/10/2021 LQ 553,25 553,25"
"Pago título: 2118000055 26 - CERAMICA FORMIGRES LT 29/10/2021 LQ 546,99 546,99"
"Pago título: 2118000071 33 - CONDOMINIO SHOPPING C 29/10/2021 LQ 247,14 247,14"
"Pago título: 2118000079 34 - CONDOMINIO BOUGAINVIL 29/10/2021 LQ 228,32 228,32"
"Pago título: 2118000095 43 - CONDOMINIO RESIDENCIA 29/10/2021 LQ 1482,13 1482,13"
"Pago título: 2118000103 46 - ASSOCIA  O DE MORADOR 29/10/2021 LQ 567,23 567,23"
"Pago título: 2118000111 52 - ASSOCIACAO DOS PROPRI 29/10/2021 LQ 586,91 586,91"
"Pago título: 2118000151 68 - ASSOCIACAO GREEN VILL 29/10/2021 LQ 257,17 257,17"
"Pago título: 2118000159 69 - PLASTEK DO BRASIL IND 29/10/2021 LQ 292,33 292,33"
"Pago título: 2118000167 72 - ANTENOR MAXIMIANO PAR 29/10/2021 LQ 434,76 434,76"
"Pago título: 2118000175 73 - NARDINI PISOS E REVES 29/10/2021 LQ 219,58 219,58"
"Pago título: 2118000191 85 - ASSOCIACAO PROPRIETAR 29/10/2021 LQ 355,24 355,24"
"Pago título: 2118000199 94 - SERVICO SOCIAL DA IND 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118000207 96 - TAGMA BRASIL IND STRI 29/10/2021 LQ 530,64 530,64"
"Pago título: 2118000223 111 - ASSOCIACAO MORADORES 29/10/2021 LQ 585,53 585,53"
"Pago título: 2118000231 112 - LUME CERAMICA LTDA 29/10/2021 LQ 270,81 270,81"
"Pago título: 2118000247 136 - M RCIA REGINA PEZZEN 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118000255 142 - SOCIEDADE DE MELHORA 29/10/2021 LQ 454,89 454,89"
"Pago título: 2118000271 152 - SOCIEDADE AMIGOS DO 29/10/2021 LQ 393,41 393,41"
"Pago título: 2118000287 160 - ASSOCIA  O RESIDENCI 29/10/2021 LQ 2252,3 2252,3"
"Pago título: 2118000295 163 - SABARA QUIMICOS E IN 29/10/2021 LQ 565,63 565,63"
"Pago título: 2118000303 166 - BRF - BRASIL FOODS S 29/10/2021 LQ 259,61 259,61"
"Pago título: 2118000311 182 - UNIPEL INDUSTRIA E C 29/10/2021 LQ 325,18 325,18"
"Pago título: 2118000327 184 - TECELAGEM JOLITEX LT 29/10/2021 LQ 1428,73 1428,73"
"Pago título: 2118000335 191 - COOPERATIVA NOVA ESP 29/10/2021 LQ 847,97 847,97"
"Pago título: 2118000351 203 - TINTURARIA E ESTAMPA 29/10/2021 LQ 1007,28 1007,28"
"Pago título: 2118000383 223 - VIVA PISOS E REVESTI 29/10/2021 LQ 775,53 775,53"
"Pago título: 2118000415 237 - IPLASA - INDUSTRIA E 29/10/2021 LQ 439,15 439,15"
"Pago título: 2118000431 244 - CONFIBRA INDUSTRIA E 29/10/2021 LQ 642,28 642,28"
"Pago título: 2118000455 257 - PASTIFICIO SELMI S/A 29/10/2021 LQ 1856,96 1856,96"
"Pago título: 2118000463 262 - IND STRIA CAMPINEIRA 29/10/2021 LQ 296,43 296,43"
"Pago título: 2118000471 265 - ADERE PRODUTOS AUTO- 29/10/2021 LQ 391,04 391,04"
"Pago título: 2118000479 281 - BIO SPRINGER DO BRAS 29/10/2021 LQ 852,31 852,31"
"Pago título: 2118000487 293 - OMAMORI INDUSTRIA DE 29/10/2021 LQ 304,31 304,31"
"Pago título: 2118000503 312 - FIACAO ALPINA LTDA 29/10/2021 LQ 796,39 796,39"
"Pago título: 2118000527 332 - CBR BRANDS IND STRIA 29/10/2021 LQ 3112,03 3112,03"
"Pago título: 2118000551 349 - SOBAM CENTRO MEDICO 29/10/2021 LQ 397,58 397,58"
"Pago título: 2118000567 357 - CONDOMINIO VILLE DE 29/10/2021 LQ 1443,18 1443,18"
"Pago título: 2118000575 358 - ASSOCIA  O AMIGOS MA 29/10/2021 LQ 1219,29 1219,29"
"Pago título: 2118000583 371 - CONDOMINIO ITAEMBU 29/10/2021 LQ 606,58 606,58"
"Pago título: 2118000591 372 - ASSOCIACAO MORAD PRO 29/10/2021 LQ 1282,68 1282,68"
"Pago título: 2118000599 375 - CAPUAVA S/A INDUSTRI 29/10/2021 LQ 816,36 816,36"
"Pago título: 2118000607 383 - EATON LTDA 29/10/2021 LQ 992,53 992,53"
"Pago título: 2118000615 390 - TOYOBO DO BRASIL LTD 29/10/2021 LQ 631,23 631,23"
"Pago título: 2118000623 400 - FRICOCK FRIGORIFICAC 29/10/2021 LQ 955,47 955,47"
"Pago título: 2118000631 407 - COMERCIO E INDUSTRIA 29/10/2021 LQ 254,34 254,34"
"Pago título: 2118000647 417 - EMBRAMACO EMPRESA BR 29/10/2021 LQ 2751,87 2751,87"
"Pago título: 2118000663 426 - RUY R. DA ROCHA PROD 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118000671 432 - ASSOCIACAO PROPRIETA 29/10/2021 LQ 458,45 458,45"
"Pago título: 2118000695 449 - ASSOCIA  O PRO AGUA 29/10/2021 LQ 801,91 801,91"
"Pago título: 2118000703 452 - WHIRLPOOL S/A 29/10/2021 LQ 1030,46 1030,46"
"Pago título: 2118000711 455 - TBK MINERA  O LTDA 29/10/2021 LQ 651,45 651,45"
"Pago título: 2118000719 461 - J.R.M. - PARTICIPACO 29/10/2021 LQ 745,86 745,86"
"Pago título: 2118000727 476 - CLUBE DE CAMPO VALIN 29/10/2021 LQ 1920,76 1920,76"
"Pago título: 2118000743 480 - PAPIRUS INDUSTRIA DE 29/10/2021 LQ 2663,74 2663,74"
"Pago título: 2118000751 482 - TAVARES PINHEIRO IND 29/10/2021 LQ 530,64 530,64"
"Pago título: 2118000759 487 - USINA ACUCAREIRA EST 29/10/2021 LQ 22937,57 22937,57"
"Pago título: 2118000767 490 - SAINT-GOBAIN DO BRAS 29/10/2021 LQ 1050,82 1050,82"
"Pago título: 2118000775 491 - CATERPILLAR BRASIL L 29/10/2021 LQ 501,22 501,22"
