"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444932411202112512.ret"
""
"Cadastrado título novo: 9000006682 4169 - JEAF INCORP PART E E 31/12/2021 RG 1141,84 0"
"Cadastrado título novo: 9000006683 7130 - MADERO INDUSTRIA E C 30/11/2021 RG 2132,63 0"
"Cadastrado título novo: 9000006684 4812 - MARCIA MUSSOLINO TAK 30/11/2021 RG 278,05 0"
"Cadastrado título novo: 9000006685 4812 - MARCIA MUSSOLINO TAK 31/12/2021 RG 278,05 0"
"Cadastrado título novo: 9000006686 4812 - MARCIA MUSSOLINO TAK 31/01/2022 RG 278,05 0"
"Cadastrado título novo: 9000006687 4812 - MARCIA MUSSOLINO TAK 28/02/2022 RG 278,05 0"
"Pago título: 2118000104 46 - ASSOCIA  O DE MORADOR 30/11/2021 LQ 567,23 567,23"
"Pago título: 2118000128 62 - GKN SINTER METALS LTD 30/11/2021 LQ 339,13 339,13"
"Pago título: 2118000144 66 - LPP III - EMPREENDIME 30/11/2021 LQ 215,56 215,56"
"Pago título: 2118000640 411 - IOCHPE-MAXION S/A 30/11/2021 LQ 623,79 623,79"
"Pago título: 2118000680 434 - KSPG AUTOMOTIVE BRAZ 30/11/2021 LQ 812,13 812,13"
"Pago título: 2118000832 523 - CONDOMINIO RESIDENCI 30/11/2021 LQ 349,09 349,09"
"Pago título: 2118000864 558 - CONDOMINIO CENTRO EM 30/11/2021 LQ 814,27 814,27"
"Pago título: 2118000920 826 - DEPARTAMENTO AUTONOM 30/11/2021 LQ 87949,24 87949,24"
"Pago título: 2118001024 857 - CPIC BRASIL FIBRAS D 30/11/2021 LQ 2603,14 2603,14"
"Pago título: 2118001144 901 - GALVANI INDUSTRIA CO 30/11/2021 LQ 8991,71 8991,71"
"Pago título: 2118001200 923 - EMS S/A 30/11/2021 LQ 1139,86 1139,86"
"Pago título: 2118001384 978 - CHEM-TREND IND E COM 30/11/2021 LQ 496,95 496,95"
"Pago título: 2118002256 1695 - GOODYEAR DO BRASIL 30/11/2021 LQ 9317,64 9317,64"
"Pago título: 2118002544 2165 - CONDOMINIO RESIDENC 30/11/2021 LQ 888,26 888,26"
"Pago título: 2118002608 2205 - MPW LAVANDERIA CONF 30/11/2021 LQ 271,61 271,61"
"Pago título: 2118002632 2258 - ATMOSFERA GEST O E 30/11/2021 LQ 877,42 877,42"
"Pago título: 2118003264 3124 - BARREIRENSE PRODUTO 30/11/2021 LQ 292,77 292,77"
"Pago título: 2118003280 3145 - RCL CAMPING E TURIS 30/11/2021 LQ 309,24 309,24"
"Pago título: 2118003368 3328 - EXPRESSO CAMPIBUS L 30/11/2021 LQ 452,43 452,43"
"Pago título: 2118003376 3333 - AUREO ALESSANDRO DA 30/11/2021 LQ 498 498"
"Pago título: 2118003424 3374 - ATMOSFERA GEST O E 30/11/2021 LQ 1424,32 1424,32"
"Pago título: 2118003456 3382 - CENTRO EMPRESARIAL 30/11/2021 LQ 322,59 322,59"
"Pago título: 2118003464 3383 - CENTRO EMPRESARIAL 30/11/2021 LQ 500,37 500,37"
"Pago título: 2118003552 3462 - CONDOM NIO EMPRESAR 30/11/2021 LQ 1348,95 1348,95"
"Pago título: 2118003824 3899 - ASSOCIA  O RESIDENC 30/11/2021 LQ 761,69 761,69"
"Pago título: 2118003960 4280 - YARA BRASIL FERTILI 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118004744 5802 -  GUAS DO BARREIRO R 30/11/2021 LQ 551,61 551,61"
"Pago título: 2118004816 5982 - ASSOCIA  O DOS MORA 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118004824 6034 - ESPA O GAIA EMPREEN 30/11/2021 LQ 425,82 425,82"
"Pago título: 2118004832 6035 - ESPA O GAIA EMPREEN 30/11/2021 LQ 421,75 421,75"
"Pago título: 2118005128 7324 - THEIA EMPREENDIMENT 30/11/2021 LQ 773,17 773,17"
"Pago título: 2118005136 7329 - ESPA O GAIA EMPREEN 30/11/2021 LQ 425,82 425,82"
"Pago título: 2118005168 7348 - JATOB  EMPREENDIMEN 30/11/2021 LQ 270,03 270,03"
"Pago título: 9000005961 900 - DANA INDUSTRIAS LTDA 30/11/2021 LQ 627,71 627,71"
"Pago título: 9000006427 3333 - AUREO ALESSANDRO DA 30/11/2021 LQ 409,52 409,52"
"Pago título: 9000006584 3606 - ANTONIO CHAVES DOS S 30/11/2021 LQ 244,4 244,4"
