"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72445013011202114703.ret"
""
"Cadastrado título novo: 9000006690 3606 - ANTONIO CHAVES DOS S 31/12/2021 RG 219,11 0"
"Pago título: 2118000008 3 - CONDOMINIO RESIDENCIAL 30/11/2021 LQ 246,18 246,18"
"Pago título: 2118000016 12 - AGUAJATO TRANSPORTES 30/11/2021 LQ 1908,15 1908,15"
"Pago título: 2118000024 17 - LEDERVIN IND STRIA E 30/11/2021 LQ 307,41 307,41"
"Pago título: 2118000032 22 - HONDA AUTOMOVEIS DO B 30/11/2021 LQ 1170,59 1170,59"
"Pago título: 2118000040 24 - ASSOCIACAO DOS PROPRI 30/11/2021 LQ 384,32 384,32"
"Pago título: 2118000048 25 - EXTRACAO E COMERCIO D 30/11/2021 LQ 553,25 553,25"
"Pago título: 2118000056 26 - CERAMICA FORMIGRES LT 30/11/2021 LQ 546,99 546,99"
"Pago título: 2118000072 33 - CONDOMINIO SHOPPING C 30/11/2021 LQ 247,14 247,14"
"Pago título: 2118000080 34 - CONDOMINIO BOUGAINVIL 30/11/2021 LQ 228,32 228,32"
"Pago título: 2118000096 43 - CONDOMINIO RESIDENCIA 30/11/2021 LQ 1482,13 1482,13"
"Pago título: 2118000152 68 - ASSOCIACAO GREEN VILL 30/11/2021 LQ 257,17 257,17"
"Pago título: 2118000160 69 - PLASTEK DO BRASIL IND 30/11/2021 LQ 292,33 292,33"
"Pago título: 2118000168 72 - ANTENOR MAXIMIANO PAR 30/11/2021 LQ 434,76 434,76"
"Pago título: 2118000176 73 - NARDINI PISOS E REVES 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118000192 85 - ASSOCIACAO PROPRIETAR 30/11/2021 LQ 355,24 355,24"
"Pago título: 2118000200 94 - SERVICO SOCIAL DA IND 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118000208 96 - TAGMA BRASIL IND STRI 30/11/2021 LQ 530,64 530,64"
"Pago título: 2118000224 111 - ASSOCIACAO MORADORES 30/11/2021 LQ 585,53 585,53"
"Pago título: 2118000232 112 - LUME CERAMICA LTDA 30/11/2021 LQ 270,81 270,81"
"Pago título: 2118000248 136 - M RCIA REGINA PEZZEN 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118000256 142 - SOCIEDADE DE MELHORA 30/11/2021 LQ 454,89 454,89"
"Pago título: 2118000272 152 - SOCIEDADE AMIGOS DO 30/11/2021 LQ 393,41 393,41"
"Pago título: 2118000296 163 - SABARA QUIMICOS E IN 30/11/2021 LQ 565,63 565,63"
"Pago título: 2118000304 166 - BRF - BRASIL FOODS S 30/11/2021 LQ 259,61 259,61"
"Pago título: 2118000312 182 - UNIPEL INDUSTRIA E C 30/11/2021 LQ 325,18 325,18"
"Pago título: 2118000328 184 - TECELAGEM JOLITEX LT 30/11/2021 LQ 1428,73 1428,73"
"Pago título: 2118000336 191 - COOPERATIVA NOVA ESP 30/11/2021 LQ 847,97 847,97"
"Pago título: 2118000352 203 - TINTURARIA E ESTAMPA 30/11/2021 LQ 1007,28 1007,28"
"Pago título: 2118000376 219 - SI GROUP CRIOS RESIN 30/11/2021 LQ 1763,16 1763,16"
"Pago título: 2118000384 223 - VIVA PISOS E REVESTI 30/11/2021 LQ 775,53 775,53"
"Pago título: 2118000416 237 - IPLASA - INDUSTRIA E 30/11/2021 LQ 439,15 439,15"
"Pago título: 2118000432 244 - CONFIBRA INDUSTRIA E 30/11/2021 LQ 642,28 642,28"
"Pago título: 2118000456 257 - PASTIFICIO SELMI S/A 30/11/2021 LQ 1856,96 1856,96"
"Pago título: 2118000464 262 - IND STRIA CAMPINEIRA 30/11/2021 LQ 296,43 296,43"
"Pago título: 2118000472 265 - ADERE PRODUTOS AUTO- 30/11/2021 LQ 391,04 391,04"
"Pago título: 2118000480 281 - BIO SPRINGER DO BRAS 30/11/2021 LQ 852,31 852,31"
"Pago título: 2118000488 293 - OMAMORI INDUSTRIA DE 30/11/2021 LQ 304,31 304,31"
"Pago título: 2118000504 312 - FIACAO ALPINA LTDA 30/11/2021 LQ 796,39 796,39"
"Pago título: 2118000520 324 - DEDINI S/A INDUSTRIA 30/11/2021 LQ 643,93 643,93"
"Pago título: 2118000528 332 - CBR BRANDS IND STRIA 30/11/2021 LQ 3112,03 3112,03"
"Pago título: 2118000552 349 - SOBAM CENTRO MEDICO 30/11/2021 LQ 397,58 397,58"
"Pago título: 2118000568 357 - CONDOMINIO VILLE DE 30/11/2021 LQ 1443,18 1443,18"
"Pago título: 2118000576 358 - ASSOCIA  O AMIGOS MA 30/11/2021 LQ 1219,29 1219,29"
"Pago título: 2118000584 371 - CONDOMINIO ITAEMBU 30/11/2021 LQ 606,58 606,58"
"Pago título: 2118000592 372 - ASSOCIACAO MORAD PRO 30/11/2021 LQ 1282,68 1282,68"
"Pago título: 2118000600 375 - CAPUAVA S/A INDUSTRI 30/11/2021 LQ 816,36 816,36"
"Pago título: 2118000608 383 - EATON LTDA 30/11/2021 LQ 992,53 992,53"
"Pago título: 2118000616 390 - TOYOBO DO BRASIL LTD 30/11/2021 LQ 631,23 631,23"
"Pago título: 2118000648 417 - EMBRAMACO EMPRESA BR 30/11/2021 LQ 2751,87 2751,87"
"Pago título: 2118000664 426 - RUY R. DA ROCHA PROD 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118000672 432 - ASSOCIACAO PROPRIETA 30/11/2021 LQ 458,45 458,45"
"Pago título: 2118000696 449 - ASSOCIA  O PRO AGUA 30/11/2021 LQ 801,91 801,91"
"Pago título: 2118000704 452 - WHIRLPOOL S/A 30/11/2021 LQ 1030,46 1030,46"
"Pago título: 2118000712 455 - TBK MINERA  O LTDA 30/11/2021 LQ 651,45 651,45"
"Pago título: 2118000720 461 - J.R.M. - PARTICIPACO 30/11/2021 LQ 745,86 745,86"
"Pago título: 2118000728 476 - CLUBE DE CAMPO VALIN 30/11/2021 LQ 1920,76 1920,76"
"Pago título: 2118000744 480 - PAPIRUS INDUSTRIA DE 30/11/2021 LQ 2663,74 2663,74"
"Pago título: 2118000752 482 - TAVARES PINHEIRO IND 30/11/2021 LQ 530,64 530,64"
"Pago título: 2118000768 490 - SAINT-GOBAIN DO BRAS 30/11/2021 LQ 1050,82 1050,82"
"Pago título: 2118000776 491 - CATERPILLAR BRASIL L 30/11/2021 LQ 501,22 501,22"
"Pago título: 2118000784 497 -  LCOOL FERREIRA S/A 30/11/2021 LQ 643,18 643,18"
"Pago título: 2118000792 499 - SPAL INDUSTRIA BRASI 30/11/2021 LQ 2917,24 2917,24"
"Pago título: 2118000800 500 - BIGNARDI IND E COM D 30/11/2021 LQ 5302,68 5302,68"
"Pago título: 2118000808 503 - FLAMBOI  ALIMENTOS L 30/11/2021 LQ 661,27 661,27"
"Pago título: 2118000816 505 - ASSOCIACAO AMIGOS DO 30/11/2021 LQ 1120,48 1120,48"
"Pago título: 2118000840 529 - OWENS CORNING FIBERG 30/11/2021 LQ 2940,25 2940,25"
"Pago título: 2118000880 585 - TEKA - TECELAGEM KUE 30/11/2021 LQ 1618,73 1618,73"
"Pago título: 2118000896 821 - PREFEITURA MUNICIPAL 30/11/2021 LQ 3917,49 3917,49"
"Pago título: 2118000912 824 - UNIVERSIDADE DE SAO 30/11/2021 LQ 947,87 947,87"
