"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244503112202133058.ret"
""
"Cadastrado título novo: 9000006691 1078 - DAE S/A AGUA E ESGOT 27/12/2021 RG 318227,14 0"
"Cadastrado título novo: 9000006692 2433 - INTERNATIONAL PAPER 27/12/2021 RG 1139,1 0"
"Cadastrado título novo: 9000006693 2880 - COLDEX TOSI INDUSTRI 27/12/2021 RG 1929,54 0"
"Cadastrado título novo: 9000006694 2385 - SOLENIS ESPECIALIDAD 31/12/2021 RG 858,26 0"
"Pago título: 2118000760 487 - USINA ACUCAREIRA EST 30/11/2021 LQ 22937,57 22937,57"
"Pago título: 2118000824 507 - TINTURARIA UNIVERSO 30/11/2021 LQ 1622,14 1655,12"
"Pago título: 2118001744 1122 - PPC SANTANA EQUIPAM 30/11/2021 LQ 291,74 297,66"
"Pago título: 2118002512 2094 - ASSOCIA  O DE PROPR 30/11/2021 LQ 376,45 384,09"
"Pago título: 2118002984 2757 - CARAVITA EMPRESA DE 30/11/2021 LQ 847,23 864,45"
"Pago título: 2118003728 3701 - ASSOCIA  O DE S CIO 30/11/2021 LQ 1207,67 1232,22"
"Pago título: 2118004040 4378 - OSMAR DONIZETE DA S 30/11/2021 LQ 365,96 373,39"
"Pago título: 2118004552 5504 - LUIZ GUILHERME SART 30/11/2021 LQ 365,96 373,39"
"Pago título: 2118005216 7379 - AGROPLANTAS FLORES 30/11/2021 LQ 319,35 325,83"
"Pago título: 9000006550 2069 - TRANSPORTES  21 LTDA 31/12/2021 LQ 563,22 563,22"
"Pago título: 9000006597 2757 - CARAVITA EMPRESA DE 30/11/2021 LQ 829,16 846,01"
"Pago título: 9000006657 1678 - JATOBA S/A 30/11/2021 LQ 1207,72 1232,27"
