"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244511712202114149.ret"
""
"Cadastrado título novo: 9000006702 4872 - CONDOMINIO CAMPINAS 31/12/2021 RG 1508,28 0"
"Cadastrado título novo: 9000006703 3167 - COOP - COOPERATIVA D 27/12/2021 RG 781,57 0"
"Cadastrado título novo: 9000006704 2691 - PAULO LUCIO FILHO ME 27/12/2021 RG 299,81 0"
"Cadastrado título novo: 9000006705 2691 - PAULO LUCIO FILHO ME 31/01/2022 RG 299,81 0"
"Cadastrado título novo: 9000006706 2691 - PAULO LUCIO FILHO ME 28/02/2022 RG 299,81 0"
"Cadastrado título novo: 9000006707 2691 - PAULO LUCIO FILHO ME 31/03/2022 RG 299,81 0"
"Cadastrado título novo: 9000006708 2691 - PAULO LUCIO FILHO ME 29/04/2022 RG 299,81 0"
"Cadastrado título novo: 9000006709 2691 - PAULO LUCIO FILHO ME 31/05/2022 RG 299,81 0"
"Cadastrado título novo: 9000006710 2691 - PAULO LUCIO FILHO ME 30/06/2022 RG 299,81 0"
"Cadastrado título novo: 9000006711 2691 - PAULO LUCIO FILHO ME 29/07/2022 RG 299,81 0"
"Cadastrado título novo: 9000006712 1561 - GINO JUM SHINKAWA 27/12/2021 RG 1061,72 0"
