"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72445251612202112937.ret"
""
"Cadastrado título novo: 9000006739 3049 - FRICOCK FRIGORIFICAC 31/01/2022 RG 444,63 0"
"Cadastrado título novo: 9000006740 400 - FRICOCK FRIGORIFICACA 31/01/2022 RG 937,76 0"
"Cadastrado título novo: 9000006741 3947 - A. FRIEDBERG DO BRAS 31/12/2021 RG 301,24 0"
"Cadastrado título novo: 9000006742 3947 - A. FRIEDBERG DO BRAS 31/01/2022 RG 301,24 0"
"Cadastrado título novo: 9000006743 3947 - A. FRIEDBERG DO BRAS 28/02/2022 RG 301,24 0"
"Cadastrado título novo: 9000006744 3947 - A. FRIEDBERG DO BRAS 31/03/2022 RG 301,24 0"
"Cadastrado título novo: 9000006745 3947 - A. FRIEDBERG DO BRAS 29/04/2022 RG 301,24 0"
"Cadastrado título novo: 9000006746 3947 - A. FRIEDBERG DO BRAS 31/05/2022 RG 301,24 0"
"Cadastrado título novo: 9000006747 3947 - A. FRIEDBERG DO BRAS 30/06/2022 RG 301,24 0"
"Cadastrado título novo: 9000006748 3947 - A. FRIEDBERG DO BRAS 29/07/2022 RG 301,24 0"
"Cadastrado título novo: 9000006749 3947 - A. FRIEDBERG DO BRAS 31/08/2022 RG 301,24 0"
"Cadastrado título novo: 9000006750 3947 - A. FRIEDBERG DO BRAS 30/09/2022 RG 301,24 0"
"Cadastrado título novo: 9000006751 3947 - A. FRIEDBERG DO BRAS 31/10/2022 RG 301,24 0"
"Cadastrado título novo: 9000006752 3947 - A. FRIEDBERG DO BRAS 30/11/2022 RG 301,24 0"
"Cadastrado título novo: 9000006753 3947 - A. FRIEDBERG DO BRAS 30/12/2022 RG 301,24 0"
"Cadastrado título novo: 9000006754 3947 - A. FRIEDBERG DO BRAS 31/01/2023 RG 301,24 0"
"Cadastrado título novo: 9000006755 3947 - A. FRIEDBERG DO BRAS 28/02/2023 RG 301,24 0"
"Pago título: 9000006727 1928 - ISDRALIT INDUSTRIA E 28/12/2021 LQ 8670,79 8670,79"
