"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72447471406202214225.ret"
""
"Cadastrado título novo: 9000006868 4956 - CONCESSIONARIA DE RO 15/07/2022 RG 1783,72 0"
"Cadastrado título novo: 9000006869 943 - RAIZEN ENERGIA S/A 30/06/2022 RG 10581,42 0"
"Cadastrado título novo: 9000006870 943 - RAIZEN ENERGIA S/A 29/07/2022 RG 10581,41 0"
"Cadastrado título novo: 9000006871 943 - RAIZEN ENERGIA S/A 31/08/2022 RG 10581,41 0"
"Cadastrado título novo: 9000006872 943 - RAIZEN ENERGIA S/A 30/09/2022 RG 10581,41 0"
"Cadastrado título novo: 9000006873 943 - RAIZEN ENERGIA S/A 31/10/2022 RG 10581,41 0"
"Cadastrado título novo: 9000006874 943 - RAIZEN ENERGIA S/A 30/11/2022 RG 10581,41 0"
"Cadastrado título novo: 9000006875 943 - RAIZEN ENERGIA S/A 26/12/2022 RG 10581,41 0"
"Pago título: 2220001267 3405 - VICMA CONSTRUCOES E 30/06/2022 LQ 383,46 383,46"
"Pago título: 2220001988 4507 - CONDOMINIO DAS AZALE 30/06/2022 LQ 200,63 200,63"
"Pago título: 2220003241 1733 - ESPER EMBALAGENS LTD 30/06/2022 LQ 201,6 201,6"
"Pago título: 2220006707 4955 - JCR BENEFICIAMENTO D 30/06/2022 LQ 321,74 321,74"
"Cancelado título: 2220000764 3690 - BRASMOLDE INDUSTRIA 30/06/2022 BX 202,13 0"
"Cancelado título: 2220001334 1172 - ANCHIETA COMERCIO E 30/06/2022 BX 351,32 0"
"Cancelado título: 2220003431 943 - RAIZEN ENERGIA S/A 30/06/2022 BX 21162,83 0"
"Cancelado título: 2220003432 943 - RAIZEN ENERGIA S/A 29/07/2022 BX 21162,82 0"
"Cancelado título: 2220003433 943 - RAIZEN ENERGIA S/A 31/08/2022 BX 21162,82 0"
"Cancelado título: 2220003434 943 - RAIZEN ENERGIA S/A 30/09/2022 BX 21162,82 0"
"Cancelado título: 2220003435 943 - RAIZEN ENERGIA S/A 31/10/2022 BX 21162,82 0"
"Cancelado título: 2220003436 943 - RAIZEN ENERGIA S/A 30/11/2022 BX 21162,82 0"
"Cancelado título: 2220003437 943 - RAIZEN ENERGIA S/A 26/12/2022 BX 21162,82 0"
"Cancelado título: 2220003879 4956 - CONCESSIONARIA DE RO 30/06/2022 BX 2260,09 0"
"Cancelado título: 2220003880 4956 - CONCESSIONARIA DE RO 29/07/2022 BX 2260,12 0"
"Cancelado título: 2220003881 4956 - CONCESSIONARIA DE RO 31/08/2022 BX 2260,12 0"
"Cancelado título: 2220003882 4956 - CONCESSIONARIA DE RO 30/09/2022 BX 2260,12 0"
"Cancelado título: 2220003883 4956 - CONCESSIONARIA DE RO 31/10/2022 BX 2260,12 0"
"Cancelado título: 2220003884 4956 - CONCESSIONARIA DE RO 30/11/2022 BX 2260,12 0"
"Cancelado título: 2220004593 2757 - CARAVITA EMPRESA DE 30/06/2022 BX 968,24 0"
"Cancelado título: 2220004594 2757 - CARAVITA EMPRESA DE 29/07/2022 BX 968,26 0"
"Cancelado título: 2220004595 2757 - CARAVITA EMPRESA DE 31/08/2022 BX 968,26 0"
"Cancelado título: 2220004596 2757 - CARAVITA EMPRESA DE 30/09/2022 BX 968,26 0"
"Cancelado título: 2220004597 2757 - CARAVITA EMPRESA DE 31/10/2022 BX 968,26 0"
"Cancelado título: 2220004598 2757 - CARAVITA EMPRESA DE 30/11/2022 BX 968,26 0"
"Cancelado título: 2220004599 2757 - CARAVITA EMPRESA DE 26/12/2022 BX 968,26 0"
"Cancelado título: 2220006350 3953 - AGE DO BRASIL INDUST 30/06/2022 BX 359,71 0"
"Cancelado título: 2220006351 3953 - AGE DO BRASIL INDUST 29/07/2022 BX 359,68 0"
"Cancelado título: 2220006352 3953 - AGE DO BRASIL INDUST 31/08/2022 BX 359,68 0"
"Cancelado título: 2220006353 3953 - AGE DO BRASIL INDUST 30/09/2022 BX 359,68 0"
"Cancelado título: 2220006354 3953 - AGE DO BRASIL INDUST 31/10/2022 BX 359,68 0"
"Cancelado título: 2220006355 3953 - AGE DO BRASIL INDUST 30/11/2022 BX 359,68 0"
"Cancelado título: 2220006356 3953 - AGE DO BRASIL INDUST 26/12/2022 BX 359,68 0"
"Cancelado título: 2220007316 66 - LPP III - EMPREENDIMEN 30/06/2022 BX 246,35 0"
"Cancelado título: 2220007317 66 - LPP III - EMPREENDIMEN 29/07/2022 BX 246,36 0"
"Cancelado título: 2220007318 66 - LPP III - EMPREENDIMEN 31/08/2022 BX 246,36 0"
"Cancelado título: 2220007319 66 - LPP III - EMPREENDIMEN 30/09/2022 BX 246,36 0"
"Cancelado título: 2220007320 66 - LPP III - EMPREENDIMEN 31/10/2022 BX 246,36 0"
"Cancelado título: 2220007321 66 - LPP III - EMPREENDIMEN 30/11/2022 BX 246,36 0"
"Cancelado título: 2220007322 66 - LPP III - EMPREENDIMEN 26/12/2022 BX 246,36 0"
