"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72447572206202214042.ret"
""
"Pago título: 2220000971 1340 - INDUSTRIA DE BEBIDAS 30/06/2022 LQ 91,23 91,23"
"Pago título: 2220001069 5150 - RAIZEN ENERGIA S/A 30/06/2022 LQ 1714,34 1714,34"
"Pago título: 2220001086 967 - SYNGENTA PROTECAO DE 30/06/2022 LQ 1398,99 1398,99"
"Pago título: 2220001204 1570 - CONDOMINIO RESIDENCI 30/06/2022 LQ 535,44 535,44"
"Pago título: 2220001232 5998 - SERVICO SOCIAL DO CO 30/06/2022 LQ 437,66 437,66"
"Pago título: 2220001356 3215 - ASSOC DOS PROPRIETAR 30/06/2022 LQ 336,68 336,68"
"Pago título: 2220001377 4833 - FACE EMPREENDIMENTOS 30/06/2022 LQ 322,05 322,05"
"Pago título: 2220003253 6 - ASSOCIACAO MELHORAMENTO 30/06/2022 LQ 201,05 201,05"
"Pago título: 2220004852 2752 - PREFEITURA DO MUNICI 30/06/2022 LQ 814,99 814,99"
"Pago título: 2220006784 3377 - COMERCIO DE AGUAS E 30/06/2022 LQ 313,66 313,66"
"Pago título: 2220006785 3377 - COMERCIO DE AGUAS E 29/07/2022 LQ 313,68 313,68"
"Pago título: 2220006786 3377 - COMERCIO DE AGUAS E 31/08/2022 LQ 313,68 313,68"
"Pago título: 2220006787 3377 - COMERCIO DE AGUAS E 30/09/2022 LQ 313,68 313,68"
"Pago título: 2220006788 3377 - COMERCIO DE AGUAS E 31/10/2022 LQ 313,68 313,68"
"Pago título: 2220006789 3377 - COMERCIO DE AGUAS E 30/11/2022 LQ 313,68 313,68"
"Pago título: 2220006790 3377 - COMERCIO DE AGUAS E 26/12/2022 LQ 313,68 313,68"
