"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72447972007202214617.ret"
""
"Cadastrado título novo: 9000006958 529 - OWENS CORNING FIBERGL 10/08/2022 RG 2926,22 0"
"Cadastrado título novo: 9000006959 529 - OWENS CORNING FIBERGL 10/08/2022 RG 2898,94 0"
"Pago título: 2220000010 1827 - POSTO E RESTAURANTE 29/07/2022 LQ 297,16 297,16"
"Pago título: 2220000044 2961 - RECANTO DO TEIXEIRA 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000223 327 - DI FIORI CONSTRUCOES 30/06/2022 LQ 250,7 257,31"
"Pago título: 2220000224 327 - DI FIORI CONSTRUCOES 29/07/2022 LQ 250,71 250,71"
"Pago título: 2220000591 2157 - ANTONIO VINGE TECELA 15/07/2022 LQ 256 261,52"
"Pago título: 2220000817 70 - DS SIQUEIRA & LIMA HOT 30/06/2022 LQ 180,64 185,45"
"Pago título: 2220001269 7664 - ASSOCIACAO DOS MORAD 20/07/2022 LQ 383,34 383,34"
"Pago título: 2220001468 2450 - ASSOC DE PROPRIETARI 20/07/2022 LQ 292,77 292,77"
"Pago título: 2220001613 7193 - GHG PARTICIPACOES LT 30/06/2022 LQ 243,98 250,45"
"Pago título: 2220002617 2545 - ASSOCIACAO DOS PROP 29/07/2022 LQ 222,5 222,5"
"Pago título: 2220002697 3292 - JARDIM SAO GERALDO E 29/07/2022 LQ 216,06 216,06"
"Pago título: 2220003171 3385 - S.ZANARDI EMPREENDIM 31/08/2022 LQ 207,41 207,41"
"Pago título: 2220003306 3443 - BRK AMBIENTAL - SUMA 29/07/2022 LQ 106481,8 106481,8"
"Pago título: 2220003803 448 - INDUSTRIA DE PAPEL R. 29/07/2022 LQ 2873,31 2873,31"
"Pago título: 2220005364 1965 - ASSOC DE PROPRIETARI 29/07/2022 LQ 585,53 585,53"
"Pago título: 2220006022 3262 - ASSOCIACAO DE AMIGOS 29/07/2022 LQ 415,61 415,61"
"Pago título: 2220007331 2549 - KNAUF ISOPOR LTDA. 29/07/2022 LQ 244,67 244,67"
"Pago título: 2220007456 5614 - ATIBAIA SANEAMENTO S 20/07/2022 LQ 230,87 230,87"
"Pago título: 2220007730 658 - LUIZ DE MORAES BARROS 29/07/2022 LQ 209,12 209,12"
"Pago título: 9000006630 1899 - CARLOS ANTONIO SAVOY 29/07/2022 LQ 475,36 475,36"
"Pago título: 9000006774 2602 - BIRICA EMPREENDIMENT 29/07/2022 LQ 777,4 777,4"
