"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448032507202225059.ret"
""
"Cadastrado título novo: 9000006960 1926 - YADOYA INDUSTRIA E C 29/07/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006961 1926 - YADOYA INDUSTRIA E C 31/08/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006962 1926 - YADOYA INDUSTRIA E C 30/09/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006963 1926 - YADOYA INDUSTRIA E C 31/10/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006964 1926 - YADOYA INDUSTRIA E C 30/11/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006965 1926 - YADOYA INDUSTRIA E C 30/12/2022 RG 1699,28 0"
"Cadastrado título novo: 9000006966 1926 - YADOYA INDUSTRIA E C 31/01/2023 RG 1699,28 0"
"Cadastrado título novo: 9000006967 1926 - YADOYA INDUSTRIA E C 28/02/2023 RG 1699,28 0"
"Cadastrado título novo: 9000006968 1926 - YADOYA INDUSTRIA E C 31/03/2023 RG 1699,28 0"
"Cadastrado título novo: 9000006969 1926 - YADOYA INDUSTRIA E C 28/04/2023 RG 1699,28 0"
"Pago título: 2220000022 4374 - WAGNER BISCO 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000068 3633 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000204 4448 - ASSOCIACAO DE PROP E 29/07/2022 LQ 255,55 255,55"
"Pago título: 2220000220 3923 - CONDOMINIO EDIFICIO 29/07/2022 LQ 251,16 251,16"
"Pago título: 2220000274 3697 - RIO NEGRO EMPREENDIM 29/07/2022 LQ 240,88 240,88"
"Pago título: 2220000324 5456 - EMPREENDIMENTO HOTEL 29/07/2022 LQ 230 230"
"Pago título: 2220000490 102 - FSO PRODUTOS ORGANICO 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220000502 3844 - PROLOGIS CCP TONOLLI 29/07/2022 LQ 203,35 203,35"
"Pago título: 2220000540 1663 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 274,37 282,1"
"Pago título: 2220000800 5214 - NOVA PLAST IND E COM 30/06/2022 LQ 189,65 194,94"
"Pago título: 2220001017 2433 - INTERNATIONAL PAPER 29/07/2022 LQ 4400,78 4400,78"
"Pago título: 2220001050 4900 - UNIDADE DE TERAPIA R 25/07/2022 LQ 2195,75 2195,75"
"Pago título: 2220001063 1559 - DIALISA SERVICOS MED 25/07/2022 LQ 1853,54 1853,54"
"Pago título: 2220001115 4499 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 1024,69 1053,68"
"Pago título: 2220001151 1679 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 764,45 785,98"
"Pago título: 2220001170 3373 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 702,64 722,44"
"Pago título: 2220001215 2756 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 483,07 496,73"
"Pago título: 2220001219 4270 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 468,43 481,54"
"Pago título: 2220001233 2494 - TAUA EMPREENDIMENTOS 30/06/2022 LQ 430,37 442,47"
"Pago título: 2220001277 2746 - PIMENTA VERDE ALIMEN 30/06/2022 LQ 374,74 385,23"
"Pago título: 2220001387 5555 - ASSUNCAO EMPREENDIME 30/06/2022 LQ 319,85 328,74"
"Pago título: 2220001503 3642 - CONDOMINIO RESIDENCI 29/07/2022 LQ 265,01 265,01"
"Pago título: 2220001746 2664 - CONDOMINIO RESIDENCI 29/07/2022 LQ 231,63 231,63"
"Pago título: 2220001875 2057 - CERAMICA NOSSA SENHO 29/07/2022 LQ 214,7 214,7"
"Pago título: 2220001974 3448 - CONDOMINIO CENTER LO 29/07/2022 LQ 202,43 202,43"
"Pago título: 2220002009 5907 - TSI   EMPREENDIMENTO 29/07/2022 LQ 248,85 248,85"
"Pago título: 2220002061 4409 - RODOPOSTO BANDEIRANT 29/07/2022 LQ 238,63 238,63"
"Pago título: 2220002385 3596 - COEXPAN BRASIL EMBAL 29/07/2022 LQ 211,05 211,05"
"Pago título: 2220002429 1228 - FERNANDES TEXTIL LTD 29/07/2022 LQ 207,5 207,5"
"Pago título: 2220002449 5754 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220002477 3098 - ASSOC DOS PROPR E MO 29/07/2022 LQ 239,48 239,48"
"Pago título: 2220002542 3468 - VOTORANTIM CIMENTOS 29/07/2022 LQ 233,63 233,63"
"Pago título: 2220002543 3468 - VOTORANTIM CIMENTOS 31/08/2022 LQ 233,63 233,63"
"Pago título: 2220002544 3468 - VOTORANTIM CIMENTOS 30/09/2022 LQ 233,63 233,63"
"Pago título: 2220002545 3468 - VOTORANTIM CIMENTOS 31/10/2022 LQ 233,63 233,63"
"Pago título: 2220002662 5616 - TRADECORP DO BRASIL, 29/07/2022 LQ 218,76 218,76"
"Pago título: 2220003194 6600 - TERRA AZUL MARKETING 29/07/2022 LQ 206,35 206,35"
"Pago título: 2220003313 826 - DEPARTAMENTO AUTONOMO 29/07/2022 LQ 101188,33 101188,33"
"Pago título: 2220003691 3379 - SSB ENERGIA RENOVAVE 29/07/2022 LQ 4368,06 4368,06"
"Pago título: 2220004069 3851 - USINA GRANELLI LTDA. 29/07/2022 LQ 1821,34 1821,34"
"Pago título: 2220004237 358 - ASSOCIACAO AMIGOS MAR 29/07/2022 LQ 1393,48 1393,48"
"Pago título: 2220004496 1934 - SSB ENERGIA RENOVAVE 29/07/2022 LQ 1045,59 1045,59"
"Pago título: 2220004909 254 - SOCIEDADE HIPICA DE C 29/07/2022 LQ 756,56 756,56"
"Pago título: 2220005189 1490 - AGUA SANTO ANTONIO L 29/07/2022 LQ 640,84 640,84"
"Pago título: 2220005259 3032 - CONDOMINIO VILLAGE S 29/07/2022 LQ 614,81 614,81"
"Pago título: 2220005343 2655 - JOAO CARLOS LEME RIB 29/07/2022 LQ 588,98 588,98"
"Pago título: 2220005385 491 - CATERPILLAR BRASIL LT 29/07/2022 LQ 572,82 572,82"
"Pago título: 2220005602 989 - A P LOSA & CIA LTDA 29/07/2022 LQ 501,89 501,89"
"Pago título: 2220005770 1547 - SOCER BRASIL INDUSTR 29/07/2022 LQ 450,8 450,8"
"Pago título: 2220006001 2310 - AQUACHER COMERCIAL L 29/07/2022 LQ 417,19 417,19"
"Pago título: 2220006414 46 - ASSOCIACAO DE MORADORE 29/07/2022 LQ 355,5 355,5"
"Pago título: 2220006505 1222 - SOCIEDADE COMUNITARI 29/07/2022 LQ 342,12 342,12"
"Pago título: 2220006596 5558 - PARKLOG ADMINISTRADO 29/07/2022 LQ 334,59 334,59"
"Pago título: 2220006638 3336 - CONDOMINIO RESIDENCI 29/07/2022 LQ 329,82 329,82"
"Pago título: 2220006841 3779 - SOCIEDADE JARDIM VIL 29/07/2022 LQ 301,97 301,97"
"Pago título: 2220006932 1976 - SOL INVEST EMPREENDI 29/07/2022 LQ 291,16 291,16"
"Pago título: 2220006981 3323 - HORTOLANDIA INCORPOR 29/07/2022 LQ 288,94 288,94"
"Pago título: 2220007107 2962 - CONDOMINIO VITORIA D 29/07/2022 LQ 271,02 271,02"
"Pago título: 2220007554 202 - NOVA PLAST IND E COM 30/06/2022 LQ 224,65 231,01"
"Pago título: 2220007597 7711 - PAULO SETUBAL NETO 29/07/2022 LQ 220,83 220,83"
"Pago título: 2220007660 3540 - COMERCIAL DE ALIMENT 29/07/2022 LQ 217,7 217,7"
"Pago título: 2220007667 2165 - CONDOMINIO RESIDENCI 29/07/2022 LQ 217,29 217,29"
"Pago título: 2220007926 3474 - ASSOCIACAO FILOSOFIC 29/07/2022 LQ 203,26 203,26"
"Pago título: 9000006592 3606 - ANTONIO CHAVES DOS S 29/07/2022 LQ 244,4 244,4"
"Pago título: 9000006910 6692 - CONDOMINIO EMPRESARI 29/07/2022 LQ 486,48 486,48"
"Pago título: 9000006940 2057 - CERAMICA NOSSA SENHO 29/07/2022 LQ 2507,37 2507,37"
