"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448052607202213201.ret"
""
"Cadastrado título novo: 9000006970 2070 - CTEEP CIA DE TRANSMI 31/08/2022 RG 609,25 0"
"Cadastrado título novo: 9000006971 2073 - CTEEP CIA DE TRANSMI 31/08/2022 RG 411,23 0"
"Cadastrado título novo: 9000006972 3333 - AUREO ALESSANDRO DA 29/07/2022 RG 434,67 0"
"Cadastrado título novo: 9000006973 2444 - TNT MERCURIO CARGAS 31/08/2022 RG 673,26 0"
"Pago título: 2220000016 2340 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 296,43 296,43"
"Pago título: 2220000964 2152 - PRO NATURA AGRICOLA 30/06/2022 LQ 98,78 101,53"
"Pago título: 2220001429 199 - SUPERMERCADOS CAVICCH 30/06/2022 LQ 302,75 311,4"
"Pago título: 2220001485 5509 - IRON MOUNTAIN DO BRA 15/07/2022 LQ 292,72 299,56"
"Pago título: 2220001953 5009 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 204,93 204,93"
"Pago título: 2220002013 2959 - ALIMENTOS DALLAS IND 29/07/2022 LQ 248,53 248,53"
"Pago título: 2220002133 5048 - CR2 EMPREENDIMENTOS 29/07/2022 LQ 230,01 230,01"
"Pago título: 2220002153 4407 - RODOPOSTO BANDEIRANT 29/07/2022 LQ 229,45 229,45"
"Pago título: 2220002409 1039 - BRAGA COMERCIO E IND 29/07/2022 LQ 210,21 210,21"
"Pago título: 2220002433 1147 - TERROIR DE BRAGANCA 29/07/2022 LQ 205,61 205,61"
"Pago título: 2220002676 3288 - SELIAL IND E COM, IM 30/06/2022 LQ 217,4 223,56"
"Pago título: 2220003230 3929 - MINERACAO SAMAMBAIA 29/07/2022 LQ 202,19 202,19"
"Pago título: 2220004846 3060 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 815,56 815,56"
"Pago título: 2220004951 2712 - PECANHA & HELENA TRA 29/07/2022 LQ 748,37 748,37"
"Pago título: 2220005133 3899 - ASSOCIACAO RESIDENCI 29/07/2022 LQ 661,72 661,72"
"Pago título: 2220005441 2748 - QUALITY BENEFICIADOR 29/07/2022 LQ 545,37 545,37"
"Pago título: 2220005490 941 - RAIZEN ENERGIA S/A 29/07/2022 LQ 527,05 527,05"
"Pago título: 2220006568 1289 - ASGA S/A 29/07/2022 LQ 334,59 334,59"
"Pago título: 2220007296 1564 - INDUSTRIA E COMERCIO 29/07/2022 LQ 248,63 248,63"
"Pago título: 2220007415 7150 - VIDA SAO DOMINGOS IN 29/07/2022 LQ 236,6 236,6"
"Pago título: 2220007443 3703 - ASSOCIACAO DOS PROP. 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220007877 2047 - ITARARE TRANSPORTE D 29/07/2022 LQ 206,25 206,25"
"Pago título: 9000006877 4844 - CENTRO DE TECNOLOGIA 29/07/2022 LQ 1771,23 1771,23"
"Pago título: 9000006957 963 - SCHOTT FLAT GLASS DO 29/07/2022 LQ 429,23 429,23"
