"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448072707202221053.ret"
""
"Cadastrado título novo: 9000006974 1585 - HORTEL HOTELARIA LTD 31/08/2022 RG 469,22 0"
"Cadastrado título novo: 9000006975 2385 - SOLENIS ESPECIALIDAD 29/07/2022 RG 920,2 0"
"Pago título: 2220000072 1051 - ITABRAS MINERACAO  L 29/07/2022 LQ 292,75 292,75"
"Pago título: 2220000176 394 - CONDOMINIO EDIFICIO M 29/07/2022 LQ 261,25 261,25"
"Pago título: 2220000192 3651 - CT AGROINDUSTRIA E C 29/07/2022 LQ 256,66 256,66"
"Pago título: 2220000260 3850 - PORTO DE AREIA RIO B 29/07/2022 LQ 243,96 243,96"
"Pago título: 2220000264 7290 - CONDOMINIO AMBAR 29/07/2022 LQ 243,43 243,43"
"Pago título: 2220000312 3494 - MANCHESTER QUIMICA D 29/07/2022 LQ 232,75 232,75"
"Pago título: 2220000364 3157 - ASSOCIACAO EVANGELIC 29/07/2022 LQ 222,23 222,23"
"Pago título: 2220000380 4279 - BOARELIS BRASIL S.A. 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000472 1152 - JESUS TITO DA SILVA 29/07/2022 LQ 207,11 207,11"
"Pago título: 2220000682 5533 - LUIS ANTONIO BARRETO 30/06/2022 LQ 232,39 238,92"
"Pago título: 2220001253 4063 - FLAMENGO FUTEBOL CLU 30/06/2022 LQ 392,75 404,11"
"Pago título: 2220001596 1565 - MANCHESTER QUIMICA D 29/07/2022 LQ 248,85 248,85"
"Pago título: 2220001602 2963 - FIBRILA TEXTILE LTDA 29/07/2022 LQ 246,79 246,79"
"Pago título: 2220001647 524 - CONDOMINIO EDIFICIO C 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001734 444 - VIRONDA CONFECCOES LT 29/07/2022 LQ 233,68 233,68"
"Pago título: 2220001878 3193 - NOSSO CLUBE 29/07/2022 LQ 214,6 214,6"
"Pago título: 2220002017 3827 - STAVIAS SATANOSKI TE 29/07/2022 LQ 246,65 246,65"
"Pago título: 2220002037 1092 - PREFEITURA MUNICIPAL 29/07/2022 LQ 243,89 243,89"
"Pago título: 2220002089 2657 - INDUSTRIAS NARDINI S 29/07/2022 LQ 234,07 234,07"
"Pago título: 2220002168 3338 - MINERACAO DOIS IRMAO 15/07/2022 LQ 226,61 231,98"
