"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448092807202213522.ret"
""
"Cadastrado título novo: 9000006976 1408 - ARCOR DO BRASIL LTDA 31/08/2022 RG 3083,19 0"
"Pago título: 2220000004 5263 - ANHANGUERA EDUCACION 29/07/2022 LQ 299,07 299,07"
"Pago título: 2220000032 4217 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000042 4818 - NOTRE DAME INTERMEDI 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000136 1597 - PREFEITURA MUNICIPAL 29/07/2022 LQ 269,59 269,59"
"Pago título: 2220000250 2842 - CONDOMINIO RESIDENCI 29/07/2022 LQ 246,37 246,37"
"Pago título: 2220000268 3802 - TRANSPORTADORA DE AG 29/07/2022 LQ 241,54 241,54"
"Pago título: 2220000320 3102 - HOTEIS SANTA ROSA LT 29/07/2022 LQ 230,06 230,06"
"Pago título: 2220000404 4012 - CONDOMINIO RESIDENCI 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000424 2739 - CRISTA INDUSTRIA E C 29/07/2022 LQ 218,37 218,37"
"Pago título: 2220000434 1486 - CONDOMINIO LOG INN J 29/07/2022 LQ 215,16 215,16"
"Pago título: 2220000486 1185 - MINERADORA BARBARENS 29/07/2022 LQ 204,94 204,94"
"Pago título: 2220000504 277 - LINHASITA INDUSTRIA D 29/07/2022 LQ 202,97 202,97"
"Pago título: 2220000837 5500 - MARIA INES MOSCA 30/06/2022 LQ 173,25 178,11"
"Pago título: 2220001343 1203 - DIPALMA COM, DISTRIB 15/07/2022 LQ 345,16 353,49"
"Pago título: 2220001548 5017 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 255,56 255,56"
"Pago título: 2220001656 972 - OJI PAPEIS ESPECIAIS 29/07/2022 LQ 243,44 243,44"
"Pago título: 2220001692 3527 - CARFAM EMPREENDIMENT 29/07/2022 LQ 238,54 238,54"
"Pago título: 2220001761 115 - MARELLI SISTEMAS AUTO 29/07/2022 LQ 230,37 230,37"
"Pago título: 2220001803 2041 - COSMOPOLITANO FUTEBO 29/07/2022 LQ 224,27 224,27"
"Pago título: 2220001902 3569 - CONDOMINIO RESIDENCI 29/07/2022 LQ 212,26 212,26"
"Pago título: 2220002201 3459 - JOFEGE CONCRETO LTDA 29/07/2022 LQ 223,59 223,59"
"Pago título: 2220002237 3733 - ASSOC PROPRIETARIOS 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002265 4650 - ABATEDOURO DE AVES I 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002309 81 - CONPROP DO BRASIL EMPR 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002337 4534 - CONDOMINIO CIVIL CEN 29/07/2022 LQ 215,11 215,11"
"Pago título: 2220002345 7361 - GENCONS EMPREENDIMEN 29/07/2022 LQ 214,67 214,67"
"Pago título: 2220002373 612 - JOSE COLLOCA 29/07/2022 LQ 211,96 211,96"
"Pago título: 2220002456 3415 - CONDOMINIO EDIFICIO 30/06/2022 LQ 202,51 208,24"
"Pago título: 2220002473 835 - ARKEMA QUIMICA LTDA 29/07/2022 LQ 200,59 200,59"
"Pago título: 2220002547 7444 - THAIS REGINA ROCHITI 29/07/2022 LQ 232,93 232,93"
"Pago título: 2220002702 2389 - JOFEGE CONCRETO LTDA 29/07/2022 LQ 215,7 215,7"
"Pago título: 2220002737 4973 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 210,79 210,79"
"Pago título: 2220002762 2137 - PREFEITURA MUNICIPAL 29/07/2022 LQ 209,96 209,96"
"Pago título: 2220002822 853 - TAKASAGO FRANGANCIAS 29/07/2022 LQ 204,27 204,27"
"Pago título: 2220003188 14 - BORGWARNER INDUSTRIA E 29/07/2022 LQ 206,43 206,43"
"Pago título: 2220003248 286 - T.F.T. TECIDOS E FIOS 29/07/2022 LQ 201,13 201,13"
"Pago título: 2220003292 1046 - BRK AMBIENTAL - LIME 29/07/2022 LQ 170356,37 170356,37"
"Pago título: 2220003348 940 - SERVICO AUTONOMO DE A 29/07/2022 LQ 52004,29 52004,29"
"Pago título: 2220003383 930 - SERVICO AUTONOMO DE A 29/07/2022 LQ 39331,26 39331,26"
"Pago título: 2220003446 1132 - CIA SANEAMENTO BASIC 29/07/2022 LQ 19417,1 19417,1"
"Pago título: 2220003565 1129 - CIA SANEAMENTO BASIC 29/07/2022 LQ 9222,47 9222,47"
"Pago título: 2220003649 856 - PREFEITURA MUNICIPAL 29/07/2022 LQ 5118,88 5118,88"
"Pago título: 2220003684 1743 - EDSON CHINARELLI TRA 29/07/2022 LQ 4483,51 4483,51"
"Pago título: 2220003852 1128 - CIA SANEAMENTO BASIC 29/07/2022 LQ 2401,47 2401,47"
"Pago título: 2220004139 357 - CONDOMINIO VILLE DE C 29/07/2022 LQ 1649,35 1649,35"
"Pago título: 2220004167 1926 - YADOYA INDUSTRIA E C 29/07/2022 LQ 1601,33 1601,33"
"Pago título: 2220004461 2751 - SERVICO AUTONOMO DE 29/07/2022 LQ 1075,62 1075,62"
"Pago título: 2220004580 421 - MARTINREA HONSEL BRAS 29/07/2022 LQ 991,24 991,24"
"Pago título: 2220004797 3622 - CONDOMINIO CAPELA DO 29/07/2022 LQ 838,11 838,11"
"Pago título: 2220004930 4014 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 752,83 752,83"
"Pago título: 2220004937 7308 - MARIA CRISTINA RODRI 29/07/2022 LQ 752,82 752,82"
"Pago título: 2220004972 392 - CONDOMINIO SHOPPING C 29/07/2022 LQ 743,02 743,02"
"Pago título: 2220005007 1216 - CERBA DESTILARIA DE 29/07/2022 LQ 731,92 731,92"
"Pago título: 2220005210 356 - ESTANCIA ARVORE DA VI 29/07/2022 LQ 634,44 634,44"
"Pago título: 2220005224 1249 - ESTANCIA PARQUE ATIB 29/07/2022 LQ 631,77 631,77"
"Pago título: 2220005595 297 - CERAMICA CRISTOFOLETT 29/07/2022 LQ 501,89 501,89"
"Pago título: 2220005630 3345 - SAO PAULO SECRETARIA 29/07/2022 LQ 493,19 493,19"
"Pago título: 2220005658 1829 - NHEEL QUIMICA LTDA 29/07/2022 LQ 484,96 484,96"
"Pago título: 2220006015 3926 - HWT PROMOCOES ESPORT 29/07/2022 LQ 415,62 415,62"
"Pago título: 2220006323 841 - MAGNETI MARELLI SISTE 29/07/2022 LQ 365,06 365,06"
"Pago título: 2220006337 2688 - ARYZTA DO BRASIL ALI 29/07/2022 LQ 364,26 364,26"
"Pago título: 2220006379 342 - IPE AGRO AVICOLA LTDA 29/07/2022 LQ 357,53 357,53"
"Pago título: 2220006392 2172 - FARMINA PET FOODS BR 30/06/2022 LQ 356,65 367,1"
"Pago título: 2220006421 3145 - RCL CAMPING E TURISM 29/07/2022 LQ 353,41 353,41"
"Pago título: 2220006659 1985 - CONJUNTO RESIDENCIAL 29/07/2022 LQ 327,06 327,06"
"Pago título: 2220006694 1749 - USINA PAULISTA DE BR 29/07/2022 LQ 322,99 322,99"
"Pago título: 2220007191 149 - GREEN GOLF CLUB 29/07/2022 LQ 254,83 254,83"
"Pago título: 2220007310 4485 - PARQUE DOS EUCALIPTO 29/07/2022 LQ 246,55 246,55"
"Pago título: 2220007632 7027 - ETIQUETTA BRANCA IND 29/07/2022 LQ 218,85 218,85"
"Pago título: 2220007863 5491 - BREW CENTER CERVEJAS 29/07/2022 LQ 206,52 206,52"
"Pago título: 2220007982 3271 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 200,75 200,75"
"Pago título: 9000006861 5339 - GILBERTO CARLOS FALC 29/07/2022 LQ 828,55 828,55"
"Pago título: 9000006906 3869 - LOGBRAS CABREUVA EMP 29/07/2022 LQ 256,17 256,17"
"Pago título: 9000006949 1134 - MUNICIPIO DE SUMARE 29/07/2022 LQ 220417,23 220417,23"
