"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448112907202212850.ret"
""
"Cadastrado título novo: 9000006977 521 - SPG PRINTS BRASIL LTD 31/08/2022 RG 237,31 0"
"Cadastrado título novo: 9000006978 7722 - ASSOC DE PROP DO LOT 30/09/2022 RG 207,04 0"
"Cadastrado título novo: 9000006979 7722 - ASSOC DE PROP DO LOT 31/10/2022 RG 207,05 0"
"Cadastrado título novo: 9000006980 7722 - ASSOC DE PROP DO LOT 30/11/2022 RG 207,05 0"
"Cadastrado título novo: 9000006981 5417 - TCP SALTO INDUSTRIAL 31/08/2022 RG 700,64 0"
"Cadastrado título novo: 9000006982 2239 - CERAMICA RAMOS LTDA 31/08/2022 RG 467,14 0"
"Pago título: 2220000008 1476 - INNARA INDUSTRIA NAC 29/07/2022 LQ 297,83 297,83"
"Pago título: 2220000018 569 - ALCAR ABRASIVOS LTDA 29/07/2022 LQ 295,57 295,57"
"Pago título: 2220000020 2307 - AGROLINK IMPORTACAO 29/07/2022 LQ 293,35 293,35"
"Pago título: 2220000024 3477 - OLINTO RODRIGUES DE 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000034 4696 - NEWSUL S/A EMBALAGEN 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000036 5665 - ASSOCIACAO DEMOCRATI 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000038 4690 - RODONAVES TRANSPORTE 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000048 2948 - ASSOCIACAO RESIDENCI 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000050 7719 - GL FOODS WORLDWIDE L 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000056 2026 - SERRA DO SOL EMPREEN 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000058 3123 - FRANCISCO ISSAO SAIT 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000062 3484 - CLUBE RECREATIVO SAO 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000064 4846 - CONDOMINIO RESIDENCI 29/07/2022 LQ 292,77 292,77"
"Pago título: 2220000074 2257 - BALLAGRO AGRO TECNOL 29/07/2022 LQ 292,45 292,45"
"Pago título: 2220000076 1571 - RODOPOSTO TOPAZIO LT 29/07/2022 LQ 292,15 292,15"
"Pago título: 2220000078 285 - CAPIVARI CLUBE 29/07/2022 LQ 291,87 291,87"
"Pago título: 2220000080 4563 - RESIDENCIAL AUREA 29/07/2022 LQ 291,78 291,78"
"Pago título: 2220000090 5627 - SANCETUR   SANTA CEC 29/07/2022 LQ 287,1 287,1"
"Pago título: 2220000092 1863 - TEXTIL ELIANA LTDA 29/07/2022 LQ 285,95 285,95"
"Pago título: 2220000094 1699 - JRPH RESORT HOTEL PR 29/07/2022 LQ 285,45 285,45"
"Pago título: 2220000096 3511 - CONDOMINIO RESIDENCI 29/07/2022 LQ 284,8 284,8"
"Pago título: 2220000100 6994 - ESPORTE CLUBE PRIMAV 29/07/2022 LQ 281,06 281,06"
"Pago título: 2220000106 5605 - ASSOCIACAO MORADORES 29/07/2022 LQ 278,13 278,13"
"Pago título: 2220000108 7327 - SUPERMERCADOS DALBEN 29/07/2022 LQ 277,39 277,39"
"Pago título: 2220000110 5636 - QUIBRITA MINERADORA 29/07/2022 LQ 276,98 276,98"
"Pago título: 2220000114 5304 - EDIFICIO NOVAMERICA 29/07/2022 LQ 276,19 276,19"
"Pago título: 2220000116 574 - SINTER FUTURA LTDA 29/07/2022 LQ 275,84 275,84"
"Pago título: 2220000118 3342 - XERIUM TECHNOLOGIES 29/07/2022 LQ 275,58 275,58"
"Pago título: 2220000119 5529 - CAMPINAS EDUCACAO AS 29/07/2022 LQ 275,4 275,4"
"Pago título: 2220000120 5529 - CAMPINAS EDUCACAO AS 29/07/2022 LQ 275,4 275,4"
"Pago título: 2220000124 3498 - RELAX MOTEL LTDA 29/07/2022 LQ 274,62 274,62"
"Pago título: 2220000134 1744 - INDUSTRIAS MARRUCCI 29/07/2022 LQ 271,78 271,78"
"Pago título: 2220000138 2914 - COSMOS INDUSTRIA E C 29/07/2022 LQ 268,97 268,97"
"Pago título: 2220000142 3688 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 266,42 266,42"
"Pago título: 2220000152 3841 - CONSOLINE VEICULOS L 29/07/2022 LQ 263,49 263,49"
"Pago título: 2220000156 1868 - FORMIGAO COMERCIO DE 29/07/2022 LQ 263,49 263,49"
"Pago título: 2220000158 2305 - FRESKIMASSAS INDUSTR 29/07/2022 LQ 263,49 263,49"
"Pago título: 2220000160 3593 - T.H.R. INDUSTRIA E C 29/07/2022 LQ 263,49 263,49"
"Pago título: 2220000164 584 - INSTITUTO SECULAR IRM 29/07/2022 LQ 262,77 262,77"
"Pago título: 2220000166 4822 - AGROPECUARIA MONTSUL 29/07/2022 LQ 262,77 262,77"
"Pago título: 2220000168 2004 - TECNO OIL INDUSTRIA 29/07/2022 LQ 262,77 262,77"
"Pago título: 2220000172 1878 - SUPERMERCADOS CAVICC 29/07/2022 LQ 261,9 261,9"
"Pago título: 2220000174 4489 - SANATORIO ISMAEL 29/07/2022 LQ 261,3 261,3"
"Pago título: 2220000182 4536 - CONDOMINIO RESIDENCI 29/07/2022 LQ 259,9 259,9"
"Pago título: 2220000184 1032 - CLUBE RECREATIVO FLO 29/07/2022 LQ 259,1 259,1"
"Pago título: 2220000186 3347 - MARTIN SPROCKET & GE 29/07/2022 LQ 258,97 258,97"
"Pago título: 2220000188 3049 - FRICOCK FRIGORIFICAC 29/07/2022 LQ 258,6 258,6"
"Pago título: 2220000190 1187 - FLORIDIANA TENIS CLU 29/07/2022 LQ 257,51 257,51"
"Pago título: 2220000202 4291 - LAR DOS VELHOS FLAMI 29/07/2022 LQ 255,55 255,55"
"Pago título: 2220000208 2938 - FRIBAL FRIGORIFICO B 29/07/2022 LQ 254,71 254,71"
"Pago título: 2220000210 1229 - ALBANO EMBALAGENS ES 29/07/2022 LQ 254,13 254,13"
"Pago título: 2220000214 3320 - SAVEGNAGO SUPERMERCA 29/07/2022 LQ 252,76 252,76"
"Pago título: 2220000222 2449 - CONDOMINIO OSATO 29/07/2022 LQ 250,83 250,83"
"Pago título: 2220000226 2204 - TAKEO OMORI 29/07/2022 LQ 250,32 250,32"
"Pago título: 2220000228 3759 - HOTEL FAZENDA DONA C 29/07/2022 LQ 250,32 250,32"
"Pago título: 2220000232 3270 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 248,86 248,86"
"Pago título: 2220000236 1998 - AUTO POSTO MORRO AZU 29/07/2022 LQ 248,86 248,86"
"Pago título: 2220000244 2579 - CLUBE DE REGATAS BAN 29/07/2022 LQ 247,25 247,25"
"Pago título: 2220000248 418 - RESIDENCIAL ALTO DOS 29/07/2022 LQ 246,46 246,46"
"Pago título: 2220000254 7323 - WWCE INVESTIMENTOS E 29/07/2022 LQ 244,89 244,89"
"Pago título: 2220000258 834 - BURIGOTTO S/A INDUSTR 29/07/2022 LQ 244,66 244,66"
"Pago título: 2220000262 2685 - INDUSTRIA MECANICA S 29/07/2022 LQ 243,53 243,53"
"Pago título: 2220000266 3723 - EQUIPAR TECNOLOGIA I 29/07/2022 LQ 241,54 241,54"
"Pago título: 2220000270 3640 - MAISON DE VILLE MOTE 29/07/2022 LQ 241,54 241,54"
"Pago título: 2220000272 1336 - NAHSA COMERCIO DE MA 29/07/2022 LQ 241,51 241,51"
"Pago título: 2220000276 1135 - BRASMIX ENGENHARIA D 29/07/2022 LQ 240,88 240,88"
"Pago título: 2220000278 3245 - A & J LAVANDERIA LTD 29/07/2022 LQ 240,63 240,63"
"Pago título: 2220000280 3981 - O.S. DISTRIBUIDORA D 29/07/2022 LQ 240,63 240,63"
"Pago título: 2220000282 5423 - SOCIEDADE ESPORTIVA 29/07/2022 LQ 238,86 238,86"
"Pago título: 2220000286 5498 - CONDOMINIO A MONTANH 29/07/2022 LQ 237,87 237,87"
"Pago título: 2220000288 2577 - ESPORTE CLUBE BARBAR 29/07/2022 LQ 237,75 237,75"
"Pago título: 2220000290 3530 - VIDRADOS BS INDUSTRI 29/07/2022 LQ 237,69 237,69"
"Pago título: 2220000294 2930 - JOSE TADEU COLETI E 29/07/2022 LQ 237,1 237,1"
"Pago título: 2220000298 2876 - PARTLINE PARTICIPACO 29/07/2022 LQ 235,32 235,32"
"Pago título: 2220000300 2105 - SWISS TUBOS E CONEXO 29/07/2022 LQ 234,84 234,84"
"Pago título: 2220000301 4794 - CARLOS ALFREDO PETER 30/06/2022 LQ 234,21 240,92"
"Pago título: 2220000302 4794 - CARLOS ALFREDO PETER 29/07/2022 LQ 234,22 234,22"
"Pago título: 2220000306 1706 - SUPERMERCADOS CAVICC 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220000308 1205 - LAR DOS VELHINHOS DE 29/07/2022 LQ 233,35 233,35"
"Pago título: 2220000310 3356 - PQA QUIMICA LTDA 29/07/2022 LQ 233,11 233,11"
"Pago título: 2220000328 5563 - ANDRADE & LATORRE EM 29/07/2022 LQ 230 230"
"Pago título: 2220000330 6738 - VIDA NOVA ATIBAIA I 29/07/2022 LQ 230 230"
"Pago título: 2220000332 3417 - CONDOMINIO RESIDENCI 29/07/2022 LQ 229,77 229,77"
"Pago título: 2220000334 3545 - TEXTIL CARUARU LTDA. 29/07/2022 LQ 229,63 229,63"
"Pago título: 2220000336 3242 - SAVEGNAGO SUPERMERCA 29/07/2022 LQ 229,53 229,53"
"Pago título: 2220000338 3058 - PLASTAMP INDUSTRIA E 29/07/2022 LQ 229,36 229,36"
"Pago título: 2220000340 3632 - PEIXADA DO LAGO LTDA 29/07/2022 LQ 229,08 229,08"
"Pago título: 2220000342 4642 - VINICOLA SALTON S/A 29/07/2022 LQ 228,97 228,97"
"Pago título: 2220000344 2811 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 228,29 228,29"
"Pago título: 2220000346 2186 - FRIGORIFICO BOM SABO 29/07/2022 LQ 227,4 227,4"
"Pago título: 2220000348 3185 - NELSON KOITI TIDA 29/07/2022 LQ 226,9 226,9"
"Pago título: 2220000352 2246 - CONCREBASE COMERCIO 29/07/2022 LQ 226,71 226,71"
"Pago título: 2220000358 5540 - SUPERMERCADOS CAVICC 29/07/2022 LQ 224,14 224,14"
"Pago título: 2220000360 2119 - EDIFICIO CRUZEIRO DO 29/07/2022 LQ 222,8 222,8"
"Pago título: 2220000368 1233 - GVS DO BRASIL LTDA 29/07/2022 LQ 220,19 220,19"
"Pago título: 2220000374 1605 - RONALDO MOISES 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000376 340 - SIND TRAB IND DE VIDR 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000384 361 - LAVANDERIA AMERICANA 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000388 5556 - TUBERFIL INDUSTRIA E 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000392 7299 - UNIQUE GARDEN EMPREE 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000400 4430 - INDUSTRIA E COMERCIO 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000402 4961 - INDUSTRIA BRAIDO LTD 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000407 3737 - CASA DOS SONHOS COM, 19/07/2022 LQ 219,57 224,66"
"Pago título: 2220000412 4689 - RIBEIRA EMPREENDIMEN 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000414 380 - CLUBE ATLETICO PIRACI 29/07/2022 LQ 219,57 219,57"
"Pago título: 2220000426 887 -  AKDENIZ CHEMSON ADIT 29/07/2022 LQ 217,38 217,38"
"Pago título: 2220000430 3137 - CNP INDUSTRIA E COME 29/07/2022 LQ 216,57 216,57"
"Pago título: 2220000432 4796 - CASA DOS MENORES DE 29/07/2022 LQ 215,19 215,19"
"Pago título: 2220000438 2801 - BRIGATTO INDUSTRIA D 29/07/2022 LQ 213,64 213,64"
"Pago título: 2220000446 6875 - FUNDACAO CENTRO DE A 29/07/2022 LQ 212,77 212,77"
"Pago título: 2220000448 1008 - CONDOMINIO RESIDENCI 29/07/2022 LQ 212,41 212,41"
"Pago título: 2220000450 1623 - AUTO POSTO GIGIO LTD 29/07/2022 LQ 212,26 212,26"
"Pago título: 2220000452 3057 - NICOLETTI INDUSTRIA 29/07/2022 LQ 212 212"
"Pago título: 2220000456 2584 - EXTRAMIX CONCRETO LT 29/07/2022 LQ 211,76 211,76"
"Pago título: 2220000458 266 - ESCOLA AMERICANA DE C 29/07/2022 LQ 211,76 211,76"
"Pago título: 2220000468 2769 - ASSOCIACAO DE AMIGOS 29/07/2022 LQ 208,6 208,6"
"Pago título: 2220000470 1219 - FLINT INDUSTRIA TEXT 29/07/2022 LQ 207,36 207,36"
"Pago título: 2220000474 4350 - ASSOCIACAO DOS CONDO 29/07/2022 LQ 207,11 207,11"
"Pago título: 2220000480 141 - PARQUE ECOLOGICO EDUC 29/07/2022 LQ 205,68 205,68"
"Pago título: 2220000496 2707 - MINERMIX MINERACAO L 29/07/2022 LQ 204,04 204,04"
"Pago título: 2220000506 1604 - ASSOC ATLETICA PONTE 29/07/2022 LQ 202,8 202,8"
"Pago título: 2220000508 734 - GUSTAVO ADOLFO BAETA 29/07/2022 LQ 202,19 202,19"
"Pago título: 2220000512 3296 - FICCUS HOTEL LTDA 30/06/2022 LQ 285,45 293,76"
"Pago título: 2220001053 573 - NEXANS BRASIL S/A 29/07/2022 LQ 2165,3 2165,3"
"Pago título: 2220001132 1791 - MAHLE METAL LEVE S A 29/07/2022 LQ 900,39 900,39"
"Pago título: 2220001155 4884 - OTTO BAUMGART INDUST 20/07/2022 LQ 732,48 749,28"
"Pago título: 2220001506 4137 - ALBERT SABIN HOSPITA 29/07/2022 LQ 264,23 264,23"
"Pago título: 2220001509 2376 - MARILIA FERNANDES DE 29/07/2022 LQ 263,49 263,49"
"Pago título: 2220001515 2184 - CABLENA DO BRASIL LT 29/07/2022 LQ 261,8 261,8"
"Pago título: 2220001518 6791 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 261,74 261,74"
"Pago título: 2220001521 2076 - PH FIT   FITAS E INO 29/07/2022 LQ 260,43 260,43"
"Pago título: 2220001533 3969 - CONDOMINIO DAS MARGA 29/07/2022 LQ 257,9 257,9"
"Pago título: 2220001536 990 - ASTRA S/A INDUSTRIA E 29/07/2022 LQ 256,95 256,95"
"Pago título: 2220001545 5011 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 255,56 255,56"
"Pago título: 2220001551 7218 - PROGEREN ARQUITETURA 29/07/2022 LQ 255,56 255,56"
"Pago título: 2220001554 5439 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 255,56 255,56"
"Pago título: 2220001557 2030 - GLOBALPACK INDUSTRIA 29/07/2022 LQ 255,29 255,29"
"Pago título: 2220001560 3044 - ACAO EDUCACIONAL CLA 29/07/2022 LQ 254,98 254,98"
"Pago título: 2220001566 3600 - RENAN SOUZA SPINA ME 29/07/2022 LQ 253,81 253,81"
"Pago título: 2220001578 3461 - CONFECCOES CAPRICHO 29/07/2022 LQ 249,86 249,86"
"Pago título: 2220001587 7712 - JORGE DA FONSECA OSO 29/07/2022 LQ 249,13 249,13"
