"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR7244815208202212717.ret"
""
"Cadastrado título novo: 9000006983 3628 - J. E. GIMENES EXTRAC 31/08/2022 RG 217,94 0"
"Cadastrado título novo: 9000006984 3608 - BIONOVIS S.A. - CIA 31/08/2022 RG 455,81 0"
"Cadastrado título novo: 9000006985 1666 - VOTORANTIM CIMENTOS 31/08/2022 RG 213,97 0"
"Cadastrado título novo: 9000006986 3468 - VOTORANTIM CIMENTOS 31/08/2022 RG 243,09 0"
"Cadastrado título novo: 9000006987 2691 - PAULO LUCIO FILHO ME 31/08/2022 RG 531,37 0"
"Cadastrado título novo: 9000006988 5318 - SERRANO EMPREENDIMEN 31/08/2022 RG 431,82 0"
"Cadastrado título novo: 9000006989 1047 - QUIMICA AMPARO LTDA 30/09/2022 RG 10335,76 0"
"Cadastrado título novo: 9000006990 1979 - QUIMICA AMPARO LTDA 30/09/2022 RG 1487,02 0"
"Cadastrado título novo: 9000006991 1033 - CCS TECNOLOGIA E SER 31/08/2022 RG 528,96 0"
"Cadastrado título novo: 9000006992 2176 - EVONIK BRASIL LTDA 31/08/2022 RG 1551,44 0"
"Pago título: 2220001524 3241 - ESPACO BARTO EVENTOS 29/07/2022 LQ 259,93 265,44"
"Pago título: 2220003243 1733 - ESPER EMBALAGENS LTD 31/08/2022 LQ 201,63 201,63"
"Pago título: 2220005155 3798 - MINERACAO SANTA MONI 31/08/2022 LQ 651,53 651,53"
"Pago título: 2220005156 3798 - MINERACAO SANTA MONI 30/09/2022 LQ 651,53 651,53"
"Pago título: 2220005157 3798 - MINERACAO SANTA MONI 31/10/2022 LQ 651,53 651,53"
"Pago título: 2220005158 3798 - MINERACAO SANTA MONI 30/11/2022 LQ 651,53 651,53"
"Pago título: 2220005159 3798 - MINERACAO SANTA MONI 26/12/2022 LQ 651,53 651,53"
"Pago título: 2220005365 1965 - ASSOC DE PROPRIETARI 31/08/2022 LQ 585,53 585,53"
"Pago título: 2220005616 3333 - AUREO ALESSANDRO DA 29/07/2022 LQ 500,4 511,05"
"Pago título: 2220005798 2239 - CERAMICA RAMOS LTDA 29/07/2022 LQ 448,98 545,35"
