"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448452308202214244.ret"
""
"Cadastrado título novo: 9000007038 2349 - ASSOCIACAO AMIGOS DO 31/08/2022 RG 246,02 0"
"Cadastrado título novo: 9000007040 78 - RESTAURANTE IRMAOS MAR 31/08/2022 RG 375,57 0"
"Pago título: 2220001504 3642 - CONDOMINIO RESIDENCI 31/08/2022 LQ 265,01 265,01"
"Pago título: 2220001612 6886 - CONDOMINIO RESIDENCI 31/08/2022 LQ 245,33 245,33"
"Pago título: 2220001648 524 - CONDOMINIO EDIFICIO C 31/08/2022 LQ 243,97 243,97"
"Pago título: 2220002358 2109 - CONDOMINIO RESIDENCI 31/08/2022 LQ 213,99 213,99"
"Pago título: 2220002658 4579 - ASSOCIACAO DE MORADO 31/08/2022 LQ 218,83 218,83"
"Pago título: 2220003943 1024 - RAIZEN ENERGIA S/A 29/07/2022 LQ 2126,39 2186,62"
"Pago título: 2220004994 225 - AMPARO ATLETICO CLUBE 31/08/2022 LQ 734,99 734,99"
"Pago título: 2220005617 3333 - AUREO ALESSANDRO DA 31/08/2022 LQ 500,4 500,4"
"Pago título: 2220006422 3145 - RCL CAMPING E TURISM 31/08/2022 LQ 353,41 353,41"
"Pago título: 2220006506 1222 - SOCIEDADE COMUNITARI 31/08/2022 LQ 342,12 342,12"
"Pago título: 2220006961 523 - CONDOMINIO RESIDENCIA 31/08/2022 LQ 289,65 289,65"
"Pago título: 2220007668 2165 - CONDOMINIO RESIDENCI 31/08/2022 LQ 217,29 217,29"
"Pago título: 2220007710 3606 - ANTONIO CHAVES DOS S 31/08/2022 LQ 210,58 210,58"
"Pago título: 2220007780 5982 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 209,12 209,12"
"Pago título: 9000006950 1134 - MUNICIPIO DE SUMARE 31/08/2022 LQ 220417,23 220417,23"
"Pago título: 9000007011 2854 - AREA DO NUCLEO DO PO 31/08/2022 LQ 487,41 487,41"
