"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448512608202220046.ret"
""
"Cadastrado título novo: 9000007049 1676 - CASSOL PRE  FABRICAD 30/09/2022 RG 672,91 0"
"Cadastrado título novo: 9000007050 3460 - DONGWON BRASIL FABRI 31/08/2022 RG 357,7 0"
"Pago título: 2220001819 1838 - MARGARETH CASTILHO D 31/08/2022 LQ 219,8 219,8"
"Pago título: 2220002062 4409 - RODOPOSTO BANDEIRANT 31/08/2022 LQ 238,63 238,63"
"Pago título: 2220002154 4407 - RODOPOSTO BANDEIRANT 31/08/2022 LQ 229,45 229,45"
"Pago título: 2220002170 3338 - MINERACAO DOIS IRMAO 31/08/2022 LQ 226,6 226,6"
"Pago título: 2220002171 3338 - MINERACAO DOIS IRMAO 30/09/2022 LQ 226,6 226,6"
"Pago título: 2220002833 413 - INDUSTRIAS ROMI S/A 31/08/2022 LQ 202,87 202,87"
"Pago título: 2220003314 826 - DEPARTAMENTO AUTONOMO 31/08/2022 LQ 101188,33 101188,33"
"Pago título: 2220003398 942 - RAIZEN ENERGIA S/A 31/08/2022 LQ 33218,01 33218,01"
"Pago título: 2220003832 1575 - SO AGUA COMERCIO E S 31/08/2022 LQ 2508,55 2508,55"
"Pago título: 2220004721 7342 - WATER PARK SAO PEDRO 31/08/2022 LQ 876,21 876,21"
"Pago título: 2220004924 3629 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 753,79 753,79"
"Pago título: 2220005092 59 - FUND CPQD - CENTRO PES 31/08/2022 LQ 688,03 688,03"
"Pago título: 2220005183 2139 - INDUSTRIAS ROMI S/A 31/08/2022 LQ 641,86 641,86"
"Pago título: 2220005190 1490 - AGUA SANTO ANTONIO L 31/08/2022 LQ 640,84 640,84"
"Pago título: 2220005204 2331 - STONE BUILDING INDUS 31/08/2022 LQ 639,23 639,23"
"Pago título: 2220005386 491 - CATERPILLAR BRASIL LT 31/08/2022 LQ 572,82 572,82"
"Pago título: 2220005757 3026 - RAIZEN ENERGIA S/A 31/08/2022 LQ 454,83 454,83"
"Pago título: 2220005785 1148 - ARCELOR MITTAL GONVA 31/08/2022 LQ 450,46 450,46"
"Pago título: 2220006100 3660 - SO AGUA COMERCIAL E 31/08/2022 LQ 401,51 401,51"
"Pago título: 2220006433 931 - CENTRO CULTURAL E REC 26/12/2022 LQ 353,34 353,34"
"Pago título: 2220007591 2140 - INDUSTRIAS ROMI S/A 31/08/2022 LQ 221,38 221,38"
"Pago título: 2220007626 6911 - MAURO DA SILVA ARTUR 31/08/2022 LQ 219,05 219,05"
"Pago título: 9000006879 968 - SUZANO PAPEL E CELULO 31/08/2022 LQ 610,39 610,39"
"Pago título: 9000007038 2349 - ASSOCIACAO AMIGOS DO 31/08/2022 LQ 246,02 246,02"
