"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448573108202222900.ret"
""
"Cadastrado título novo: 9000007058 2492 - PRENSA JUNDIAI S/A 30/09/2022 RG 465,02 0"
"Cadastrado título novo: 9000007059 302 - TEXTIL IRINEU MENEGHE 30/09/2022 RG 490,03 0"
"Pago título: 2220001507 4137 - ALBERT SABIN HOSPITA 31/08/2022 LQ 264,23 264,23"
"Pago título: 2220001516 2184 - CABLENA DO BRASIL LT 31/08/2022 LQ 261,8 261,8"
"Pago título: 2220001519 6791 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 261,74 261,74"
"Pago título: 2220001522 2076 - PH FIT   FITAS E INO 31/08/2022 LQ 260,43 260,43"
"Pago título: 2220001531 3558 - ASSOCIACAO ATLETICA 31/08/2022 LQ 258,79 258,79"
"Pago título: 2220001534 3969 - CONDOMINIO DAS MARGA 31/08/2022 LQ 257,9 257,9"
"Pago título: 2220001537 990 - ASTRA S/A INDUSTRIA E 31/08/2022 LQ 256,95 256,95"
"Pago título: 2220001543 3541 - ASSOCIACAO DE AMIGOS 31/08/2022 LQ 256,49 256,49"
"Pago título: 2220001552 7218 - PROGEREN ARQUITETURA 31/08/2022 LQ 255,56 255,56"
"Pago título: 2220001558 2030 - GLOBALPACK INDUSTRIA 31/08/2022 LQ 255,29 255,29"
"Pago título: 2220001567 3600 - RENAN SOUZA SPINA ME 31/08/2022 LQ 253,81 253,81"
"Pago título: 2220001579 3461 - CONFECCOES CAPRICHO 31/08/2022 LQ 249,86 249,86"
"Pago título: 2220001597 1565 - MANCHESTER QUIMICA D 31/08/2022 LQ 248,85 248,85"
"Pago título: 2220001600 3125 - CLEOMAR QUIMICA INDU 31/08/2022 LQ 247,05 247,05"
"Pago título: 2220001618 611 - ALEKSANDAR TOMIC 31/08/2022 LQ 243,97 243,97"
"Pago título: 2220001624 1763 - ASSOC DOS PROP DO LO 31/08/2022 LQ 243,97 243,97"
