"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448832009202221242.ret"
""
"Cadastrado título novo: 9000007088 1103 - ASSOCIACAO FAZENDA C 30/09/2022 RG 2487,13 0"
"Cadastrado título novo: 9000007089 434 - KSPG AUTOMOTIVE BRAZI 30/09/2022 RG 2897,33 0"
"Pago título: 2220002063 4409 - RODOPOSTO BANDEIRANT 30/09/2022 LQ 238,63 238,63"
"Pago título: 2220003399 942 - RAIZEN ENERGIA S/A 30/09/2022 LQ 33218,01 33218,01"
"Pago título: 2220003875 3755 - INDUSTRIAS XHARA LTD 30/09/2022 LQ 2265,13 2265,13"
"Pago título: 2220005758 3026 - RAIZEN ENERGIA S/A 30/09/2022 LQ 454,83 454,83"
"Pago título: 2220006416 46 - ASSOCIACAO DE MORADORE 30/09/2022 LQ 355,5 355,5"
"Pago título: 2220006724 7718 - OURO GRES REVESTIMEN 30/09/2022 LQ 319,76 319,76"
"Pago título: 2220007333 2549 - KNAUF ISOPOR LTDA. 30/09/2022 LQ 244,67 244,67"
"Pago título: 9000006632 1899 - CARLOS ANTONIO SAVOY 30/09/2022 LQ 475,36 475,36"
"ERRO! Operação desconhecida: 2220003846 1848 - PREFEITURA MUNICIPAL 31/08/2022 IN 2413,23 0"
"ERRO! Operação desconhecida: 2220003847 1848 - PREFEITURA MUNICIPAL 30/09/2022 IN 2413,23 0"
"ERRO! Operação desconhecida: 2220003848 1848 - PREFEITURA MUNICIPAL 31/10/2022 IN 2413,23 0"
"ERRO! Operação desconhecida: 2220003849 1848 - PREFEITURA MUNICIPAL 30/11/2022 IN 2413,23 0"
"ERRO! Operação desconhecida: 2220003850 1848 - PREFEITURA MUNICIPAL 26/12/2022 IN 2413,23 0"
