"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448852109202214331.ret"
""
"Cadastrado título novo: 9000007090 4580 - ASSOCIACAO DOS PROPR 30/09/2022 RG 2588,78 0"
"Cadastrado título novo: 9000007091 449 - ASSOCIACAO PRO AGUA T 30/09/2022 RG 2693,1 0"
"Cadastrado título novo: 9000007092 4654 - ASSOC DOS PROP DE LO 30/09/2022 RG 1305,57 0"
"Pago título: 2220002019 3827 - STAVIAS SATANOSKI TE 30/09/2022 LQ 246,65 246,65"
"Pago título: 2220003010 3890 - V. BARROS PARTICIPAC 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220003294 1046 - BRK AMBIENTAL - LIME 30/09/2022 LQ 170356,37 170356,37"
"Pago título: 2220003308 3443 - BRK AMBIENTAL - SUMA 30/09/2022 LQ 106481,8 106481,8"
"Pago título: 2220003532 999 - BRK AMBIENTAL - SANTA 30/09/2022 LQ 10131,94 10131,94"
"Pago título: 2220003818 529 - OWENS CORNING FIBERGL 31/08/2022 LQ 2830,9 2907,25"
"Pago título: 2220006528 262 - INDUSTRIA CAMPINEIRA 30/09/2022 LQ 338,77 338,77"
"Pago título: 2220007109 2962 - CONDOMINIO VITORIA D 30/09/2022 LQ 271,02 271,02"
"Pago título: 2220007459 5614 - ATIBAIA SANEAMENTO S 30/09/2022 LQ 230,89 230,89"
"Pago título: 2220007480 3119 - FDC - EMPREENDIMENTO 30/09/2022 LQ 230,23 230,23"
