"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448872209202214401.ret"
""
"Cadastrado título novo: 9000007093 3857 - CRS MINERACAO INDUST 30/09/2022 RG 3557,26 0"
"Cadastrado título novo: 9000007094 5612 - ASSOC DOS PROP E MOR 30/09/2022 RG 239,31 0"
"Cadastrado título novo: 9000007095 3673 - PLATLOG IMPORTACAO, 30/09/2022 RG 2031,01 0"
"Cadastrado título novo: 9000007096 3673 - PLATLOG IMPORTACAO, 31/10/2022 RG 2031,02 0"
"Cadastrado título novo: 9000007097 3673 - PLATLOG IMPORTACAO, 31/10/2022 RG 2010,92 0"
"Pago título: 2220002593 3774 - ASSOCIACAO DOS PROP 31/08/2022 LQ 226,45 232,51"
"Pago título: 2220002998 3124 - BARREIRENSE PRODUTOS 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220003805 448 - INDUSTRIA DE PAPEL R. 30/09/2022 LQ 2873,31 2873,31"
"Pago título: 2220004827 4580 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 829,32 829,32"
"Pago título: 2220004855 2752 - PREFEITURA DO MUNICI 30/09/2022 LQ 815,02 815,02"
"Pago título: 2220006458 5802 - AGUAS DO BARREIRO RI 30/09/2022 LQ 350,48 350,48"
"Pago título: 2220007606 44 - CELULOSE IRANI S/A 30/09/2022 LQ 220,58 220,58"
"Pago título: 2220007669 2165 - CONDOMINIO RESIDENCI 30/09/2022 LQ 217,29 217,29"
"Pago título: 9000006978 7722 - ASSOC DE PROP DO LOT 30/09/2022 LQ 207,04 207,04"
"Pago título: 9000007090 4580 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 2588,78 2588,78"
