"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448912609202224307.ret"
""
"Cadastrado título novo: 9000007100 5577 - HM 33 EMPREENDIMENTO 31/10/2022 RG 2071,89 0"
"Cadastrado título novo: 9000007101 5394 - MIGDAL EMPREENDIMENT 31/10/2022 RG 1197,3 0"
"Pago título: 2220002011 5907 - TSI   EMPREENDIMENTO 30/09/2022 LQ 248,85 248,85"
"Pago título: 2220002031 1367 - ASSOCIACAO DE MELHOR 30/09/2022 LQ 245,19 245,19"
"Pago título: 2220002195 3822 - PEDREIRA REMANSO LTD 30/09/2022 LQ 223,97 223,97"
"Pago título: 2220002235 6890 - SP TINTAS E COMERCIO 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002359 2109 - CONDOMINIO RESIDENCI 30/09/2022 LQ 213,99 213,99"
"Pago título: 2220002411 1039 - BRAGA COMERCIO E IND 30/09/2022 LQ 210,21 210,21"
"Pago título: 2220002451 5754 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002479 3098 - ASSOC DOS PROPR E MO 30/09/2022 LQ 239,48 239,48"
"Pago título: 2220002659 4579 - ASSOCIACAO DE MORADO 30/09/2022 LQ 218,83 218,83"
"Pago título: 2220002902 474 - VINGI INDUSTRIA TEXTI 30/09/2022 LQ 227,97 227,97"
"Pago título: 2220003190 14 - BORGWARNER INDUSTRIA E 30/09/2022 LQ 206,43 206,43"
"Pago título: 2220003196 6600 - TERRA AZUL MARKETING 30/09/2022 LQ 206,35 206,35"
"Pago título: 2220003469 3411 - PREFEITURA MUNICIPAL 30/09/2022 LQ 17423,9 17423,9"
"Pago título: 2220003693 3379 - SSB ENERGIA RENOVAVE 30/09/2022 LQ 4368,06 4368,06"
"Pago título: 2220003700 878 - PREFEITURA MUNICIPAL 30/09/2022 LQ 4246,58 4246,58"
"Pago título: 2220004071 3851 - USINA GRANELLI LTDA. 30/09/2022 LQ 1821,34 1821,34"
"Pago título: 2220004239 358 - ASSOCIACAO AMIGOS MAR 30/09/2022 LQ 1393,48 1393,48"
"Pago título: 2220004498 1934 - SSB ENERGIA RENOVAVE 30/09/2022 LQ 1045,59 1045,59"
"Pago título: 2220004526 2910 - CHACARAS LONG ISLAND 30/09/2022 LQ 1040,68 1040,68"
"Pago título: 2220004645 970 - SERVICO AUTONOMO DE A 30/09/2022 LQ 930,9 930,9"
"Pago título: 2220004848 3060 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 815,56 815,56"
"Pago título: 2220004911 254 - SOCIEDADE HIPICA DE C 30/09/2022 LQ 756,56 756,56"
"Pago título: 2220004925 3629 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 753,79 753,79"
"Pago título: 2220004953 2712 - PECANHA & HELENA TRA 30/09/2022 LQ 748,37 748,37"
"Pago título: 2220005191 1490 - AGUA SANTO ANTONIO L 30/09/2022 LQ 640,84 640,84"
"Pago título: 2220005261 3032 - CONDOMINIO VILLAGE S 30/09/2022 LQ 614,81 614,81"
"Pago título: 2220005387 491 - CATERPILLAR BRASIL LT 30/09/2022 LQ 572,82 572,82"
"Pago título: 2220005646 3992 - HOTEL FAZENDA HARAS 30/09/2022 LQ 489,34 489,34"
"Pago título: 2220005772 1547 - SOCER BRASIL INDUSTR 30/09/2022 LQ 450,8 450,8"
"Pago título: 2220006024 3262 - ASSOCIACAO DE AMIGOS 30/09/2022 LQ 415,61 415,61"
"Pago título: 2220006598 5558 - PARKLOG ADMINISTRADO 30/09/2022 LQ 334,59 334,59"
"Pago título: 2220006640 3336 - CONDOMINIO RESIDENCI 30/09/2022 LQ 329,82 329,82"
"Pago título: 2220006934 1976 - SOL INVEST EMPREENDI 30/09/2022 LQ 291,16 291,16"
"Pago título: 2220007298 1564 - INDUSTRIA E COMERCIO 30/09/2022 LQ 248,63 248,63"
"Pago título: 2220007417 7150 - VIDA SAO DOMINGOS IN 30/09/2022 LQ 236,6 236,6"
"Pago título: 2220007445 3703 - ASSOCIACAO DOS PROP. 30/09/2022 LQ 234,21 234,21"
"Pago título: 2220007536 6768 - CONDOMINIO RESIDENCI 30/09/2022 LQ 225,36 225,36"
"Pago título: 2220007599 7711 - PAULO SETUBAL NETO 30/09/2022 LQ 220,83 220,83"
"Pago título: 2220007823 6784 - CONDOMINIO RESIDENCI 30/09/2022 LQ 208,84 208,84"
