"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448932709202214228.ret"
""
"Cadastrado título novo: 9000007102 5646 - MRV ENGENHARIA E PAR 31/10/2022 RG 1418,26 0"
"Cadastrado título novo: 9000007103 5168 - NEMPOP INDUSTRIA QUI 30/09/2022 RG 2051,37 0"
"Cadastrado título novo: 9000007104 2846 - AGUAS DAS TERRAS SOL 30/09/2022 RG 1827,82 0"
"Pago título: 2220001555 5439 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 255,56 262,83"
"Pago título: 2220002127 1478 - ARGIPAR ARGILA PARTE 30/09/2022 LQ 230,55 230,55"
"Pago título: 2220002435 1147 - TERROIR DE BRAGANCA 30/09/2022 LQ 205,61 205,61"
"Pago título: 2220002739 4973 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220002819 1192 - SECRETARIA DA ADMINI 30/09/2022 LQ 204,37 204,37"
"Pago título: 2220004330 4330 - CPD LOCADORA DE VEIC 30/09/2022 LQ 1254,71 1254,71"
"Pago título: 2220004792 5402 - SAO PAULO SECRETARIA 30/09/2022 LQ 844,71 844,71"
"Pago título: 2220004939 7308 - MARIA CRISTINA RODRI 30/09/2022 LQ 752,82 752,82"
"Pago título: 2220005079 371 - CONDOMINIO ITAEMBU 30/09/2022 LQ 693,23 693,23"
"Pago título: 2220005443 2748 - QUALITY BENEFICIADOR 30/09/2022 LQ 545,37 545,37"
"Pago título: 2220006003 2310 - AQUACHER COMERCIAL L 30/09/2022 LQ 417,19 417,19"
"Pago título: 2220006339 2688 - ARYZTA DO BRASIL ALI 30/09/2022 LQ 364,26 364,26"
"Pago título: 2220006507 1222 - SOCIEDADE COMUNITARI 30/09/2022 LQ 342,12 342,12"
"Pago título: 2220006514 4129 - TERRAPLANAGEM PARAIZ 30/09/2022 LQ 340,65 340,65"
"Pago título: 2220007711 3606 - ANTONIO CHAVES DOS S 30/09/2022 LQ 210,58 210,58"
