"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448952809202214224.ret"
""
"Cadastrado título novo: 9000007106 5694 - R. BOQUINO TRANSPORT 30/09/2022 RG 404,03 0"
"Cadastrado título novo: 9000007107 5694 - R. BOQUINO TRANSPORT 31/10/2022 RG 404,02 0"
"Cadastrado título novo: 9000007108 5694 - R. BOQUINO TRANSPORT 30/11/2022 RG 404,02 0"
"Cadastrado título novo: 9000007109 3439 - CSHG REAL ESTATE FUN 31/10/2022 RG 1186,79 0"
"Cadastrado título novo: 9000007110 5260 - MRGM PARTICIPACOES E 31/10/2022 RG 2821,86 0"
"Cadastrado título novo: 9000007111 7648 - MARCOS MONTANARO 31/10/2022 RG 1024,68 0"
"Pago título: 2220002015 2959 - ALIMENTOS DALLAS IND 30/09/2022 LQ 248,53 248,53"
"Pago título: 2220002039 1092 - PREFEITURA MUNICIPAL 30/09/2022 LQ 243,89 243,89"
"Pago título: 2220002091 2657 - INDUSTRIAS NARDINI S 30/09/2022 LQ 234,07 234,07"
"Pago título: 2220002155 4407 - RODOPOSTO BANDEIRANT 30/09/2022 LQ 229,45 229,45"
"Pago título: 2220002339 4534 - CONDOMINIO CIVIL CEN 30/09/2022 LQ 215,11 215,11"
"Pago título: 2220002375 612 - JOSE COLLOCA 30/09/2022 LQ 211,96 211,96"
"Pago título: 2220002455 949 - DANA INDUSTRIAS LTDA 30/09/2022 LQ 203,46 203,46"
"Pago título: 2220002594 3774 - ASSOCIACAO DOS PROP 30/09/2022 LQ 226,45 226,45"
"Pago título: 2220002839 2367 - INDUSTRIA DE FRIOS X 30/09/2022 LQ 202,64 202,64"
"Pago título: 2220003268 3022 - BORGWARNER BRASIL LT 30/09/2022 LQ 200,21 200,21"
"Pago título: 2220003350 940 - SERVICO AUTONOMO DE A 30/09/2022 LQ 52004,29 52004,29"
"Pago título: 2220003476 5261 - CIA DE SANEAMENTO BA 30/09/2022 LQ 17302,09 17302,09"
"Pago título: 2220003490 1695 - GOODYEAR DO BRASIL P 30/09/2022 LQ 15287,19 15287,19"
"Pago título: 2220003651 856 - PREFEITURA MUNICIPAL 30/09/2022 LQ 5118,88 5118,88"
"Pago título: 2220003686 1743 - EDSON CHINARELLI TRA 30/09/2022 LQ 4483,51 4483,51"
"Pago título: 2220003777 1048 - AHLSTROM LOUVEIRA LT 30/09/2022 LQ 3095,36 3095,36"
"Pago título: 2220003784 857 - CPIC BRASIL FIBRAS DE 30/09/2022 LQ 3019,23 3019,23"
"Pago título: 2220003868 559 - BENEFICIADORA DE TECI 30/09/2022 LQ 2274,59 2274,59"
"Pago título: 2220004344 3462 - CONDOMINIO EMPRESARI 30/09/2022 LQ 1236,2 1236,2"
"Pago título: 2220004652 434 - KSPG AUTOMOTIVE BRAZI 30/09/2022 LQ 928,15 928,15"
"Pago título: 2220004653 434 - KSPG AUTOMOTIVE BRAZI 31/10/2022 LQ 928,15 928,15"
"Pago título: 2220004654 434 - KSPG AUTOMOTIVE BRAZI 30/11/2022 LQ 928,15 928,15"
"Pago título: 2220004655 434 - KSPG AUTOMOTIVE BRAZI 26/12/2022 LQ 928,15 928,15"
"Pago título: 2220004687 558 - CONDOMINIO CENTRO EMP 30/09/2022 LQ 899,6 899,6"
"Pago título: 2220005030 900 - DANA INDUSTRIAS LTDA 30/09/2022 LQ 717,37 717,37"
"Pago título: 2220005128 3383 - CENTRO EMPRESARIAL E 30/09/2022 LQ 666,86 666,86"
"Pago título: 2220005205 2331 - STONE BUILDING INDUS 30/09/2022 LQ 639,23 639,23"
"Pago título: 2220005352 3389 - CONDOMINIO RESIDENCI 30/09/2022 LQ 587,31 587,31"
"Pago título: 2220005415 978 - CHEM-TREND IND E COM 30/09/2022 LQ 564,5 564,5"
"Pago título: 2220005779 4641 - DYNATECH INDUSTRIAS 30/09/2022 LQ 450,77 450,77"
"Pago título: 2220005814 1479 - MEAT SNACK PARTNERS 30/09/2022 LQ 444,74 444,74"
"Pago título: 2220006269 5035 - CLOSURE SYSTEMS INTE 30/09/2022 LQ 376,41 376,41"
"Pago título: 2220006647 3382 - CENTRO EMPRESARIAL E 30/09/2022 LQ 328,89 328,89"
"Pago título: 2220006696 1749 - USINA PAULISTA DE BR 30/09/2022 LQ 322,99 322,99"
"Pago título: 2220007844 1426 - WEIDMANN TECNOLOGIA 30/09/2022 LQ 208,41 208,41"
"Pago título: 2220007914 1308 - INDUSTRIA DE BEBIDAS 30/09/2022 LQ 203,28 203,28"
"Pago título: 9000006920 896 - PREFEITURA MUNICIPAL 30/09/2022 LQ 5498,83 5498,83"
"Pago título: 9000007073 7735 - JAIME ALVES DE FARIA 30/09/2022 LQ 419,33 419,33"
"Pago título: 9000007081 857 - CPIC BRASIL FIBRAS DE 30/09/2022 LQ 9424,84 9424,84"
"Pago título: 9000007089 434 - KSPG AUTOMOTIVE BRAZI 30/09/2022 LQ 2897,33 2897,33"
